imu_acc_x,imu_acc_y,imu_acc_z
-0.40,-9.56,-0.62
-0.37,-9.55,-0.68
-0.33,-9.54,-0.65
-0.36,-9.59,-0.64
-0.33,-9.53,-0.68
-0.34,-9.58,-0.69
-0.34,-9.62,-0.66
-0.37,-9.62,-0.58
-0.39,-9.59,-0.69
-0.41,-9.61,-0.64
-0.44,-9.55,-0.62
-0.41,-9.56,-0.66
-0.38,-9.59,-0.66
-0.36,-9.58,-0.73
-0.38,-9.57,-0.68
-0.33,-9.55,-0.67
-0.31,-9.53,-0.70
-0.32,-9.53,-0.65
-0.36,-9.55,-0.67
-0.33,-9.55,-0.66
-0.31,-9.58,-0.73
-0.30,-9.51,-0.71
-0.37,-9.61,-0.72
-0.36,-9.59,-0.70
-0.34,-9.58,-0.65
-0.35,-9.52,-0.64
-0.35,-9.57,-0.60
-0.41,-9.56,-0.60
-0.41,-9.56,-0.65
-0.38,-9.62,-0.67
-0.38,-9.60,-0.66
-0.44,-9.51,-0.68
-0.34,-9.70,-0.62
-0.35,-9.45,-0.71
-0.35,-9.62,-0.62
-0.34,-9.58,-0.65
-0.34,-9.55,-0.68
-0.34,-9.62,-0.64
-0.38,-9.52,-0.70
-0.34,-9.61,-0.67
-0.34,-9.54,-0.63
-0.34,-9.54,-0.69
-0.40,-9.61,-0.67
-0.35,-9.52,-0.59
-0.38,-9.59,-0.65
-0.35,-9.59,-0.60
-0.34,-9.59,-0.66
-0.39,-9.55,-0.64
-0.39,-9.56,-0.68
-0.40,-9.61,-0.65
-0.40,-9.57,-0.65
-0.39,-9.54,-0.63
-0.37,-9.63,-0.69
-0.39,-9.54,-0.67
-0.38,-9.57,-0.63
-0.37,-9.59,-0.66
-0.34,-9.54,-0.66
-0.36,-9.57,-0.72
-0.33,-9.57,-0.76
-0.38,-9.61,-0.64
-0.38,-9.56,-0.67
-0.38,-9.58,-0.73
-0.35,-9.56,-0.63
-0.35,-9.56,-0.67
-0.34,-9.58,-0.70
-0.35,-9.60,-0.63
-0.38,-9.62,-0.67
-0.40,-9.56,-0.64
-0.41,-9.52,-0.57
-0.38,-9.59,-0.62
-0.40,-9.57,-0.61
-0.38,-9.55,-0.68
-0.37,-9.58,-0.68
-0.38,-9.57,-0.62
-0.39,-9.62,-0.67
-0.38,-9.58,-0.62
-0.33,-9.57,-0.72
-0.37,-9.58,-0.66
-0.35,-9.51,-0.67
-0.38,-9.56,-0.63
-0.37,-9.54,-0.69
-0.35,-9.56,-0.67
-0.37,-9.58,-0.68
-0.38,-9.55,-0.65
-0.37,-9.64,-0.65
-0.34,-9.58,-0.62
-0.36,-9.56,-0.59
-0.36,-9.60,-0.64
-0.35,-9.54,-0.68
-0.39,-9.59,-0.69
-0.39,-9.59,-0.61
-0.34,-9.59,-0.67
-0.32,-9.60,-0.66
-0.36,-9.60,-0.64
-0.37,-9.59,-0.68
-0.39,-9.57,-0.66
-0.37,-9.61,-0.63
-0.36,-9.60,-0.64
-0.36,-9.59,-0.66
-0.37,-9.57,-0.60
-0.36,-9.59,-0.61
-0.37,-9.61,-0.63
-0.35,-9.57,-0.69
-0.37,-9.52,-0.72
-0.36,-9.53,-0.69
-0.40,-9.55,-0.63
-0.39,-9.59,-0.59
-0.33,-9.57,-0.66
-0.39,-9.59,-0.69
-0.36,-9.55,-0.68
-0.38,-9.73,-0.69
-0.37,-9.57,-0.64
-0.36,-9.85,-0.67
-0.38,-9.78,-0.64
