imu_acc_x,imu_acc_y,imu_acc_z
10.02,0.01,-1.14
10.00,-0.00,-1.13
10.05,-0.02,-1.10
10.01,0.00,-1.16
10.02,-0.03,-1.09
10.05,0.00,-1.14
10.00,-0.01,-1.11
10.01,0.01,-1.13
10.04,-0.04,-1.10
10.01,-0.04,-1.06
10.05,-0.02,-1.23
10.00,-0.03,-1.14
9.99,0.00,-1.09
10.03,0.01,-1.13
10.02,0.01,-1.09
10.00,-0.01,-1.13
10.03,0.00,-1.18
10.03,-0.01,-1.03
10.05,-0.01,-1.09
10.00,-0.01,-1.15
9.99,-0.02,-1.14
10.00,-0.04,-1.16
9.98,-0.01,-1.12
10.00,-0.02,-1.04
10.00,-0.05,-1.08
10.00,-0.00,-1.08
10.04,-0.01,-1.13
10.01,-0.06,-1.08
10.01,-0.03,-1.05
10.00,-0.02,-1.13
10.00,-0.06,-1.11
10.00,-0.04,-1.08
10.02,-0.03,-1.05
10.06,-0.06,-1.13
10.02,-0.01,-1.05
10.01,-0.00,-1.20
10.04,0.00,-1.12
10.02,-0.01,-1.04
10.00,-0.01,-1.14
10.02,-0.06,-1.11
10.01,0.00,-1.17
10.02,-0.02,-1.06
10.00,-0.07,-1.11
10.00,0.00,-1.15
10.02,-0.03,-1.07
10.00,-0.03,-1.05
10.01,-0.04,-1.14
10.04,-0.03,-1.11
10.04,-0.02,-1.10
9.99,-0.03,-1.12
10.00,0.00,-1.14
10.02,-0.01,-1.10
10.02,0.01,-1.08
9.99,-0.03,-1.16
10.01,-0.03,-1.08
10.04,-0.05,-1.02
9.99,-0.01,-1.15
10.02,0.01,-1.11
10.01,-0.02,-1.12
9.96,-0.11,-1.08
10.03,-0.06,-1.13
9.98,-0.02,-1.11
10.03,-0.01,-1.11
9.97,-0.04,-1.11
10.02,0.01,-1.09
10.02,-0.01,-1.14
10.01,-0.00,-1.12
10.04,-0.04,-1.15
9.96,-0.00,-1.07
10.03,-0.03,-1.11
9.99,-0.03,-1.09
10.01,-0.04,-1.18
9.99,0.01,-1.11
10.05,-0.02,-1.15
10.03,-0.03,-1.06
9.98,-0.02,-1.09
10.00,-0.02,-1.08
10.01,-0.04,-1.06
10.01,-0.02,-1.09
10.00,-0.07,-1.13
9.99,-0.03,-1.11
10.02,0.00,-1.12
10.01,-0.04,-1.07
9.99,-0.03,-1.07
10.00,-0.02,-1.10
10.06,-0.04,-1.13
10.03,0.00,-1.12
10.04,-0.02,-1.13
9.99,-0.05,-1.09
10.01,-0.04,-1.14
10.02,-0.01,-1.14
