imu_acc_x,imu_acc_y,imu_acc_z
0.87,-0.33,9.69
0.87,-0.14,9.60
0.88,-0.18,9.62
0.86,-0.28,9.66
0.89,-0.15,9.72
0.87,-0.25,9.68
0.90,-0.37,9.61
0.86,-0.23,9.63
0.84,-0.20,9.65
0.87,-0.21,9.65
0.86,-0.21,9.54
0.86,-0.23,9.65
0.84,-0.20,9.64
0.88,-0.21,9.69
0.88,-0.20,9.64
0.89,-0.18,9.67
0.89,-0.23,9.55
0.86,-0.26,9.64
0.85,-0.20,9.66
0.88,-0.18,9.62
0.87,-0.24,9.62
0.90,-0.14,9.63
0.88,-0.22,9.66
0.87,-0.17,9.62
0.88,-0.22,9.58
0.87,-0.21,9.60
0.86,-0.16,9.62
0.87,-0.23,9.63
0.88,-0.26,9.62
0.87,-0.19,9.69
0.84,-0.27,9.62
0.88,-0.22,9.66
0.89,-0.17,9.68
0.87,-0.17,9.72
0.85,-0.27,9.64
0.88,-0.23,9.62
0.92,-0.18,9.63
0.91,-0.19,9.68
0.87,-0.26,9.58
0.83,-0.24,9.62
0.87,-0.18,9.71
0.87,-0.19,9.62
0.82,-0.19,9.67
0.83,-0.23,9.60
0.90,-0.15,9.69
0.86,-0.25,9.64
0.85,-0.20,9.69
0.87,-0.25,9.64
0.88,-0.16,9.56
0.85,-0.21,9.61
0.82,-0.24,9.59
0.88,-0.22,9.50
0.84,-0.18,9.57
0.85,-0.21,9.55
0.85,-0.28,9.56
0.84,-0.20,9.59
0.82,-0.16,9.60
0.84,-0.23,9.63
0.88,-0.22,9.63
0.91,-0.15,9.59
0.82,-0.17,9.61
0.86,-0.23,9.66
0.84,-0.22,9.65
0.87,-0.16,9.68
0.87,-0.21,9.64
0.84,-0.12,9.64
0.87,-0.20,9.65
0.85,-0.19,9.60
0.86,-0.14,9.66
0.86,-0.20,9.64
0.83,-0.17,9.60
0.88,-0.22,9.67
0.87,-0.21,9.63
0.86,-0.24,9.59
0.84,-0.15,9.61
0.88,-0.15,9.61
0.85,-0.11,9.65
0.82,-0.22,9.59
0.86,-0.14,9.59
0.86,-0.16,9.62
0.87,-0.18,9.64
0.84,-0.24,9.54
0.87,-0.24,9.63
0.81,-0.20,9.68
0.89,-0.16,9.63
0.87,-0.28,9.66
0.90,-0.17,9.73
0.87,-0.18,9.64
0.87,-0.22,9.62
0.83,-0.20,9.64
0.91,-0.20,9.62
0.86,-0.16,9.62
0.86,-0.26,9.65
0.89,-0.15,9.64
0.85,-0.21,9.61
0.85,-0.13,9.65
0.89,-0.17,9.62
0.86,-0.20,9.66
0.94,-0.23,9.64
0.84,-0.25,9.64
1.02,0.40,9.69
0.80,0.06,9.60
0.91,-0.01,9.68
0.90,-0.06,9.64
0.85,-0.19,9.60
0.86,-0.32,9.53
0.89,-0.43,9.63
0.86,-0.20,9.64
0.84,-0.28,9.60
0.88,-0.23,9.70
0.86,-0.02,9.53
0.90,-0.20,9.63
0.86,-0.24,9.64
0.88,-0.28,9.65
0.87,-0.17,9.64
0.89,-0.26,9.61
0.91,-0.19,9.63
0.88,-0.19,9.62
0.87,-0.24,9.68
0.84,-0.26,9.62
0.87,0.30,9.61
0.85,0.11,9.59
0.89,-0.19,9.59
0.84,-0.26,9.62
0.88,-0.17,9.66
0.84,-0.29,9.60
0.88,-0.31,9.57
0.86,-0.41,9.65
0.88,-0.23,9.61
0.89,-0.24,9.62
0.81,-0.34,9.59
0.85,-0.25,9.51
0.84,-0.25,9.55
0.85,-0.25,9.62
0.90,-0.23,9.58
0.88,-0.21,9.56
0.82,-0.26,9.64
0.86,-0.16,9.67
0.86,-0.19,9.65
0.86,-0.23,9.64
0.82,-0.23,9.64
0.85,-0.19,9.64
0.82,-0.23,9.75
0.91,-0.54,9.85
0.91,-0.58,9.88
0.88,-0.53,9.73
0.81,-0.50,9.65
0.87,-0.29,9.56
0.86,-0.34,9.55
0.83,-0.23,9.67
0.84,-0.27,9.55
0.87,-0.12,9.66
0.87,-0.16,9.68
0.89,-0.19,9.63
0.88,-0.19,9.60
0.86,-0.19,9.60
0.85,-0.21,9.65
0.86,-0.16,9.62
0.85,-0.20,9.61
0.85,-0.24,9.67
0.88,-0.23,9.64
0.84,-0.23,9.60
0.91,-0.22,9.64
0.87,-0.17,9.58
0.85,-0.24,9.60
0.84,-0.23,9.59
0.88,-0.21,9.64
0.86,-0.22,9.66
0.87,-0.19,9.65
0.85,-0.16,9.64
0.88,-0.17,9.59
0.86,-0.30,9.72
0.86,-0.18,9.65
0.88,-0.19,9.57
0.82,-0.24,9.66
0.80,-0.24,9.59
0.89,-0.20,9.56
0.88,-0.12,9.63
0.85,-0.23,9.62
0.83,-0.23,9.55
0.83,-0.23,9.62
0.88,-0.16,9.67
0.88,-0.28,9.68
0.89,-0.17,9.59
0.82,-0.20,9.61
0.84,-0.20,9.60
0.81,-0.26,9.54
0.88,-0.24,9.59
0.86,-0.23,9.67
0.84,-0.25,9.62
0.87,-0.15,9.70
0.81,-0.22,9.62
0.86,-0.26,9.64
0.84,-0.22,9.59
0.88,-0.14,9.57
0.84,-0.21,9.66
0.91,-0.19,9.70
0.85,-0.27,9.63
0.90,-0.16,9.62
0.83,-0.30,9.62
0.90,-0.16,9.66
0.87,-0.23,9.69
0.88,-0.24,9.66
0.89,-0.22,9.73
0.89,-0.27,9.67
0.91,-0.14,9.64
0.83,-0.19,9.61
