speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,m_lat_torque,sil_command,post_fork_pwm,post_hand_pwm
0,0.00,0.00000,0.00000,-0.01,-0.02,-0.02,0.00,0.00000,0.00,-0.00514,3354,5977,-0.14421,-0.08279,-7.75260,54,,16384,16384
0,0.00,0.00001,-0.00005,-0.00,-0.02,-0.02,0.00,-0.00005,-0.00,-0.00338,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00001,-0.00009,-0.01,-0.02,-0.01,0.00,-0.00009,-0.00,-0.00667,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00002,-0.00015,-0.01,-0.02,-0.01,0.00,-0.00015,-0.00,-0.00659,3354,5977,-0.14421,-0.08279,0.00000,55,,16384,16384
0,0.00,0.00002,-0.00022,-0.01,-0.02,-0.02,0.00,-0.00022,-0.00,-0.00636,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00003,-0.00028,-0.01,-0.02,-0.01,0.00,-0.00028,-0.00,-0.00546,3354,5977,-0.14421,-0.08279,0.00000,55,,16384,16384
0,0.00,0.00003,-0.00034,-0.01,-0.02,-0.02,0.00,-0.00034,-0.00,-0.00714,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00004,-0.00041,-0.00,-0.02,-0.01,0.00,-0.00041,-0.00,-0.00447,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00004,-0.00045,-0.00,-0.02,-0.02,0.00,-0.00045,-0.00,-0.00311,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00005,-0.00048,-0.01,-0.02,-0.02,-0.00,-0.00048,-0.00,-0.00745,3354,5977,-0.14421,-0.08279,0.00000,54,,16384,16384
0,0.00,0.00005,-0.00056,-0.01,-0.02,-0.01,0.00,-0.00056,-0.00,-0.00573,3354,5977,-0.14421,-0.08279,0.00000,54,,16714,16523
0,0.00,0.00006,-0.00061,-0.00,-0.02,-0.02,0.00,-0.00061,-0.00,-0.00436,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00006,-0.00066,-0.01,-0.02,-0.02,-0.00,-0.00066,-0.00,-0.00541,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00007,-0.00071,-0.00,-0.02,-0.02,-0.00,-0.00071,-0.00,-0.00416,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00007,-0.00075,-0.01,-0.02,-0.02,0.00,-0.00075,-0.00,-0.00526,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00008,-0.00081,-0.00,-0.02,-0.02,0.00,-0.00081,-0.00,-0.00264,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00008,-0.00083,-0.00,-0.02,-0.02,0.00,-0.00083,-0.00,-0.00432,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00009,-0.00088,-0.01,-0.02,-0.01,-0.00,-0.00088,-0.00,-0.00615,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00009,-0.00094,-0.00,-0.02,-0.01,0.00,-0.00094,-0.00,-0.00130,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00010,-0.00095,-0.01,-0.02,-0.02,0.00,-0.00095,-0.00,-0.00537,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00010,-0.00100,-0.01,-0.02,-0.02,0.00,-0.00100,-0.00,-0.00570,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00011,-0.00106,-0.01,-0.02,-0.01,0.00,-0.00106,-0.00,-0.00509,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00011,-0.00111,-0.00,-0.02,-0.02,0.00,-0.00111,-0.00,-0.00412,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00012,-0.00115,-0.01,-0.02,-0.02,0.00,-0.00115,-0.00,-0.00726,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00012,-0.00123,-0.01,-0.02,-0.02,0.00,-0.00122,-0.00,-0.00737,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00013,-0.00130,-0.01,-0.02,-0.02,0.00,-0.00130,-0.00,-0.00620,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00013,-0.00136,-0.00,-0.02,-0.02,0.00,-0.00136,-0.00,-0.00432,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00014,-0.00140,-0.00,-0.02,-0.02,-0.00,-0.00140,-0.00,-0.00334,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00014,-0.00144,-0.01,-0.02,-0.01,-0.00,-0.00144,-0.00,-0.00568,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00015,-0.00149,-0.00,-0.02,-0.01,0.00,-0.00149,-0.00,-0.00118,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00015,-0.00150,-0.01,-0.02,-0.02,-0.00,-0.00150,-0.00,-0.00639,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00016,-0.00157,-0.01,-0.02,-0.02,0.00,-0.00157,-0.00,-0.00577,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00016,-0.00163,-0.00,-0.02,-0.02,0.00,-0.00163,-0.00,-0.00389,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00017,-0.00166,-0.01,-0.02,-0.02,0.00,-0.00166,-0.00,-0.00518,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00017,-0.00172,-0.01,-0.02,-0.02,0.00,-0.00172,-0.00,-0.00632,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00018,-0.00178,-0.00,-0.02,-0.02,-0.00,-0.00178,-0.00,-0.00235,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00018,-0.00180,-0.00,-0.02,-0.02,0.00,-0.00180,-0.00,-0.00424,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00019,-0.00184,-0.00,-0.02,-0.01,0.00,-0.00184,-0.00,-0.00353,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00019,-0.00188,-0.01,-0.02,-0.02,0.00,-0.00188,-0.00,-0.00655,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00020,-0.00194,-0.01,-0.02,-0.02,-0.00,-0.00194,-0.00,-0.00557,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00020,-0.00200,-0.00,-0.02,-0.02,0.00,-0.00200,-0.00,-0.00499,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00021,-0.00205,-0.01,-0.02,-0.02,0.00,-0.00205,-0.00,-0.00632,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00021,-0.00211,-0.01,-0.02,-0.02,0.00,-0.00211,-0.00,-0.00628,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00022,-0.00217,-0.00,-0.02,-0.02,0.00,-0.00217,-0.00,-0.00428,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00022,-0.00222,-0.01,-0.02,-0.02,0.00,-0.00222,-0.00,-0.00522,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00023,-0.00227,-0.01,-0.02,-0.02,0.00,-0.00227,-0.00,-0.00616,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00023,-0.00233,-0.01,-0.02,-0.02,0.00,-0.00233,-0.00,-0.00616,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00024,-0.00239,-0.01,-0.02,-0.02,-0.00,-0.00239,-0.00,-0.00557,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00024,-0.00245,-0.01,-0.02,-0.02,0.00,-0.00244,-0.00,-0.00514,3354,5977,-0.14421,-0.08279,0.00000,55,,16468,16422
0,0.00,0.00025,-0.00250,-0.00,-0.02,-0.02,0.00,-0.00250,-0.00,-0.00326,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00025,-0.00253,-0.00,-0.02,-0.01,0.00,-0.00253,-0.00,-0.00334,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00026,-0.00256,-0.00,-0.02,-0.02,-0.00,-0.00256,-0.00,-0.00451,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00026,-0.00261,-0.01,-0.02,-0.02,0.00,-0.00260,-0.00,-0.00549,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00027,-0.00266,-0.01,-0.02,-0.01,0.00,-0.00266,-0.00,-0.01000,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00027,-0.00276,-0.01,-0.02,-0.02,0.00,-0.00276,-0.00,-0.00506,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00028,-0.00281,-0.01,-0.02,-0.01,0.00,-0.00281,-0.00,-0.00554,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00028,-0.00286,-0.01,-0.02,-0.02,0.00,-0.00286,-0.00,-0.00589,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00029,-0.00292,-0.00,-0.02,-0.02,0.00,-0.00292,-0.00,-0.00408,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00029,-0.00296,-0.01,-0.02,-0.02,0.00,-0.00296,-0.00,-0.00624,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00030,-0.00302,-0.00,-0.02,-0.02,0.00,-0.00302,-0.00,-0.00420,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00030,-0.00306,-0.01,-0.02,-0.02,0.00,-0.00306,-0.00,-0.00761,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00031,-0.00314,-0.00,-0.02,-0.02,0.00,-0.00314,-0.00,-0.00412,3354,5977,-0.14421,-0.08279,0.00000,54,,16468,16422
0,0.00,0.00031,-0.00318,-0.00,-0.02,-0.02,0.00,-0.00318,-0.00,-0.00401,3354,5977,-0.14421,-0.08279,0.00000,52,,16468,16422
0,0.00,0.00032,-0.00322,-0.01,-0.02,-0.02,0.00,-0.00322,-0.00,-0.00511,3354,5977,-0.14421,-0.08279,0.00000,53,,16468,16422
0,0.00,0.00032,-0.00327,-0.01,-0.02,-0.02,0.00,-0.00327,-0.00,-0.00514,3354,5977,-0.14421,-0.08279,0.00000,51,,16468,16422
0,0.00,0.00033,-0.00332,-0.00,-0.02,-0.02,0.00,-0.00332,-0.00,-0.00381,3354,5977,-0.14421,-0.08279,0.00000,52,,16468,16422
0,0.00,0.00033,-0.00336,-0.01,-0.02,-0.02,0.00,-0.00335,-0.00,-0.00620,3354,5977,-0.14421,-0.08279,0.00000,50,,16468,16422
0,0.00,0.00034,-0.00342,-0.00,-0.02,-0.02,0.00,-0.00342,-0.00,-0.00314,3354,5977,-0.14421,-0.08279,0.00000,51,,16468,16422
0,0.00,0.00034,-0.00345,-0.00,-0.02,-0.02,0.00,-0.00345,-0.00,-0.00424,3354,5977,-0.14421,-0.08279,0.00000,50,,16468,16422
0,0.00,0.00035,-0.00349,-0.01,-0.02,-0.02,0.00,-0.00349,-0.00,-0.00522,3354,5977,-0.14421,-0.08279,0.00000,50,,16468,16422
0,0.00,0.00035,-0.00354,-0.01,-0.02,-0.01,0.00,-0.00354,-0.00,-0.00702,3354,5977,-0.14421,-0.08279,0.00000,50,,16468,16422
