sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
0.03133,2.21846,0.00383,0.00366,0.02542,0.02991,0.00000,0.00000,0.11434,-0.79270,-0.66295,0.04546,0.00000
-0.38924,2.21617,0.00388,-0.04543,0.02542,0.02991,0.00000,0.00000,0.12756,0.31009,-0.37381,-0.36065,0.00000
-0.02063,2.21617,0.00345,-0.00241,0.02542,0.02991,0.00000,0.00000,0.13623,-0.47476,-0.01032,-0.00461,0.00000
-0.21823,2.21617,0.00343,-0.02547,0.02542,0.02991,0.00000,0.00000,0.14765,1.87348,0.59432,-0.19538,0.00000
-0.06450,2.21617,0.00318,-0.00753,0.02542,0.02991,0.00000,0.00000,0.15779,0.31425,-0.84026,-0.04687,0.00000
-0.21580,2.21617,0.00312,-0.02519,0.02542,0.02991,0.00000,0.00000,0.16203,2.34041,-0.43529,-0.19293,0.00000
-0.26014,2.21617,0.00288,-0.03036,0.02542,0.02991,0.00000,0.00000,0.16639,-1.48956,0.15238,-0.23566,0.00000
-0.06996,2.21617,0.00258,-0.00817,0.02542,0.02991,0.00000,0.00000,0.16834,0.20838,0.34114,-0.05193,0.00000
-0.27246,2.21617,0.00250,-0.03180,0.02542,0.02991,0.00000,0.00000,0.15797,-1.14668,0.19745,-0.24742,0.00000
0.17704,2.21617,0.00220,0.02066,0.02542,0.02991,0.00000,0.00000,0.13416,0.06863,-0.51278,0.18667,0.00000
-0.30032,2.21617,0.00241,-0.03505,0.02542,0.02991,0.00000,0.00000,0.09091,0.96291,-0.42421,-0.27429,0.00000
-0.02304,2.21617,0.00209,-0.00269,0.02542,0.02991,0.00000,0.00000,0.03443,-0.67303,-0.91620,-0.00647,0.00000
-0.24787,2.21617,0.00208,-0.02893,0.02542,0.02991,0.00000,0.00000,-0.01325,2.36552,0.61500,-0.22354,0.00000
-0.12350,2.21617,0.00180,-0.01441,0.02542,0.02991,0.00000,0.00000,-0.04295,-0.72265,0.55344,-0.10336,0.00000
-0.04479,2.21617,0.00166,-0.00523,0.02542,0.02991,0.00000,0.00000,-0.05237,1.08391,-0.05765,-0.02731,0.00000
-0.20885,2.21388,0.00162,-0.02436,0.02542,0.02991,0.00000,0.00000,-0.04379,-1.23981,-0.96762,-0.18575,0.00000
0.03527,2.21388,0.00140,0.00411,0.02542,0.02991,0.00000,0.00000,-0.02435,0.14335,-0.02864,0.05004,0.00000
-0.28461,2.21388,0.00145,-0.03320,0.02542,0.02991,0.00000,0.00000,0.00048,-1.14490,0.53396,-0.25886,0.00000
0.12702,2.21388,0.00114,0.01482,0.02542,0.02991,0.00000,0.00000,0.02889,0.23763,-0.01758,0.13873,0.00000
-0.14985,2.21388,0.00129,-0.01748,0.02542,0.02991,0.00000,0.00000,0.05730,0.70990,-0.01421,-0.12867,0.00000
0.11503,2.21388,0.00114,0.01342,0.02542,0.02991,0.00000,0.00000,0.07918,0.76047,-0.63342,0.12715,0.00000
-0.29774,2.21388,0.00129,-0.03473,0.02542,0.02991,0.00000,0.00000,0.08874,3.03261,-0.38771,-0.27148,0.00000
