sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.70531,2.20702,0.03186,-0.08215,0.02542,0.07056,0.00000,0.00000,0.14063,-0.26589,-0.23683,-0.70531,0.00000
-0.47640,2.20702,0.03104,-0.05549,0.02542,0.07056,0.00000,0.00000,0.13676,-0.12197,-1.20520,-0.47640,0.00000
-0.73466,2.20702,0.03050,-0.08557,0.02542,0.07056,0.00000,0.00000,0.15692,1.15217,-0.68320,-0.73466,0.00000
-0.80472,2.20702,0.02963,-0.09373,0.02542,0.06980,-0.07672,0.00000,0.21631,-0.02460,-0.43773,-0.80472,0.00000
-0.62827,2.20702,0.02869,-0.07317,0.02542,0.06903,-0.07668,0.00000,0.27697,1.03997,0.25007,-0.62827,0.00000
-0.97450,2.20702,0.02792,-0.11350,0.02542,0.06826,-0.07673,0.00000,0.30805,-0.82662,0.20456,-0.97450,0.00000
-0.63377,2.20702,0.02676,-0.07381,0.02542,0.06673,-0.15341,0.00000,0.31554,-0.39209,-0.55690,-0.63377,0.00000
-0.91004,2.20702,0.02603,-0.10599,0.02542,0.06596,-0.07667,0.00000,0.30305,0.08134,-0.19774,-0.91004,0.00000
-0.88304,2.20702,0.02496,-0.10285,0.02542,0.06443,-0.15340,0.00000,0.27449,-0.05471,-0.56908,-0.88304,0.00000
-0.87859,2.20702,0.02394,-0.10233,0.02542,0.06366,-0.07672,0.00000,0.23792,0.62839,-0.15382,-0.87859,0.00000
-0.98966,2.20702,0.02290,-0.11527,0.02542,0.06213,-0.15341,0.00000,0.19914,-0.35932,-0.14305,-0.98966,0.00000
-0.84109,2.20702,0.02175,-0.09796,0.02542,0.06059,-0.15338,0.00000,0.17268,0.16995,-0.36498,-0.84109,0.00000
-1.06953,2.20702,0.02077,-0.12457,0.02542,0.05906,-0.15340,0.00000,0.16685,-0.00997,-0.57076,-1.06953,0.00000
-1.02596,2.20931,0.01953,-0.11956,0.02542,0.05753,-0.15341,0.00000,0.16409,1.06526,-0.46501,-1.02596,0.00000
