sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.67208,4.16677,0.01228,-0.14402,0.00548,0.03145,-0.07668,0.00000,0.23797,-1.01687,1.13562,-0.47593,0.00000
-0.57076,4.16448,0.01091,-0.12219,0.00548,0.03068,-0.07672,0.00000,0.22628,0.81720,2.17681,-0.39739,0.00000
-0.64609,4.16448,0.00969,-0.13832,0.00548,0.02991,-0.07668,0.00000,0.21453,-0.00111,0.99015,-0.45794,0.00000
-0.60431,4.16448,0.00832,-0.12937,0.00548,0.02914,-0.07672,0.00000,0.21854,1.39316,-1.30503,-0.42605,0.00000
-0.65487,4.16448,0.00710,-0.14020,0.00548,0.02838,-0.07668,0.00000,0.25354,0.38502,-1.29985,-0.46705,0.00000
-0.70940,4.16677,0.00581,-0.15202,0.00548,0.02684,-0.15340,0.00000,0.28646,0.19405,1.07817,-0.51754,0.00000
-0.57112,4.16677,0.00435,-0.12239,0.00548,0.02531,-0.15340,0.00000,0.29417,0.37383,2.67840,-0.41109,0.00000
-0.54291,4.16448,0.00312,-0.11623,0.00548,0.02301,-0.23012,0.00000,0.28932,1.00792,0.86517,-0.39844,0.00000
-0.62916,4.16219,0.00195,-0.13456,0.00548,0.02071,-0.23007,0.00000,0.27892,-0.12278,-0.87913,-0.47099,0.00000
-0.51850,4.16448,0.00066,-0.11100,0.00548,0.01917,-0.15340,0.00000,0.25942,0.74272,-0.11995,-0.38093,0.00000
-0.62104,4.16448,-0.00041,-0.13296,0.00548,0.01764,-0.15340,0.00000,0.23140,0.35283,1.79058,-0.46454,0.00000
-0.55354,4.16677,-0.00175,-0.11862,0.00548,0.01611,-0.15340,0.00000,0.20016,-0.97582,1.39627,-0.41368,0.00000
-0.51704,4.16448,-0.00294,-0.11069,0.00548,0.01457,-0.15340,0.00000,0.17148,0.26308,-0.28213,-0.38780,0.00000
-0.59297,4.16448,-0.00404,-0.12695,0.00548,0.01227,-0.23012,0.00000,0.14038,-0.20412,0.05055,-0.45710,0.00000
-0.47817,4.16219,-0.00531,-0.10227,0.00548,0.01074,-0.15340,0.00000,0.10173,-0.33763,1.91681,-0.36423,0.00000
-0.42968,4.16448,-0.00638,-0.09199,0.00548,0.00920,-0.15340,0.00000,0.06985,0.33955,2.15939,-0.32850,0.00000
-0.40555,4.16677,-0.00738,-0.08691,0.00548,0.00690,-0.23007,0.00000,0.05334,0.20515,0.14028,-0.31873,0.00000
-0.34587,4.16677,-0.00828,-0.07412,0.00548,0.00537,-0.15340,0.00000,0.04591,1.42663,-0.91202,-0.26931,0.00000
-0.35795,4.16448,-0.00903,-0.07663,0.00548,0.00383,-0.15340,0.00000,0.04488,-0.05016,0.36226,-0.28181,0.00000
