sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
0.02895,4.16219,0.00200,0.00619,0.02619,0.02455,0.00000,0.00000,-0.11538,0.67663,-1.10944,0.02895,0.00000
0.06244,4.16448,0.00213,0.01337,0.02619,0.02455,0.00000,0.00000,-0.10247,0.47000,-0.94713,0.06244,0.00000
0.06736,4.16219,0.00235,0.01441,0.02619,0.02455,0.00000,0.00000,-0.09353,1.22630,0.64006,0.06736,0.00000
0.09442,4.16219,0.00254,0.02019,0.02619,0.02455,0.00000,0.00000,-0.08999,0.17275,1.10872,0.09442,0.00000
0.05822,4.16219,0.00275,0.01245,0.02619,0.02455,0.00000,0.00000,-0.09230,-0.43629,-0.30949,0.05822,0.00000
0.04768,4.16219,0.00290,0.01020,0.02619,0.02455,0.00000,0.00000,-0.09393,-0.21290,-1.00477,0.04768,0.00000
0.01185,4.16219,0.00305,0.00253,0.02619,0.02455,0.00000,0.00000,-0.08225,-0.82329,-0.51194,0.01185,0.00000
0.03131,4.16219,0.00315,0.00670,0.02619,0.02455,0.00000,0.00000,-0.06298,-1.00471,0.43447,0.03131,0.00000
0.02086,4.16219,0.00326,0.00446,0.02619,0.02455,0.00000,0.00000,-0.04251,-1.35824,0.87972,0.02086,0.00000
0.04533,4.16219,0.00331,0.00969,0.02619,0.02455,0.00000,0.00000,-0.01443,-0.60650,0.30708,0.04533,0.00000
0.03143,4.15990,0.00343,0.00672,0.02619,0.02455,0.00000,0.00000,0.01415,1.16967,-0.70324,0.03143,0.00000
-0.05302,4.16219,0.00353,-0.01134,0.02619,0.02455,0.00000,0.00000,0.03014,1.21114,-0.87653,-0.05302,0.00000
0.02055,4.15990,0.00349,0.00439,0.02619,0.02455,0.00000,0.00000,0.03251,1.41895,-0.11686,0.02055,0.00000
0.03221,4.16219,0.00359,0.00689,0.02619,0.02455,0.00000,0.00000,0.02597,2.20571,0.82060,0.03221,0.00000
0.03500,4.16219,0.00368,0.00748,0.02619,0.02455,0.00000,0.00000,0.00575,0.91073,0.39402,0.03500,0.00000
0.04919,4.16219,0.00377,0.01052,0.02619,0.02455,0.00000,0.00000,-0.02799,-0.28159,-0.81739,0.04919,0.00000
0.02982,4.15990,0.00391,0.00637,0.02619,0.02455,0.00000,0.00000,-0.05704,0.10108,-0.85266,0.02982,0.00000
0.00540,4.15990,0.00402,0.00115,0.02619,0.02455,0.00000,0.00000,-0.07227,0.01687,0.28227,0.00540,0.00000
-0.03977,4.15990,0.00407,-0.00850,0.02619,0.02455,0.00000,0.00000,-0.07741,0.13997,0.42005,-0.03977,0.00000
-0.00112,4.16219,0.00402,-0.00024,0.02619,0.02455,0.00000,0.00000,-0.07354,-0.02269,-0.44696,-0.00112,0.00000
0.01583,4.16219,0.00405,0.00339,0.02619,0.02455,0.00000,0.00000,-0.06420,-0.06725,-0.29629,0.01583,0.00000
-0.03313,4.15990,0.00411,-0.00708,0.02619,0.02455,0.00000,0.00000,-0.06059,0.12577,0.29003,-0.03313,0.00000
0.01247,4.15990,0.00406,0.00266,0.02619,0.02455,0.00000,0.00000,-0.06520,0.26264,0.03135,0.01247,0.00000
0.04733,4.15990,0.00410,0.01011,0.02619,0.02455,0.00000,0.00000,-0.06833,-0.41575,-0.28201,0.04733,0.00000
0.03104,4.16219,0.00423,0.00664,0.02619,0.02455,0.00000,0.00000,-0.07025,-0.53593,-0.08240,0.03104,0.00000
0.03190,4.16219,0.00434,0.00682,0.02619,0.02455,0.00000,0.00000,-0.07336,-0.80219,-0.01435,0.03190,0.00000
-0.00233,4.15990,0.00444,-0.00050,0.02619,0.02455,0.00000,0.00000,-0.06849,-0.82084,-0.04311,-0.00233,0.00000
-0.10337,4.15990,0.00445,-0.02209,0.02619,0.02455,0.00000,0.00000,-0.05465,-0.19300,-0.69989,-0.10337,0.00000
-0.05274,4.15990,0.00429,-0.01127,0.02619,0.02455,0.00000,0.00000,-0.04042,0.07805,-0.46759,-0.05274,0.00000
0.02531,4.15990,0.00426,0.00541,0.02619,0.02455,0.00000,0.00000,-0.02708,0.26416,0.96641,0.02531,0.00000
0.07709,4.16219,0.00434,0.01649,0.02619,0.02455,0.00000,0.00000,-0.01750,0.46009,1.67553,0.07709,0.00000
0.05012,4.16219,0.00447,0.01072,0.02619,0.02455,0.00000,0.00000,-0.01960,0.76596,0.10955,0.05012,0.00000
-0.02283,4.15990,0.00456,-0.00488,0.02619,0.02455,0.00000,0.00000,-0.02901,0.71269,-1.86087,-0.02283,0.00000
-0.03590,4.15762,0.00459,-0.00766,0.02619,0.02455,0.00000,0.00000,-0.03599,0.47869,-1.77442,-0.03590,0.00000
0.05899,4.15990,0.00462,0.01260,0.02619,0.02455,0.00000,0.00000,-0.03871,1.31572,0.69598,0.05899,0.00000
-0.03236,4.15990,0.00478,-0.00691,0.02619,0.02455,0.00000,0.00000,-0.04061,0.77071,2.07418,-0.03236,0.00000
-0.00743,4.16219,0.00469,-0.00159,0.02619,0.02455,0.00000,0.00000,-0.04608,-0.63311,0.30295,-0.00743,0.00000
0.01589,4.15990,0.00468,0.00340,0.02619,0.02455,0.00000,0.00000,-0.05338,0.08923,-1.59794,0.01589,0.00000
0.03787,4.15990,0.00477,0.00809,0.02619,0.02455,0.00000,0.00000,-0.05703,0.45696,-0.86777,0.03787,0.00000
0.00741,4.15762,0.00491,0.00158,0.02619,0.02455,0.00000,0.00000,-0.05592,-0.20304,0.87693,0.00741,0.00000
-0.00505,4.15990,0.00495,-0.00108,0.02619,0.02455,0.00000,0.00000,-0.05184,-1.59097,0.83366,-0.00505,0.00000
0.01946,4.15990,0.00494,0.00416,0.02619,0.02455,0.00000,0.00000,-0.04619,-0.98457,-0.29354,0.01946,0.00000
0.10418,4.15990,0.00501,0.02226,0.02619,0.02455,0.00000,0.00000,-0.04634,-0.36350,-0.17011,0.10418,0.00000
0.01957,4.15990,0.00525,0.00418,0.02619,0.02455,0.00000,0.00000,-0.05658,0.41819,0.18005,0.01957,0.00000
-0.02619,4.15762,0.00531,-0.00559,0.02619,0.02455,0.00000,0.00000,-0.07032,0.81844,-0.64503,-0.02619,0.00000
-0.01291,4.15762,0.00529,-0.00275,0.02619,0.02455,0.00000,0.00000,-0.08521,0.72612,-0.77491,-0.01291,0.00000
-0.01936,4.15990,0.00532,-0.00414,0.02619,0.02455,0.00000,0.00000,-0.09750,0.31409,0.01368,-0.01936,0.00000
0.02866,4.15990,0.00533,0.00612,0.02619,0.02455,0.00000,0.00000,-0.10713,-0.27635,0.71741,0.02866,0.00000
0.02691,4.15990,0.00539,0.00575,0.02619,0.02455,0.00000,0.00000,-0.11853,0.16617,0.52983,0.02691,0.00000
-0.01871,4.15762,0.00544,-0.00399,0.02619,0.02455,0.00000,0.00000,-0.11951,0.47732,-0.69659,-0.01871,0.00000
-0.04154,4.15762,0.00544,-0.00887,0.02619,0.02455,0.00000,0.00000,-0.10313,-0.03206,-1.62940,-0.04154,0.00000
0.04471,4.15762,0.00544,0.00954,0.02619,0.02455,0.00000,0.00000,-0.08117,0.09504,-0.33356,0.04471,0.00000
-0.03221,4.15990,0.00559,-0.00688,0.02619,0.02455,0.00000,0.00000,-0.07226,-0.14730,1.13046,-0.03221,0.00000
-0.08821,4.15762,0.00552,-0.01883,0.02619,0.02455,0.00000,0.00000,-0.08516,0.31183,0.25552,-0.08821,0.00000
-0.07230,4.15990,0.00534,-0.01545,0.02619,0.02455,0.00000,0.00000,-0.10040,0.49695,-1.28496,-0.07230,0.00000
-0.02832,4.15762,0.00524,-0.00605,0.02619,0.02455,0.00000,0.00000,-0.10315,0.83760,-1.06410,-0.02832,0.00000
-0.01159,4.15762,0.00523,-0.00247,0.02619,0.02455,0.00000,0.00000,-0.10192,0.45885,0.29258,-0.01159,0.00000
-0.07913,4.15762,0.00523,-0.01689,0.02619,0.02455,0.00000,0.00000,-0.10249,-0.20910,0.37538,-0.07913,0.00000
-0.13016,4.15762,0.00507,-0.02778,0.02619,0.02455,0.00000,0.00000,-0.09990,-1.12116,-0.54868,-0.13016,0.00000
-0.10986,4.15762,0.00483,-0.02345,0.02619,0.02455,0.00000,0.00000,-0.08701,-0.94289,-0.85981,-0.10986,0.00000
-0.15199,4.15762,0.00465,-0.03244,0.02619,0.02455,0.00000,0.00000,-0.06642,-0.27113,-0.14560,-0.15199,0.00000
-0.18755,4.15762,0.00436,-0.04003,0.02619,0.02455,0.00000,0.00000,-0.04892,-0.93532,0.16152,-0.18755,0.00000
-0.17609,4.15762,0.00399,-0.03759,0.02619,0.02455,0.00000,0.00000,-0.04755,-0.34878,-0.09250,-0.17609,0.00000
-0.21201,4.15533,0.00364,-0.04521,0.02619,0.02455,0.00000,0.00000,-0.06511,0.50444,-0.69786,-0.21201,0.00000
-0.23481,4.15762,0.00324,-0.05012,0.02619,0.02455,0.00000,0.00000,-0.08702,1.15952,-0.51194,-0.23481,0.00000
-0.21362,4.15533,0.00280,-0.04555,0.02619,0.02455,0.00000,0.00000,-0.09933,1.81732,-0.07171,-0.21362,0.00000
-0.26077,4.15762,0.00238,-0.05566,0.02619,0.02455,0.00000,0.00000,-0.09814,1.97195,-0.26669,-0.26077,0.00000
-0.22082,4.15762,0.00185,-0.04714,0.02619,0.02455,0.00000,0.00000,-0.09049,1.04749,-0.17579,-0.22082,0.00000
-0.23595,4.15762,0.00142,-0.05037,0.02619,0.02455,0.00000,0.00000,-0.08569,-0.38076,-0.16562,-0.23595,0.00000
-0.27554,4.15533,0.00095,-0.05876,0.02619,0.02455,0.00000,0.00000,-0.08522,-0.65928,-0.42240,-0.27554,0.00000
-0.24354,4.15533,0.00040,-0.05193,0.02619,0.02455,0.00000,0.00000,-0.08544,0.47454,-0.07166,-0.24354,0.00000
-0.32917,4.15533,-0.00010,-0.07020,0.02619,0.02455,0.00000,0.00000,-0.08183,0.83070,-0.35833,-0.32917,0.00000
-0.32879,4.15762,-0.00075,-0.07018,0.02619,0.02455,0.00000,0.00000,-0.07817,0.33937,-0.96167,-0.32879,0.00000
-0.32076,4.15762,-0.00138,-0.06847,0.02619,0.02455,0.00000,0.00000,-0.08115,-0.38162,-0.11399,-0.32076,0.00000
-0.34712,4.15533,-0.00201,-0.07402,0.02619,0.02455,0.00000,0.00000,-0.09025,-0.18445,0.79870,-0.34712,0.00000
-0.33344,4.15304,-0.00274,-0.07104,0.02619,0.02455,0.00000,0.00000,-0.10254,0.39741,0.29865,-0.33344,0.00000
-0.31041,4.15533,-0.00344,-0.06619,0.02619,0.02455,0.00000,0.00000,-0.11164,0.39236,-0.79804,-0.31041,0.00000
-0.34649,4.15533,-0.00406,-0.07389,0.02619,0.02378,-0.07672,0.00000,-0.11159,-0.14145,-1.22494,-0.34649,0.00000
-0.31174,4.15762,-0.00472,-0.06654,0.02619,0.02301,-0.07668,0.00000,-0.10566,-0.20371,-0.09521,-0.31174,0.00000
-0.33855,4.15533,-0.00532,-0.07219,0.02619,0.02224,-0.07672,0.00000,-0.10070,-0.59926,1.17913,-0.33855,0.00000
-0.34567,4.15533,-0.00602,-0.07371,0.02619,0.02071,-0.15340,0.00000,-0.09673,-1.09053,0.78881,-0.34567,0.00000
-0.33575,4.15304,-0.00675,-0.07153,0.02619,0.02071,0.00000,0.00000,-0.07887,-0.13389,-0.07852,-0.33575,0.00000
-0.34209,4.15533,-0.00744,-0.07295,0.02619,0.01994,-0.07668,0.00000,-0.04292,-0.29087,-0.33725,-0.34209,0.00000
-0.34649,4.15533,-0.00813,-0.07389,0.02619,0.01918,-0.07672,0.00000,-0.01313,-0.05776,0.05577,-0.34649,0.00000
-0.31175,4.15533,-0.00881,-0.06648,0.02619,0.01918,0.00000,0.00000,-0.00454,0.45657,0.49761,-0.31175,0.00000
-0.32866,4.15533,-0.00947,-0.07009,0.02619,0.01841,-0.07668,0.00000,-0.01023,0.96155,0.46498,-0.32866,0.00000
-0.34841,4.15304,-0.01017,-0.07422,0.02619,0.01764,-0.07672,0.00000,-0.01825,0.86395,-0.19096,-0.34841,0.00000
-0.24986,4.15304,-0.01086,-0.05323,0.02619,0.01764,0.00000,0.00000,-0.02075,1.62284,-0.27774,-0.24986,0.00000
-0.27632,4.15533,-0.01138,-0.05892,0.02619,0.01688,-0.07668,0.00000,-0.01738,1.35082,0.09928,-0.27632,0.00000
-0.26407,4.15533,-0.01194,-0.05631,0.02619,0.01611,-0.07672,0.00000,-0.01477,0.37013,0.19225,-0.26407,0.00000
-0.29971,4.15533,-0.01247,-0.06391,0.02619,0.01611,0.00000,0.00000,-0.01922,0.08785,-0.36245,-0.29971,0.00000
-0.25211,4.15304,-0.01305,-0.05371,0.02619,0.01611,0.00000,0.00000,-0.02784,-0.65792,-0.30418,-0.25211,0.00000
-0.24013,4.15304,-0.01353,-0.05116,0.02619,0.01534,-0.07668,0.00000,-0.03419,-0.26950,0.67075,-0.24013,0.00000
-0.31002,4.15304,-0.01402,-0.06605,0.02619,0.01534,0.00000,0.00000,-0.03857,-0.79320,0.45154,-0.31002,0.00000
-0.29883,4.15533,-0.01468,-0.06373,0.02619,0.01534,0.00000,0.00000,-0.04770,-0.84742,-0.70861,-0.29883,0.00000
-0.23746,4.15304,-0.01524,-0.05059,0.02619,0.01534,0.00000,0.00000,-0.09099,-0.83790,-0.33986,-0.23746,0.00000
-0.27829,4.15533,-0.01571,-0.05934,0.02619,0.01534,0.00000,0.00000,-0.17603,-0.60659,0.77105,-0.27829,0.00000
-0.30142,4.15304,-0.01629,-0.06422,0.02619,0.01534,0.00000,0.00000,-0.24488,0.10192,0.38257,-0.30142,0.00000
-0.27500,4.15304,-0.01692,-0.05859,0.02619,0.01534,0.00000,0.00000,-0.29780,1.57663,-0.25982,-0.27500,0.00000
-0.26112,4.15304,-0.01750,-0.05563,0.02619,0.01534,0.00000,0.00000,-0.36809,0.93712,-0.68094,-0.26112,0.00000
-0.26993,4.15304,-0.01801,-0.05751,0.02619,0.01534,0.00000,0.00000,-0.40985,0.78700,-0.30617,-0.26993,0.00000
-0.28205,4.15304,-0.01856,-0.06009,0.02619,0.01534,0.00000,0.00000,-0.39811,0.15689,0.65043,-0.28205,0.00000
-0.26712,4.15304,-0.01912,-0.05691,0.02619,0.01534,0.00000,0.00000,-0.35938,0.15690,0.57882,-0.26712,0.00000
-0.22001,4.15304,-0.01967,-0.04687,0.02619,0.01534,0.00000,0.00000,-0.31068,-0.33444,0.06722,-0.22001,0.00000
-0.27799,4.15304,-0.02013,-0.05922,0.02619,0.01534,0.00000,0.00000,-0.25526,0.21749,-0.28362,-0.27799,0.00000
-0.23722,4.15075,-0.02071,-0.05049,0.02619,0.01534,0.00000,0.00000,-0.19785,0.12387,-0.27620,-0.23722,0.00000
-0.27984,4.15304,-0.02119,-0.05962,0.02619,0.01534,0.00000,0.00000,-0.14803,0.71744,0.03451,-0.27984,0.00000
-0.29138,4.15075,-0.02176,-0.06202,0.02619,0.01534,0.00000,0.00000,-0.10708,0.32271,-0.10632,-0.29138,0.00000
-0.24058,4.15304,-0.02236,-0.05125,0.02619,0.01534,0.00000,0.00000,-0.07722,0.51978,0.33110,-0.24058,0.00000
-0.20636,4.15304,-0.02282,-0.04396,0.02619,0.01534,0.00000,0.00000,-0.06325,0.90988,0.62874,-0.20636,0.00000
-0.25095,4.15304,-0.02323,-0.05346,0.02619,0.01534,0.00000,0.00000,-0.05845,0.39462,-0.17439,-0.25095,0.00000
-0.25426,4.15075,-0.02367,-0.05411,0.02619,0.01534,0.00000,0.00000,-0.05355,-0.39594,-0.85114,-0.25426,0.00000
-0.24420,4.15075,-0.02408,-0.05197,0.02619,0.01534,0.00000,0.00000,-0.04685,-1.04352,-0.44200,-0.24420,0.00000
-0.27052,4.15075,-0.02448,-0.05758,0.02619,0.01534,0.00000,0.00000,-0.03954,-1.09003,0.58006,-0.27052,0.00000
-0.23796,4.15304,-0.02503,-0.05069,0.02619,0.01534,0.00000,0.00000,-0.05789,-0.66289,1.10392,-0.23796,0.00000
-0.29813,4.15304,-0.02554,-0.06351,0.02619,0.01534,0.00000,0.00000,-0.11457,-0.72147,0.29380,-0.29813,0.00000
-0.32312,4.15075,-0.02618,-0.06877,0.02619,0.01534,0.00000,0.00000,-0.16364,0.26236,-1.03413,-0.32312,0.00000
-0.29472,4.15075,-0.02670,-0.06273,0.02619,0.01534,0.00000,0.00000,-0.18265,0.81550,-0.53326,-0.29472,0.00000
-0.23287,4.15075,-0.02717,-0.04956,0.02619,0.01534,0.00000,0.00000,-0.18935,0.73501,0.74126,-0.23287,0.00000
-0.28232,4.15075,-0.02763,-0.06009,0.02619,0.01534,0.00000,0.00000,-0.19185,1.24893,0.78491,-0.28232,0.00000
-0.26222,4.15304,-0.02815,-0.05586,0.02619,0.01534,0.00000,0.00000,-0.18508,1.81895,-0.23616,-0.26222,0.00000
-0.26097,4.15075,-0.02860,-0.05554,0.02619,0.01534,0.00000,0.00000,-0.16441,0.27772,-0.70228,-0.26097,0.00000
-0.28973,4.15075,-0.02897,-0.06166,0.02619,0.01534,0.00000,0.00000,-0.13862,-0.39931,-0.11889,-0.28973,0.00000
-0.25618,4.14846,-0.02958,-0.05447,0.02619,0.01534,0.00000,0.00000,-0.11585,0.66010,0.71006,-0.25618,0.00000
-0.27520,4.15075,-0.03012,-0.05857,0.02619,0.01534,0.00000,0.00000,-0.09685,0.14642,0.67099,-0.27520,0.00000
-0.27954,4.15075,-0.03067,-0.05950,0.02619,0.01534,0.00000,0.00000,-0.08391,0.62943,-0.43958,-0.27954,0.00000
-0.33185,4.15075,-0.03113,-0.07063,0.02619,0.01534,0.00000,0.00000,-0.07378,0.64664,-0.71083,-0.33185,0.00000
-0.28322,4.15075,-0.03166,-0.06028,0.02619,0.01534,0.00000,0.00000,-0.05988,0.47351,0.03314,-0.28322,0.00000
-0.28942,4.14846,-0.03213,-0.06154,0.02619,0.01534,0.00000,0.00000,-0.04681,0.40133,1.00369,-0.28942,0.00000
-0.28669,4.14846,-0.03263,-0.06096,0.02619,0.01534,0.00000,0.00000,-0.04169,-0.72889,0.55740,-0.28669,0.00000
-0.26539,4.15075,-0.03312,-0.05648,0.02619,0.01534,0.00000,0.00000,-0.04420,-1.05728,-0.16522,-0.26539,0.00000
-0.22450,4.15075,-0.03360,-0.04778,0.02619,0.01534,0.00000,0.00000,-0.04927,-0.04676,-0.30101,-0.22450,0.00000
-0.29748,4.15075,-0.03400,-0.06331,0.02619,0.01534,0.00000,0.00000,-0.04920,-0.46855,0.00928,-0.29748,0.00000
-0.34533,4.14846,-0.03461,-0.07343,0.02619,0.01457,-0.07672,0.00000,-0.04159,-0.85667,0.20032,-0.34533,0.00000
-0.30283,4.14846,-0.03534,-0.06439,0.02619,0.01457,0.00000,0.00000,-0.03189,-0.00002,0.38576,-0.30283,0.00000
-0.29503,4.15075,-0.03599,-0.06279,0.02619,0.01457,0.00000,0.00000,-0.02375,0.25423,0.51559,-0.29503,0.00000
-0.26195,4.15075,-0.03662,-0.05575,0.02619,0.01457,0.00000,0.00000,-0.01514,0.73010,0.47715,-0.26195,0.00000
-0.28812,4.15075,-0.03716,-0.06132,0.02619,0.01457,0.00000,0.00000,-0.00480,0.49518,0.04705,-0.28812,0.00000
-0.28859,4.15075,-0.03776,-0.06142,0.02619,0.01457,0.00000,0.00000,-0.00055,0.83713,-0.33059,-0.28859,0.00000
-0.28945,4.14846,-0.03838,-0.06155,0.02619,0.01457,0.00000,0.00000,-0.01328,0.09160,0.15350,-0.28945,0.00000
-0.26076,4.14846,-0.03901,-0.05544,0.02619,0.01457,0.00000,0.00000,-0.04012,0.13025,0.64192,-0.26076,0.00000
-0.24393,4.15075,-0.03955,-0.05192,0.02619,0.01457,0.00000,0.00000,-0.06534,0.72224,0.86862,-0.24393,0.00000
-0.22658,4.15075,-0.04000,-0.04822,0.02619,0.01457,0.00000,0.00000,-0.07476,0.95764,0.35857,-0.22658,0.00000
-0.26059,4.15075,-0.04033,-0.05546,0.02619,0.01457,0.00000,0.00000,-0.06692,0.67047,-0.47719,-0.26059,0.00000
-0.25276,4.14846,-0.04061,-0.05374,0.02619,0.01457,0.00000,0.00000,-0.05926,-0.26849,-0.24489,-0.25276,0.00000
-0.23445,4.14846,-0.04085,-0.04985,0.02619,0.01457,0.00000,0.00000,-0.06081,0.33305,0.83959,-0.23445,0.00000
-0.19641,4.14846,-0.04116,-0.04176,0.02619,0.01457,0.00000,0.00000,-0.05754,-0.88832,1.27158,-0.19641,0.00000
-0.22250,4.15075,-0.04151,-0.04735,0.02619,0.01457,0.00000,0.00000,-0.04293,-1.05203,0.41023,-0.22250,0.00000
-0.21033,4.14846,-0.04191,-0.04472,0.02619,0.01457,0.00000,0.00000,-0.02649,-0.63171,-0.22894,-0.21033,0.00000
-0.22059,4.15075,-0.04234,-0.04695,0.02619,0.01457,0.00000,0.00000,-0.01655,-0.37312,0.00439,-0.22059,0.00000
-0.24677,4.14846,-0.04281,-0.05247,0.02619,0.01457,0.00000,0.00000,-0.01583,0.65531,0.38761,-0.24677,0.00000
-0.18561,4.14846,-0.04314,-0.03947,0.02619,0.01457,0.00000,0.00000,-0.02320,0.57642,0.62554,-0.18561,0.00000
-0.19876,4.15075,-0.04344,-0.04230,0.02619,0.01457,0.00000,0.00000,-0.03729,0.66570,0.54693,-0.19876,0.00000
-0.15568,4.14846,-0.04370,-0.03310,0.02619,0.01457,0.00000,0.00000,-0.05666,0.89272,0.30442,-0.15568,0.00000
-0.18507,4.15075,-0.04384,-0.03939,0.02619,0.01457,0.00000,0.00000,-0.07786,-0.06405,0.12683,-0.18507,0.00000
-0.19254,4.14846,-0.04405,-0.04094,0.02619,0.01457,0.00000,0.00000,-0.10277,0.14768,0.16977,-0.19254,0.00000
-0.14060,4.14846,-0.04448,-0.02989,0.02619,0.01457,0.00000,0.00000,-0.12804,-0.02555,0.41610,-0.14060,0.00000
-0.14232,4.15075,-0.04483,-0.03029,0.02619,0.01457,0.00000,0.00000,-0.14301,-0.31697,0.70060,-0.14232,0.00000
-0.14406,4.14846,-0.04517,-0.03063,0.02619,0.01457,0.00000,0.00000,-0.14593,-0.03582,0.64588,-0.14406,0.00000
-0.15609,4.15075,-0.04550,-0.03322,0.02619,0.01381,-0.07668,0.00000,-0.14087,0.87365,0.21941,-0.15609,0.00000
-0.17819,4.14846,-0.04585,-0.03789,0.02619,0.01381,0.00000,0.00000,-0.13323,1.08220,-0.34635,-0.17819,0.00000
-0.17618,4.14846,-0.04625,-0.03746,0.02619,0.01381,0.00000,0.00000,-0.12453,1.07676,-0.22738,-0.17618,0.00000
-0.10867,4.14846,-0.04666,-0.02311,0.02619,0.01381,0.00000,0.00000,-0.10949,-0.16230,0.72460,-0.10867,0.00000
-0.08302,4.15075,-0.04661,-0.01767,0.02619,0.01381,0.00000,0.00000,-0.09159,-0.31665,1.46440,-0.08302,0.00000
-0.00997,4.14846,-0.04660,-0.00212,0.02619,0.01381,0.00000,0.00000,-0.07754,0.03940,1.38381,-0.00997,0.00000
-0.08759,4.14846,-0.04647,-0.01862,0.02619,0.01381,0.00000,0.00000,-0.06495,-1.20297,-0.33413,-0.08759,0.00000
-0.14111,4.14846,-0.04649,-0.03000,0.02619,0.01381,0.00000,0.00000,-0.05432,-1.10677,-1.46706,-0.14111,0.00000
-0.09119,4.14846,-0.04649,-0.01939,0.02619,0.01381,0.00000,0.00000,-0.04579,0.01942,-0.05228,-0.09119,0.00000
-0.07474,4.15075,-0.04633,-0.01591,0.02619,0.01381,0.00000,0.00000,-0.03505,-1.09425,2.04411,-0.07474,0.00000
-0.11943,4.14846,-0.04653,-0.02539,0.02619,0.01381,0.00000,0.00000,-0.02588,0.12093,1.77005,-0.11943,0.00000
-0.15485,4.15075,-0.04681,-0.03296,0.02619,0.01381,0.00000,0.00000,-0.02482,0.80081,-0.12305,-0.15485,0.00000
-0.08434,4.14846,-0.04718,-0.01793,0.02619,0.01381,0.00000,0.00000,-0.03116,1.97507,-1.30056,-0.08434,0.00000
-0.07129,4.14846,-0.04706,-0.01516,0.02619,0.01381,0.00000,0.00000,-0.04174,1.59086,-0.20009,-0.07129,0.00000
-0.04899,4.14846,-0.04724,-0.01042,0.02619,0.01381,0.00000,0.00000,-0.05418,0.67425,1.38998,-0.04899,0.00000
-0.06409,4.14846,-0.04709,-0.01363,0.02619,0.01381,0.00000,0.00000,-0.06680,0.28629,1.40381,-0.06409,0.00000
-0.04885,4.15075,-0.04706,-0.01040,0.02619,0.01381,0.00000,0.00000,-0.07216,0.49119,0.15652,-0.04885,0.00000
0.00141,4.14846,-0.04702,0.00030,0.02619,0.01381,0.00000,0.00000,-0.06181,0.09161,-0.08690,0.00141,0.00000
0.00671,4.14846,-0.04694,0.00143,0.02619,0.01381,0.00000,0.00000,-0.04223,-0.08371,0.69427,0.00671,0.00000
