sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.02027,4.15990,-0.03440,-0.00433,0.01008,-0.00844,0.00000,0.00000,0.02525,0.38189,-0.35758,-0.02099,0.00000
-0.02197,4.15990,-0.03449,-0.00469,0.01008,-0.00844,0.00000,0.00000,-0.03399,0.37710,0.37953,-0.02230,0.00000
0.00952,4.15990,-0.03458,0.00203,0.01008,-0.00844,0.00000,0.00000,-0.08291,0.45941,1.28533,0.00260,0.00000
0.01657,4.15762,-0.03463,0.00354,0.01008,-0.00844,0.00000,0.00000,-0.09580,0.38206,0.99209,0.00821,0.00000
0.10155,4.15762,-0.03464,0.02168,0.01008,-0.00844,0.00000,0.00000,-0.08668,0.06924,0.56141,0.07536,0.00000
0.12189,4.15762,-0.03448,0.02602,0.01008,-0.00844,0.00000,0.00000,-0.06630,0.60210,-0.10120,0.09137,0.00000
0.16069,4.15990,-0.03422,0.03433,0.01008,-0.00844,0.00000,0.00000,-0.04034,-0.08877,-0.33306,0.12186,0.00000
0.08791,4.15990,-0.03386,0.01878,0.01008,-0.00844,0.00000,0.00000,-0.01502,-0.46007,0.46615,0.06425,0.00000
0.13664,4.15990,-0.03367,0.02920,0.01008,-0.00844,0.00000,0.00000,0.00149,-0.69202,1.34367,0.10267,0.00000
0.21869,4.15762,-0.03345,0.04668,0.01008,-0.00844,0.00000,0.00000,0.00889,-0.70261,1.63278,0.16749,0.00000
0.18887,4.15762,-0.03310,0.04032,0.01008,-0.00844,0.00000,0.00000,0.01412,0.18524,0.96671,0.14381,0.00000
0.21180,4.15990,-0.03279,0.04526,0.01008,-0.00844,0.00000,0.00000,0.02176,0.74624,-0.61161,0.16172,0.00000
0.21677,4.15762,-0.03237,0.04627,0.01008,-0.00844,0.00000,0.00000,0.03035,1.21031,-0.98706,0.16560,0.00000
0.21825,4.15990,-0.03193,0.04663,0.01008,-0.00844,0.00000,0.00000,0.03247,1.40140,0.71081,0.16652,0.00000
0.24833,4.15762,-0.03148,0.05301,0.01008,-0.00844,0.00000,0.00000,0.03028,1.28262,1.97002,0.19023,0.00000
0.36519,4.15762,-0.03101,0.07795,0.01008,-0.00844,0.00000,0.00000,0.02975,0.28627,1.30121,0.28240,0.00000
0.33866,4.15762,-0.03033,0.07229,0.01008,-0.00844,0.00000,0.00000,-0.02276,0.46590,-0.83610,0.26119,0.00000
0.38213,4.15990,-0.02964,0.08165,0.01008,-0.00844,0.00000,0.00000,-0.15316,0.18070,-1.09488,0.29514,0.00000
0.34904,4.15990,-0.02882,0.07458,0.01008,-0.00844,0.00000,0.00000,-0.26993,0.17425,0.87102,0.26872,0.00000
0.35353,4.15762,-0.02813,0.07546,0.01008,-0.00844,0.00000,0.00000,-0.32183,-0.18012,1.59018,0.27218,0.00000
0.38806,4.15762,-0.02747,0.08283,0.01008,-0.00844,0.00000,0.00000,-0.33009,-0.15890,0.69675,0.29923,0.00000
0.41756,4.15762,-0.02675,0.08913,0.01008,-0.00844,0.00000,0.00000,-0.31182,0.13981,0.05106,0.32228,0.00000
0.42301,4.15990,-0.02592,0.09038,0.01008,-0.00844,0.00000,0.00000,-0.27799,1.02652,0.10122,0.32613,0.00000
0.45886,4.15990,-0.02505,0.09804,0.01008,-0.00844,0.00000,0.00000,-0.23266,0.68945,0.27288,0.35413,0.00000
0.47654,4.15990,-0.02412,0.10182,0.01008,-0.00844,0.00000,0.00000,-0.18360,-0.30984,0.16594,0.36777,0.00000
0.49730,4.15762,-0.02315,0.10615,0.01008,-0.00767,0.07667,0.00000,-0.13820,-0.47760,0.38253,0.39071,0.00000
0.54291,4.15762,-0.02214,0.11589,0.01008,-0.00767,0.00000,0.00000,-0.09668,-0.39546,0.82984,0.42126,0.00000
0.51977,4.15762,-0.02108,0.11095,0.01008,-0.00767,0.00000,0.00000,-0.05886,0.49336,0.16856,0.40261,0.00000
0.54502,4.15990,-0.02004,0.11645,0.01008,-0.00767,0.00000,0.00000,-0.02858,0.95936,-0.22948,0.42198,0.00000
0.52934,4.15762,-0.01893,0.11299,0.01008,-0.00613,0.15340,0.00000,-0.00557,0.99446,0.54196,0.42276,0.00000
0.54333,4.15990,-0.01787,0.11609,0.01008,-0.00613,0.00000,0.00000,0.01731,-0.05531,0.89871,0.42297,0.00000
0.59380,4.15762,-0.01680,0.12675,0.01008,-0.00537,0.07668,0.00000,0.03825,-0.12465,0.63315,0.46936,0.00000
0.57968,4.15762,-0.01564,0.12374,0.01008,-0.00460,0.07672,0.00000,0.04990,-0.05356,0.00686,0.45935,0.00000
0.59941,4.15990,-0.01448,0.12807,0.01008,-0.00460,0.00000,0.00000,0.06101,1.22230,-0.52702,0.46916,0.00000
0.66346,4.15990,-0.01325,0.14176,0.01008,-0.00383,0.07668,0.00000,0.08151,0.13299,0.13453,0.52599,0.00000
0.63686,4.15990,-0.01191,0.13608,0.01008,-0.00307,0.07672,0.00000,0.10423,0.49143,0.65143,0.50606,0.00000
0.65448,4.15990,-0.01064,0.13984,0.01008,-0.00230,0.07668,0.00000,0.11806,0.28801,0.43173,0.52107,0.00000
0.68068,4.15762,-0.00931,0.14530,0.01008,-0.00153,0.07672,0.00000,0.11870,-0.54803,-0.71166,0.54310,0.00000
0.66304,4.15762,-0.00791,0.14153,0.01008,-0.00153,0.00000,0.00000,0.11296,0.19450,-0.54203,0.52355,0.00000
0.71665,4.15990,-0.00653,0.15312,0.01008,0.00000,0.15340,0.00000,0.11419,-0.57747,1.26495,0.57851,0.00000
0.69968,4.15990,-0.00509,0.14950,0.01008,0.00077,0.07668,0.00000,0.12403,-0.97386,1.12998,0.56101,0.00000
0.69275,4.15990,-0.00369,0.14802,0.01008,0.00154,0.07672,0.00000,0.13010,-1.34595,-0.76009,0.55660,0.00000
0.76152,4.15762,-0.00225,0.16255,0.01008,0.00384,0.23007,0.00000,0.12902,-0.63461,-0.65686,0.62556,0.00000
0.69957,4.15762,-0.00067,0.14933,0.01008,0.00537,0.15340,0.00000,0.12555,0.62966,1.27150,0.57402,0.00000
0.68311,4.15990,0.00074,0.14596,0.01008,0.00614,0.07672,0.00000,0.11658,1.82063,0.78658,0.55670,0.00000
0.68809,4.15990,0.00211,0.14702,0.01008,0.00767,0.15340,0.00000,0.10056,1.14069,-1.33067,0.56837,0.00000
0.65316,4.15990,0.00355,0.13956,0.01008,0.00921,0.15340,0.00000,0.08342,0.93251,-1.71913,0.54337,0.00000
0.68062,4.15990,0.00495,0.14543,0.01008,0.01151,0.23007,0.00000,0.06694,0.66745,0.16660,0.57433,0.00000
0.72161,4.15762,0.00640,0.15403,0.01008,0.01304,0.15340,0.00000,0.04797,-0.20731,1.62532,0.60439,0.00000
0.63634,4.15762,0.00784,0.13583,0.01008,0.01381,0.07672,0.00000,0.02891,0.61743,-0.00275,0.53293,0.00000
0.63379,4.15990,0.00914,0.13542,0.01008,0.01611,0.23007,0.00000,0.01559,-0.44955,-1.67327,0.54514,0.00000
0.56096,4.16219,0.01049,0.11998,0.01008,0.01764,0.15341,0.00000,0.00914,-0.61486,-1.33297,0.48495,0.00000
0.60806,4.15990,0.01174,0.12992,0.01008,0.01918,0.15340,0.00000,0.00335,-0.38569,0.48831,0.52496,0.00000
0.62378,4.15990,0.01305,0.13328,0.01008,0.02071,0.15340,0.00000,-0.00790,-0.50811,1.72816,0.54001,0.00000
0.49136,4.15762,0.01430,0.10488,0.01008,0.02301,0.23012,0.00000,-0.02387,0.09204,0.35035,0.44489,0.00000
