sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.16426,2.21617,-0.01652,-0.01917,0.02542,0.03145,0.00000,0.00000,-0.10589,4.38066,0.56154,-0.13547,0.00000
-0.51955,2.21617,-0.01667,-0.06064,0.02542,0.03068,-0.07668,0.00000,-0.10916,-0.45383,-0.02126,-0.48161,0.00000
-0.08344,2.21617,-0.01722,-0.00974,0.02542,0.03068,0.00000,0.00000,-0.11246,2.99565,0.01014,-0.05762,0.00000
-0.64371,2.21846,-0.01728,-0.07517,0.02542,0.03068,0.00000,0.00000,-0.10914,-0.75443,0.64916,-0.59844,0.00000
-0.07903,2.21388,-0.01797,-0.00922,0.02542,0.03068,0.00000,0.00000,-0.10397,1.30758,0.00093,-0.05315,0.00000
-0.56333,2.21617,-0.01802,-0.06575,0.02542,0.03068,0.00000,0.00000,-0.10015,0.24697,0.85549,-0.52067,0.00000
-0.09435,2.21617,-0.01863,-0.01101,0.02542,0.03068,0.00000,0.00000,-0.09536,0.95496,0.23796,-0.06767,0.00000
-0.41998,2.21617,-0.01871,-0.04902,0.02542,0.03068,0.00000,0.00000,-0.08398,2.62694,0.46447,-0.38203,0.00000
-0.28043,2.21617,-0.01915,-0.03273,0.02542,0.02991,-0.07672,0.00000,-0.06715,1.09305,-0.66015,-0.25031,0.00000
-0.28612,2.21617,-0.01937,-0.03340,0.02542,0.02915,-0.07668,0.00000,-0.04606,3.85632,0.84756,-0.25615,0.00000
-0.35886,2.21617,-0.01966,-0.04189,0.02542,0.02915,0.00000,0.00000,-0.01757,0.80984,0.71114,-0.32354,0.00000
-0.11013,2.21617,-0.01997,-0.01285,0.02542,0.02838,-0.07673,0.00000,0.01125,3.35743,0.47376,-0.08644,0.00000
-0.42672,2.21617,-0.02006,-0.04981,0.02542,0.02838,0.00000,0.00000,0.03159,0.73181,-0.13553,-0.38934,0.00000
-0.03861,2.21617,-0.02046,-0.00451,0.02542,0.02838,0.00000,0.00000,0.03425,2.74370,0.21896,-0.01449,0.00000
-0.44675,2.21617,-0.02039,-0.05214,0.02542,0.02838,0.00000,0.00000,0.01898,1.40247,0.61913,-0.40857,0.00000
-0.07070,2.21617,-0.02079,-0.00825,0.02542,0.02838,0.00000,0.00000,-0.00654,2.28857,-0.02179,-0.04535,0.00000
-0.36141,2.21617,-0.02075,-0.04218,0.02542,0.02838,0.00000,0.00000,-0.04083,3.33934,0.48846,-0.32605,0.00000
-0.24824,2.21846,-0.02105,-0.02899,0.02542,0.02761,-0.07668,0.00000,-0.07161,3.21903,-0.37021,-0.21977,0.00000
-0.37197,2.21846,-0.02124,-0.04344,0.02542,0.02761,0.00000,0.00000,-0.08704,3.60934,0.19463,-0.33641,0.00000
-0.29361,2.21846,-0.02160,-0.03429,0.02542,0.02685,-0.07672,0.00000,-0.08714,2.57578,0.25639,-0.26381,0.00000
-0.34712,2.21846,-0.02188,-0.04054,0.02542,0.02685,0.00000,0.00000,-0.08802,3.43596,0.71401,-0.31263,0.00000
-0.25489,2.22075,-0.02224,-0.02978,0.02542,0.02685,0.00000,0.00000,-0.10418,1.11777,-0.13990,-0.22340,0.00000
-0.15126,2.22075,-0.02241,-0.01767,0.02542,0.02608,-0.07668,0.00000,-0.12458,3.45798,-0.31566,-0.12648,0.00000
-0.37482,2.22075,-0.02246,-0.04380,0.02542,0.02608,0.00000,0.00000,-0.13544,2.00788,0.15168,-0.33952,0.00000
-0.12488,2.22075,-0.02277,-0.01459,0.02542,0.02531,-0.07672,0.00000,-0.13081,3.96509,0.32854,-0.10131,0.00000
-0.48131,2.22075,-0.02280,-0.05624,0.02542,0.02531,0.00000,0.00000,-0.13360,2.33045,0.94457,-0.44261,0.00000
