sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
0.55404,2.22304,0.01291,0.06477,0.02772,0.03145,0.07668,0.00000,-0.14655,2.35012,0.04538,0.55044,0.00000
0.40370,2.22304,0.01355,0.04719,0.02772,0.03298,0.15341,0.00000,-0.13906,1.38865,0.24723,0.40872,0.00000
0.69346,2.22533,0.01402,0.08111,0.02772,0.03452,0.15340,0.00000,-0.15666,1.31653,0.10396,0.68904,0.00000
0.65379,2.22533,0.01483,0.07647,0.02772,0.03528,0.07672,0.00000,-0.17404,2.57930,0.14003,0.64816,0.00000
0.58677,2.22762,0.01560,0.06867,0.02772,0.03682,0.15340,0.00000,-0.16653,2.12051,-0.67727,0.58679,0.00000
0.51411,2.22762,0.01630,0.06017,0.02772,0.03835,0.15340,0.00000,-0.14154,2.67880,-0.37688,0.51729,0.00000
0.29457,2.22762,0.01689,0.03447,0.02772,0.03912,0.07668,0.00000,-0.11159,1.81246,-0.50592,0.30293,0.00000
0.25350,2.22991,0.01724,0.02968,0.02772,0.04065,0.15340,0.00000,-0.08300,2.34560,-0.20366,0.26681,0.00000
0.14095,2.23220,0.01753,0.01651,0.02772,0.04142,0.07672,0.00000,-0.05757,1.04230,-0.06694,0.15583,0.00000
0.38295,2.23449,0.01770,0.04489,0.02772,0.04219,0.07668,0.00000,-0.02772,1.29337,0.41803,0.38966,0.00000
0.31346,2.23449,0.01815,0.03674,0.02772,0.04372,0.15340,0.00000,0.00680,1.18089,0.32501,0.32610,0.00000
0.37649,2.23678,0.01852,0.04416,0.02772,0.04449,0.07672,0.00000,0.04367,0.93756,-0.04843,0.38446,0.00000
0.26111,2.23678,0.01897,0.03062,0.02772,0.04525,0.07668,0.00000,0.05571,1.01413,-0.34041,0.27345,0.00000
0.22984,2.23907,0.01928,0.02697,0.02772,0.04602,0.07672,0.00000,0.02116,1.44174,-0.84606,0.24365,0.00000
0.09597,2.23907,0.01957,0.01126,0.02772,0.04679,0.07668,0.00000,-0.02351,2.20359,-0.64482,0.11488,0.00000
0.01710,2.24136,0.01970,0.00201,0.02772,0.04755,0.07672,0.00000,-0.05195,0.76296,0.13447,0.03926,0.00000
0.07558,2.24365,0.01973,0.00888,0.02772,0.04755,0.00000,0.00000,-0.05920,1.04439,0.57772,0.09293,0.00000
0.04762,2.24365,0.01980,0.00559,0.02772,0.04755,0.00000,0.00000,-0.05654,-0.18681,0.20785,0.06594,0.00000
0.17306,2.24365,0.01986,0.02033,0.02772,0.04755,0.00000,0.00000,-0.06046,0.73686,-0.05286,0.18687,0.00000
0.00031,2.24594,0.02007,0.00004,0.02772,0.04755,0.00000,0.00000,-0.05981,-0.45786,-0.34058,0.02030,0.00000
0.09764,2.24823,0.02008,0.01148,0.02772,0.04755,0.00000,0.00000,-0.04564,-0.36243,-0.15682,0.11417,0.00000
0.03641,2.24823,0.02022,0.00428,0.02772,0.04755,0.00000,0.00000,-0.02609,0.48600,-0.32650,0.05510,0.00000
-0.11864,2.25052,0.02028,-0.01396,0.02772,0.04755,0.00000,0.00000,-0.01314,0.78708,-0.26855,-0.09430,0.00000
-0.29186,2.25052,0.02014,-0.03434,0.02772,0.04755,0.00000,0.00000,-0.00334,0.13091,-0.06109,-0.26121,0.00000
-0.18586,2.25280,0.01980,-0.02188,0.02772,0.04755,0.00000,0.00000,0.00364,-0.07560,-0.00200,-0.15884,0.00000
-0.22895,2.25509,0.01956,-0.02697,0.02772,0.04755,0.00000,0.00000,-0.00022,-0.19963,0.32103,-0.20020,0.00000
-0.19759,2.25738,0.01927,-0.02329,0.02772,0.04755,0.00000,0.00000,-0.00649,-0.85906,-0.11904,-0.16981,0.00000
-0.22891,2.25967,0.01904,-0.02699,0.02772,0.04755,0.00000,0.00000,-0.00531,-1.17622,-0.09709,-0.19981,0.00000
-0.20986,2.25967,0.01877,-0.02475,0.02772,0.04755,0.00000,0.00000,0.00269,-1.94777,-0.05646,-0.18137,0.00000
-0.27423,2.25967,0.01854,-0.03234,0.02772,0.04755,0.00000,0.00000,0.01016,-0.52720,-0.26658,-0.24330,0.00000
-0.45400,2.26196,0.01823,-0.05356,0.02772,0.04755,0.00000,0.00000,0.01245,-0.30143,-0.63231,-0.41626,0.00000
-0.38042,2.26425,0.01772,-0.04491,0.02772,0.04755,0.00000,0.00000,0.00910,-0.46108,-0.10021,-0.34510,0.00000
-0.51048,2.26425,0.01727,-0.06026,0.02772,0.04755,0.00000,0.00000,-0.00395,-0.75077,0.76450,-0.47021,0.00000
