sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.08512,-0.00229,-0.01565,-0.00655,0.02542,0.39654,0.00000,0.00000,0.06716,0.30631,-0.02731,-0.08512,0.00000
-0.08911,-0.00229,-0.01568,-0.00685,0.02542,0.39654,0.00000,0.00000,0.04866,0.24334,0.10579,-0.08911,0.00000
-0.11955,-0.00229,-0.01571,-0.00919,0.02542,0.39654,0.00000,0.00000,0.03131,0.23280,0.05299,-0.11955,0.00000
-0.09721,-0.00229,-0.01576,-0.00748,0.02542,0.39654,0.00000,0.00000,0.01821,0.23630,-0.03320,-0.09721,0.00000
-0.01720,0.00000,-0.01579,-0.00132,0.02542,0.39654,0.00000,0.00000,0.00890,0.15767,-0.00620,-0.01720,0.00000
-0.06190,0.00000,-0.01577,-0.00476,0.02542,0.39654,0.00000,0.00000,0.00276,0.14514,-0.00149,-0.06190,0.00000
-0.08064,0.00000,-0.01578,-0.00620,0.02542,0.39654,0.00000,0.00000,0.00339,0.15055,0.05613,-0.08064,0.00000
-0.05053,0.00000,-0.01581,-0.00389,0.02542,0.39654,0.00000,0.00000,0.01043,0.13939,0.12321,-0.05053,0.00000
-0.02556,0.00000,-0.01582,-0.00197,0.02542,0.39654,0.00000,0.00000,0.01677,0.14414,0.01277,-0.02556,0.00000
-0.06631,0.00000,-0.01581,-0.00510,0.02542,0.39654,0.00000,0.00000,0.03064,0.13917,0.00797,-0.06631,0.00000
-0.01999,0.00000,-0.01582,-0.00154,0.02542,0.39654,0.00000,0.00000,0.05884,0.12913,-0.02125,-0.01999,0.00000
-0.03107,0.00000,-0.01578,-0.00239,0.02542,0.39654,0.00000,0.00000,0.08120,0.07913,0.07854,-0.03107,0.00000
-0.02689,0.00000,-0.01577,-0.00207,0.02542,0.39654,0.00000,0.00000,0.08316,0.10918,0.13189,-0.02689,0.00000
-0.02030,0.00000,-0.01576,-0.00156,0.02542,0.39654,0.00000,0.00000,0.07401,0.18176,0.05662,-0.02030,0.00000
0.01947,0.00000,-0.01574,0.00150,0.02542,0.39654,0.00000,0.00000,0.06483,0.06834,-0.06595,0.01947,0.00000
-0.05889,0.00000,-0.01569,-0.00453,0.02542,0.39654,0.00000,0.00000,0.05850,0.12373,-0.18953,-0.05889,0.00000
-0.11664,0.00000,-0.01570,-0.00897,0.02542,0.39654,0.00000,0.00000,0.05450,0.22241,-0.39360,-0.11664,0.00000
-0.00904,0.00000,-0.01572,-0.00070,0.02542,0.39654,0.00000,0.00000,0.05231,-0.09935,0.05429,-0.00904,0.00000
-0.14700,0.00000,-0.01565,-0.01131,0.02542,0.39654,0.00000,0.00000,0.05145,0.35472,-0.06906,-0.14700,0.00000
-0.07629,0.00000,-0.01570,-0.00587,0.02542,0.39654,0.00000,0.00000,0.05152,0.24164,-0.30139,-0.07629,0.00000
-0.14761,0.00000,-0.01568,-0.01135,0.02542,0.39654,0.00000,0.00000,0.05005,0.25585,-0.27741,-0.14761,0.00000
-0.18924,0.00000,-0.01572,-0.01456,0.02542,0.39654,0.00000,0.00000,0.03921,0.38690,-0.02129,-0.18924,0.00000
-0.21445,0.00000,-0.01579,-0.01650,0.02542,0.39654,0.00000,0.00000,0.01476,0.37691,-0.13561,-0.21445,0.00000
-0.28609,0.00000,-0.01589,-0.02201,0.02542,0.39654,0.00000,0.00000,-0.01434,0.06514,-0.25237,-0.28609,0.00000
-0.22268,0.00000,-0.01605,-0.01713,0.02542,0.39654,0.00000,0.00000,-0.03770,0.28101,-0.26709,-0.22268,0.00000
-0.27355,0.00000,-0.01619,-0.02104,0.02542,0.39654,0.00000,0.00000,-0.05550,0.14796,0.09944,-0.27355,0.00000
-0.30113,0.00000,-0.01635,-0.02316,0.02542,0.39654,0.00000,0.00000,-0.07042,0.13975,0.32494,-0.30113,0.00000
-0.25070,0.00000,-0.01653,-0.01928,0.02542,0.39654,0.00000,0.00000,-0.08017,0.14776,0.22871,-0.25070,0.00000
-0.30202,0.00000,-0.01667,-0.02323,0.02542,0.39654,0.00000,0.00000,-0.08157,0.14048,-0.09807,-0.30202,0.00000
-0.34207,0.00000,-0.01685,-0.02631,0.02542,0.39654,0.00000,0.00000,-0.07326,0.24831,-0.24459,-0.34207,0.00000
-0.38677,0.00000,-0.01707,-0.02975,0.02542,0.39654,0.00000,0.00000,-0.05514,0.24490,-0.10066,-0.38677,0.00000
-0.42393,0.00000,-0.01732,-0.03261,0.02542,0.39654,0.00000,0.00000,-0.04068,0.29633,-0.05122,-0.42393,0.00000
-0.39182,0.00000,-0.01760,-0.03014,0.02542,0.39654,0.00000,0.00000,-0.04671,0.25377,-0.11454,-0.39182,0.00000
-0.39935,0.00000,-0.01785,-0.03072,0.02542,0.39654,0.00000,0.00000,-0.05903,0.28073,-0.27710,-0.39935,0.00000
-0.43088,0.00000,-0.01811,-0.03314,0.02542,0.39654,0.00000,0.00000,-0.05738,0.25769,-0.38342,-0.43088,0.00000
-0.46838,0.00000,-0.01841,-0.03603,0.02542,0.39654,0.00000,0.00000,-0.04693,0.21745,-0.33141,-0.46838,0.00000
-0.53039,0.00000,-0.01867,-0.04080,0.02542,0.39654,0.00000,0.00000,-0.03591,0.20753,-0.27402,-0.53039,0.00000
-0.57457,0.00000,-0.01899,-0.04420,0.02542,0.39654,0.00000,0.00000,-0.02753,0.19719,-0.17360,-0.57457,0.00000
-0.57235,0.00000,-0.01936,-0.04403,0.02542,0.39654,0.00000,0.00000,-0.02365,0.30596,-0.17105,-0.57235,0.00000
-0.58098,0.00000,-0.01972,-0.04469,0.02542,0.39654,0.00000,0.00000,-0.01872,0.19329,0.08072,-0.58098,0.00000
-0.55087,0.00000,-0.02008,-0.04237,0.02542,0.39654,0.00000,0.00000,-0.01562,0.19507,0.21059,-0.55087,0.00000
-0.59170,0.00000,-0.02048,-0.04552,0.02542,0.39654,0.00000,0.00000,-0.02245,0.26713,0.13529,-0.59170,0.00000
-0.60939,0.00000,-0.02091,-0.04688,0.02542,0.39654,0.00000,0.00000,-0.03296,0.23781,0.00511,-0.60939,0.00000
