sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.28175,2.22075,-0.03672,-0.03292,0.02465,0.00154,0.00000,0.00000,-0.03274,0.10697,-0.07661,-0.28175,0.00000
0.03748,2.22075,-0.03690,0.00438,0.02465,0.00154,0.00000,0.00000,-0.04281,0.17417,-0.13708,0.03748,0.00000
-0.30627,2.22075,-0.03676,-0.03579,0.02465,0.00154,0.00000,0.00000,-0.05211,-0.14488,0.24358,-0.30627,0.00000
0.07550,2.22075,-0.03704,0.00882,0.02465,0.00154,0.00000,0.00000,-0.07926,-0.23216,0.19200,0.07550,0.00000
-0.18517,2.21846,-0.03690,-0.02162,0.02465,0.00154,0.00000,0.00000,-0.10717,0.64536,-0.01410,-0.18517,0.00000
-0.14050,2.21846,-0.03700,-0.01641,0.02465,0.00154,0.00000,0.00000,-0.12271,-0.62439,-0.52552,-0.14050,0.00000
-0.00352,2.21846,-0.03712,-0.00041,0.02465,0.00154,0.00000,0.00000,-0.13542,0.10072,0.14524,-0.00352,0.00000
-0.30146,2.21846,-0.03709,-0.03520,0.02465,0.00154,0.00000,0.00000,-0.13680,-0.00326,0.80047,-0.30146,0.00000
0.12586,2.21846,-0.03742,0.01470,0.02465,0.00154,0.00000,0.00000,-0.12019,0.96744,0.61554,0.12586,0.00000
-0.31088,2.21846,-0.03718,-0.03630,0.02465,0.00154,0.00000,0.00000,-0.09974,0.98155,0.10495,-0.31088,0.00000
0.04957,2.21846,-0.03738,0.00579,0.02465,0.00154,0.00000,0.00000,-0.08697,-0.21896,-0.42755,0.04957,0.00000
-0.20962,2.21846,-0.03717,-0.02448,0.02465,0.00154,0.00000,0.00000,-0.08015,0.23527,-0.12499,-0.20962,0.00000
-0.11326,2.21617,-0.03729,-0.01322,0.02465,0.00154,0.00000,0.00000,-0.09466,-0.61493,0.37379,-0.11326,0.00000
