sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
,0.00000,0.00000,-0.00455,0.00000,0.00000,-22.13983,0.00000,0.00000,0.06828,0.20793,0.00000,0.00000
,0.00000,-0.00005,-0.00289,0.00000,0.00000,0.00000,0.00000,0.00000,0.05333,0.21722,0.00000,0.00000
,0.00000,-0.00007,-0.00164,0.00000,0.00000,0.00000,0.00000,0.00000,0.05225,0.21729,0.00000,0.00000
,0.00000,-0.00009,-0.00297,0.00000,0.00000,0.00000,0.00000,0.00000,0.06325,0.24137,0.00000,0.00000
,0.00000,-0.00012,0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.10028,0.27100,0.00000,0.00000
,0.00000,-0.00011,-0.00055,0.00000,0.00000,0.00000,0.00000,0.00000,0.09668,0.32857,0.00000,0.00000
,0.00000,-0.00012,0.00055,0.00000,0.00000,0.00000,0.00000,0.00000,0.02006,0.32705,0.00000,0.00000
,0.00000,-0.00011,0.00247,0.00000,0.00000,0.00000,0.00000,0.00000,0.04206,0.33722,0.00000,0.00000
,0.00000,-0.00009,0.00513,0.00000,0.00000,0.00000,0.00000,0.00000,0.05015,0.34229,0.00000,0.00000
,0.00000,-0.00004,0.00384,0.00000,0.00000,0.00000,0.00000,0.00000,0.03794,0.28422,0.00000,0.00000
,0.00000,0.00000,0.00392,0.02542,-0.23623,0.00000,0.00000,0.00000,0.07626,0.26592,1.67048,0.70674
,0.00000,0.00004,0.00439,0.02542,-0.23623,0.00000,0.00000,0.00000,0.06872,0.27531,0.42833,0.19275
,0.00000,0.00008,0.00517,0.02542,-0.23546,0.07672,0.00000,0.00000,0.04191,0.33227,0.42343,0.19068
,0.00000,0.00014,0.00407,0.02542,-0.23470,0.07668,0.00000,0.00000,0.04827,0.33233,0.42218,0.19011
,0.00000,0.00018,-0.00319,0.02542,-0.23393,0.07672,0.00000,0.00000,0.07571,-0.17626,0.42092,0.18955
,0.00000,0.00015,-0.00133,0.02542,-0.23393,0.00000,0.00000,0.00000,0.07651,-0.48341,0.42456,0.19105
,0.00000,0.00013,0.00335,0.02542,-0.23393,0.00000,0.00000,0.00000,0.04899,-0.03256,0.42456,0.19105
,0.00000,0.00017,0.00942,0.02542,-0.23393,0.00000,0.00000,0.00000,0.07000,0.77477,0.42456,0.19105
,0.00000,0.00026,0.01187,0.02542,-0.23393,0.00000,0.00000,0.00000,-0.03418,0.98857,0.42456,0.19105
,0.00000,0.00038,0.00845,0.02542,-0.23393,0.00000,0.00000,0.00000,0.08329,0.24195,0.42456,0.19105
,0.00000,0.00046,0.01096,0.02542,-0.23393,0.00000,0.00000,0.00000,0.04770,-0.27282,0.42456,0.19105
,0.00000,0.00057,0.00521,0.02542,-0.23393,0.00000,0.00000,0.00000,0.08454,-0.12291,0.42456,0.19105
,0.00000,0.00062,0.00064,0.02542,-0.23393,0.00000,0.00000,0.00000,0.19142,0.46049,0.42456,0.19105
,0.00000,0.00063,0.00330,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09141,0.82315,0.42456,0.19105
,0.00000,0.00066,0.00705,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10510,0.61704,0.42456,0.19105
,0.00000,0.00073,0.01151,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11617,0.31469,0.42456,0.19105
,0.00000,0.00085,0.01374,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14471,-0.05444,0.42456,0.19105
,0.00000,0.00099,0.00963,0.02542,-0.23393,0.00000,0.00000,0.00000,0.17840,-0.22186,0.42456,0.19105
,0.00000,0.00108,0.00877,0.02542,-0.23393,0.00000,0.00000,0.00000,0.17653,-0.20283,0.42456,0.19105
,0.00000,0.00117,0.00313,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09294,0.02602,0.42456,0.19105
,0.00000,0.00120,0.00549,0.02542,-0.23393,0.00000,0.00000,0.00000,0.17300,0.28221,0.42456,0.19105
,0.00000,0.00126,0.00632,0.02542,-0.23393,0.00000,0.00000,0.00000,0.13289,0.42084,0.42456,0.19105
,0.00000,0.00132,0.01073,0.02542,-0.23393,0.00000,0.00000,0.00000,0.15701,0.20991,0.42456,0.19105
,0.00000,0.00143,0.00807,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11883,-0.04048,0.42456,0.19105
,0.00000,0.00151,0.01047,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11087,-0.08404,0.42456,0.19105
,0.00000,0.00161,0.00902,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11482,0.15622,0.42456,0.19105
,0.00000,0.00170,0.00451,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09776,0.45360,0.42456,0.19105
,0.00000,0.00175,0.00478,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11774,0.47785,0.42456,0.19105
,0.00000,0.00179,0.00686,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10793,0.31923,0.42456,0.19105
,0.00000,0.00186,0.00865,0.02542,-0.23393,0.00000,0.00000,0.00000,0.06853,0.24150,0.42456,0.19105
,0.00000,0.00195,0.00963,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10476,0.14156,0.42456,0.19105
,0.00000,0.00204,0.00971,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09971,0.09358,0.42456,0.19105
,0.00000,0.00214,0.00717,0.02542,-0.23393,0.00000,0.00000,0.00000,0.07797,0.13141,0.42456,0.19105
,0.00000,0.00221,0.00580,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11641,0.17073,0.42456,0.19105
,0.00000,0.00227,0.00917,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11236,0.17547,0.42456,0.19105
,0.00000,0.00236,0.00630,0.02542,-0.23393,0.00000,0.00000,0.00000,0.15749,-0.01102,0.42456,0.19105
,0.00000,0.00242,0.00776,0.02542,-0.23393,0.00000,0.00000,0.00000,0.05393,-0.02764,0.42456,0.19105
,0.00000,0.00250,0.00854,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10429,0.07430,0.42456,0.19105
,0.00000,0.00258,0.00552,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09194,0.23236,0.42456,0.19105
,0.00000,0.00264,0.00549,0.02542,-0.23393,0.00000,0.00000,0.00000,0.16134,0.15706,0.42456,0.19105
,0.00000,0.00269,0.00678,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10870,0.07920,0.42456,0.19105
,0.00000,0.00276,0.00635,0.02542,-0.23393,0.00000,0.00000,0.00000,0.13334,0.07493,0.42456,0.19105
,0.00000,0.00282,0.00533,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10784,0.19451,0.42456,0.19105
,0.00000,0.00287,0.00572,0.02542,-0.23393,0.00000,0.00000,0.00000,0.12724,0.30053,0.42456,0.19105
,0.00000,0.00293,0.00392,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09252,0.27570,0.42456,0.19105
,0.00000,0.00297,0.00055,0.02542,-0.23393,0.00000,0.00000,0.00000,0.05003,0.25568,0.42456,0.19105
,0.00000,0.00297,0.00196,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14227,0.14234,0.42456,0.19105
,0.00000,0.00299,0.00599,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09777,0.08386,0.42456,0.19105
,0.00000,0.00305,0.00286,0.02542,-0.23393,0.00000,0.00000,0.00000,0.15918,0.15721,0.42456,0.19105
,0.00000,0.00308,0.00161,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09160,0.15561,0.42456,0.19105
,0.00000,0.00309,0.00548,0.02542,-0.23393,0.00000,0.00000,0.00000,0.07901,0.10246,0.42456,0.19105
,0.00000,0.00315,0.00133,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10288,0.06461,0.42456,0.19105
,0.00000,0.00316,0.00203,0.02542,-0.23393,0.00000,0.00000,0.00000,0.05002,0.03460,0.42456,0.19105
,0.00000,0.00318,0.00168,0.02542,-0.23393,0.00000,0.00000,0.00000,0.13112,0.03177,0.42456,0.19105
,0.00000,0.00320,0.00130,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11060,0.06004,0.42456,0.19105
,0.00000,0.00321,0.00110,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10610,0.09351,0.42456,0.19105
,0.00000,0.00322,-0.00262,0.02542,-0.23393,0.00000,0.00000,0.00000,0.08527,0.07389,0.42456,0.19105
,0.00000,0.00319,-0.00086,0.02542,-0.23393,0.00000,0.00000,0.00000,0.06109,0.13098,0.42456,0.19105
,0.00000,0.00318,0.00012,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10106,0.14151,0.42456,0.19105
,0.00000,0.00318,-0.00294,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09059,0.18444,0.42456,0.19105
,0.00000,0.00315,-0.00275,0.02542,-0.23393,0.00000,0.00000,0.00000,0.12828,0.19004,0.42456,0.19105
,0.00000,0.00312,0.00055,0.02542,-0.23393,0.00000,0.00000,0.00000,0.08142,0.17944,0.42456,0.19105
,0.00000,0.00313,-0.00568,0.02542,-0.23393,0.00000,0.00000,0.00000,0.08856,0.13154,0.42456,0.19105
,0.00000,0.00307,-0.00403,0.02542,-0.23393,0.00000,0.00000,0.00000,0.13029,0.14696,0.42456,0.19105
,0.00000,0.00303,-0.00435,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10312,0.11274,0.42456,0.19105
,0.00000,0.00298,-0.00556,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10876,0.12250,0.42456,0.19105
,0.00000,0.00292,-0.00360,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09910,0.11736,0.42456,0.19105
,0.00000,0.00289,-0.00584,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11697,0.08909,0.42456,0.19105
,0.00000,0.00283,-0.00470,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10534,0.07435,0.42456,0.19105
,0.00000,0.00278,-0.00803,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14550,0.08970,0.42456,0.19105
,0.00000,0.00270,-0.00693,0.02542,-0.23393,0.00000,0.00000,0.00000,0.15538,0.08498,0.42456,0.19105
,0.00000,0.00263,-0.00674,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14687,0.15206,0.42456,0.19105
,0.00000,0.00256,-0.00815,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10303,0.15110,0.42456,0.19105
,0.00000,0.00248,-0.00736,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10968,0.13204,0.42456,0.19105
,0.00000,0.00240,-0.00728,0.02542,-0.23393,0.00000,0.00000,0.00000,0.13379,0.12776,0.42456,0.19105
,0.00000,0.00233,-0.00744,0.02542,-0.23393,0.00000,0.00000,0.00000,0.06597,0.20313,0.42456,0.19105
,0.00000,0.00225,-0.01034,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09299,0.15087,0.42456,0.19105
,0.00000,0.00215,-0.01101,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14643,0.19522,0.42456,0.19105
,0.00000,0.00204,-0.00815,0.02542,-0.23393,0.00000,0.00000,0.00000,0.16654,0.22454,0.42456,0.19105
,0.00000,0.00195,-0.01140,0.02542,-0.23393,0.00000,0.00000,0.00000,0.16748,0.16698,0.42456,0.19105
,0.00000,0.00184,-0.00626,0.02542,-0.23393,0.00000,0.00000,0.00000,0.12136,0.16109,0.42456,0.19105
,0.00000,0.00178,-0.00791,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14725,0.17614,0.42456,0.19105
,0.00000,0.00170,-0.00686,0.02542,-0.23393,0.00000,0.00000,0.00000,0.16319,0.12359,0.42456,0.19105
,0.00000,0.00163,-0.00819,0.02542,-0.23393,0.00000,0.00000,0.00000,0.15660,0.17139,0.42456,0.19105
,0.00000,0.00154,-0.00572,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10413,0.16546,0.42456,0.19105
,0.00000,0.00149,-0.01014,0.02542,-0.23393,0.00000,0.00000,0.00000,0.18680,0.13372,0.42456,0.19105
,0.00000,0.00138,-0.00913,0.02542,-0.23393,0.00000,0.00000,0.00000,0.17768,0.14303,0.42456,0.19105
,0.00000,0.00129,-0.00603,0.02542,-0.23393,0.00000,0.00000,0.00000,0.13885,0.17574,0.42456,0.19105
,0.00000,0.00123,-0.00822,0.02542,-0.23393,0.00000,0.00000,0.00000,0.12471,0.18050,0.42456,0.19105
,0.00000,0.00115,-0.00768,0.02542,-0.23393,0.00000,0.00000,0.00000,0.10444,0.16079,0.42456,0.19105
,0.00000,0.00107,-0.00830,0.02542,-0.23393,0.00000,0.00000,0.00000,0.12915,0.18527,0.42456,0.19105
,0.00000,0.00099,-0.00916,0.02542,-0.23393,0.00000,0.00000,0.00000,0.16572,0.16208,0.42456,0.19105
,0.00000,0.00090,-0.01022,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14222,0.20958,0.42456,0.19105
,0.00000,0.00079,-0.00787,0.02542,-0.23393,0.00000,0.00000,0.00000,0.16661,0.17175,0.42456,0.19105
,0.00000,0.00071,-0.00677,0.02542,-0.23393,0.00000,0.00000,0.00000,0.19490,0.23477,0.42456,0.19105
,0.00000,0.00065,-0.00670,0.02542,-0.23393,0.00000,0.00000,0.00000,0.11107,0.20884,0.42456,0.19105
,0.00000,0.00058,-0.00619,0.02542,-0.23393,0.00000,0.00000,0.00000,0.14574,0.20481,0.42456,0.19105
,0.00000,0.00052,-0.00690,0.02542,-0.23393,0.00000,0.00000,0.00000,0.15621,0.16188,0.42456,0.19105
,0.00000,0.00045,-0.00455,0.02542,-0.23393,0.00000,0.00000,0.00000,0.09868,0.17495,0.42456,0.19105
