CLOCKWISE, arm = 315mm
command,kg1_CCW_push,kg2_CW_push
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.035
0.6,0.0,0.35
0.7,0.0,0.85
0.8,0.02,0.95
0.9,0.055,0.125
1.0,0.110,0.150
1.1,0.160,0.215
1.2,0.205,0.215
1.3,0.285,0.240
1.4,0.405,0.355
1.5,0.405,0.380
1.6,0.415,0.420
1.7,0.475,0.475
1.8,0.455,0.540
1.9,0.375,0.575
2.0,0.375,0.730
2.1,0.575,0.760
2.2,0.500,0.845
2.3,0.525,0.805
2.4,0.585,0.920
2.5,0.660,1.040
2.6,0.685,1.040
2.7,0.710,1.150
2.8,0.755,1.225
2.9,0.785,1.300
3.0,0.875,1.285
3.1,0.875,1.380
3.2,0.875,1.425
3.3,0.930,1.500
3.4,1.000,1.475
3.5,1.060,1.445
3.6,1.105,1.480
3.7,1.110,1.550
3.8,1.180,1.585
3.9,1.180,1.625
4.0,1.200,1.725
4.1,1.235,1.960
4.2,1.300,2.090
4.3,1.270,2.055
4.4,1.215,2.190
4.5,1.365,2.190
4.6,1.410,2.190
4.7,1.370,2.170
4.8,1.385,2.395
4.9,1.335,2.150
5.0,1.435,2.300
5.1,1.535,2.280
5.2,1.535,2.280
5.3,1.620,2.395
5.4,1.620,2.500
5.5,1.635,2.610
5.6,1.605,2.570
5.7,1.720,2.545
5.8,1.655,2.690
5.9,1.970,2.885
6.0,2.285,3.000
