speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_hand
0,0.00,0.00000,0.00000,0.00,-0.02,-0.01,0.00,0.00000,0.00,0.00121,2797,5873,-0.55673,0.07838,7.33730,1.66,0.00,,16384,20682,-5.10
0,0.00,0.00001,0.00001,-0.00,-0.02,-0.01,0.00,0.00001,0.00,-0.00035,2797,5873,-0.55673,0.07838,0.00000,2.12,0.00,,16384,20682,-5.10
0,0.00,0.00001,0.00001,-0.00,-0.02,-0.01,0.00,0.00001,0.00,-0.00200,2801,5873,-0.55366,0.07838,0.00000,2.14,0.00,,16384,20682,-5.10
0,0.00,0.00002,-0.00001,0.00,-0.02,-0.01,0.00,-0.00001,-0.00,0.00070,2817,5874,-0.54139,0.07761,-0.07672,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00002,-0.00000,-0.01,-0.02,-0.04,0.00,-0.00000,-0.00,-0.00539,2840,5875,-0.52375,0.07684,-0.07667,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00003,-0.00006,-0.01,-0.02,-0.05,0.00,-0.00006,-0.00,-0.00669,2868,5875,-0.50227,0.07684,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00003,-0.00013,-0.01,-0.01,-0.05,-0.00,-0.00013,-0.00,-0.00660,2899,5875,-0.47849,0.07684,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00004,-0.00019,-0.01,-0.01,-0.00,0.00,-0.00019,-0.00,-0.00742,2932,5875,-0.45318,0.07684,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00004,-0.00027,0.00,-0.01,0.04,0.00,-0.00027,-0.00,0.00122,2968,5875,-0.42557,0.07684,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00005,-0.00025,-0.00,-0.02,0.02,0.00,-0.00025,-0.00,-0.00162,3008,5876,-0.39489,0.07608,-0.07673,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00005,-0.00027,0.00,-0.02,-0.04,0.00,-0.00027,-0.00,0.00237,3051,5876,-0.36191,0.07608,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00006,-0.00025,0.01,-0.02,-0.08,0.00,-0.00025,-0.00,0.00700,3095,5876,-0.32816,0.07608,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00006,-0.00018,0.01,-0.02,-0.06,-0.00,-0.00018,-0.00,0.01317,3140,5876,-0.29365,0.07608,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00007,-0.00004,0.05,0.05,0.02,0.00,-0.00004,-0.00,0.05404,3186,5876,-0.25837,0.07608,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00007,0.00050,0.00,0.03,0.05,0.00,0.00050,-0.00,0.00267,3232,5876,-0.22309,0.07608,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00008,0.00052,0.01,-0.01,0.04,0.00,0.00052,0.00,0.00929,3277,5876,-0.18857,0.07608,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00008,0.00062,-0.00,-0.03,-0.02,0.00,0.00062,0.00,-0.00351,3321,5876,-0.15482,0.07608,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00009,0.00058,0.00,-0.04,-0.06,0.00,0.00058,0.00,0.00327,3362,5877,-0.12338,0.07531,-0.07668,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00009,0.00061,0.00,-0.03,-0.04,0.00,0.00061,0.00,0.00165,3399,5877,-0.09500,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00010,0.00063,0.00,-0.02,0.00,-0.00,0.00063,0.00,0.00024,3431,5877,-0.07045,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00010,0.00063,-0.01,-0.02,0.02,-0.00,0.00063,0.00,-0.00715,3456,5877,-0.05128,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00011,0.00056,-0.00,-0.01,0.00,0.00,0.00056,0.00,-0.00378,3473,5877,-0.03824,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00011,0.00052,0.00,-0.01,-0.02,-0.00,0.00052,0.00,0.00353,3485,5877,-0.02904,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00012,0.00056,0.01,-0.01,-0.03,-0.00,0.00056,0.00,0.00940,3491,5876,-0.02444,0.07608,0.07668,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00012,0.00065,0.01,-0.01,-0.03,-0.00,0.00065,0.00,0.01281,3493,5876,-0.02290,0.07608,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00013,0.00078,0.02,-0.01,-0.01,-0.00,0.00078,0.00,0.01592,3493,5875,-0.02290,0.07684,0.07672,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00013,0.00094,0.02,-0.02,-0.00,0.00,0.00094,0.00,0.02394,3488,5875,-0.02674,0.07684,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00014,0.00118,0.03,-0.02,-0.02,-0.00,0.00118,0.00,0.02569,3482,5875,-0.03134,0.07684,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00014,0.00143,0.03,-0.02,-0.03,0.00,0.00143,0.00,0.02657,3477,5876,-0.03517,0.07608,-0.07672,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00015,0.00170,0.02,-0.02,-0.02,-0.00,0.00170,0.00,0.01981,3472,5876,-0.03901,0.07608,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00015,0.00190,0.01,-0.02,-0.01,-0.00,0.00190,0.00,0.00556,3468,5877,-0.04208,0.07531,-0.07668,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00016,0.00195,-0.00,-0.02,0.00,-0.00,0.00195,0.00,-0.00423,3465,5877,-0.04438,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00016,0.00191,-0.01,-0.03,0.01,-0.00,0.00191,0.00,-0.01097,3463,5877,-0.04591,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00017,0.00180,-0.02,-0.02,-0.00,-0.00,0.00180,0.00,-0.01669,3463,5877,-0.04591,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00017,0.00163,-0.02,-0.02,-0.01,0.00,0.00163,0.00,-0.02034,3463,5877,-0.04591,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00018,0.00143,-0.02,-0.02,-0.02,0.00,0.00143,0.00,-0.02269,3463,5877,-0.04591,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00018,0.00120,-0.01,-0.02,-0.03,0.00,0.00120,0.00,-0.01373,3465,5877,-0.04438,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00019,0.00107,-0.01,-0.02,-0.03,-0.00,0.00107,0.00,-0.01149,3466,5877,-0.04361,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00019,0.00095,-0.01,-0.02,-0.03,-0.00,0.00095,0.00,-0.01008,3467,5877,-0.04284,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00020,0.00085,-0.01,-0.01,-0.03,-0.00,0.00085,0.00,-0.00780,3468,5877,-0.04208,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00020,0.00077,-0.01,-0.01,-0.01,-0.00,0.00077,0.00,-0.00536,3469,5877,-0.04131,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00021,0.00072,-0.00,-0.02,0.00,0.00,0.00072,0.00,-0.00101,3469,5877,-0.04131,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00021,0.00071,0.00,-0.02,-0.01,-0.00,0.00071,0.00,0.00129,3469,5877,-0.04131,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00022,0.00072,0.00,-0.02,-0.02,0.00,0.00072,0.00,0.00038,3466,5877,-0.04361,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00022,0.00072,0.00,-0.03,-0.00,-0.00,0.00072,0.00,0.00457,3461,5878,-0.04744,0.07454,-0.07672,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00023,0.00077,0.01,-0.03,0.02,-0.00,0.00077,0.00,0.01050,3455,5878,-0.05205,0.07454,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00023,0.00087,0.01,-0.03,-0.00,-0.00,0.00087,0.00,0.00935,3453,5878,-0.05358,0.07454,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00024,0.00097,0.00,-0.02,-0.05,-0.00,0.00097,0.00,0.00240,3452,5878,-0.05435,0.07454,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00024,0.00099,-0.01,-0.01,-0.06,-0.00,0.00099,0.00,-0.00864,3452,5877,-0.05435,0.07531,0.07673,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00025,0.00090,0.01,-0.01,-0.01,0.00,0.00090,0.00,0.00637,3455,5877,-0.05205,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00025,0.00097,0.01,-0.01,0.03,0.00,0.00097,0.00,0.00811,3458,5877,-0.04975,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00026,0.00105,-0.01,-0.01,0.01,0.00,0.00105,0.00,-0.01263,3461,5877,-0.04744,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00026,0.00092,-0.00,-0.02,-0.03,-0.00,0.00092,0.00,-0.00283,3464,5877,-0.04514,0.07531,0.00000,2.14,0.00,,16384,20682,-5.10
0,0.00,0.00027,0.00089,0.01,-0.02,-0.04,0.00,0.00089,0.00,0.00858,3467,5877,-0.04284,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00027,0.00098,0.00,-0.03,-0.04,0.00,0.00098,0.00,0.00337,3470,5877,-0.04054,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00028,0.00101,-0.01,-0.02,-0.02,0.00,0.00101,0.00,-0.00535,3473,5877,-0.03824,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00028,0.00096,-0.01,-0.02,0.01,-0.00,0.00096,0.00,-0.00689,3475,5877,-0.03671,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00029,0.00089,-0.00,-0.02,0.02,0.00,0.00089,0.00,-0.00460,3477,5877,-0.03517,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00029,0.00084,-0.00,-0.02,0.00,0.00,0.00084,0.00,-0.00238,3479,5877,-0.03364,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00030,0.00082,-0.01,-0.02,-0.04,-0.00,0.00082,0.00,-0.00860,3481,5877,-0.03210,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00030,0.00073,-0.01,-0.02,-0.05,0.00,0.00073,0.00,-0.00516,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00031,0.00068,0.01,-0.02,-0.02,0.00,0.00068,0.00,0.00641,3483,5877,-0.03057,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00031,0.00075,0.00,-0.02,-0.01,-0.00,0.00075,0.00,0.00094,3483,5877,-0.03057,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00032,0.00075,0.00,-0.02,-0.01,0.00,0.00075,0.00,0.00102,3483,5877,-0.03057,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00032,0.00076,-0.00,-0.02,-0.01,-0.00,0.00076,0.00,-0.00051,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00033,0.00076,0.00,-0.02,-0.01,-0.00,0.00076,0.00,0.00039,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00033,0.00076,0.00,-0.01,-0.02,-0.00,0.00076,0.00,0.00176,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00034,0.00078,-0.00,-0.02,-0.02,-0.00,0.00078,0.00,-0.00227,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00034,0.00076,-0.01,-0.02,-0.02,-0.00,0.00076,0.00,-0.00537,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00035,0.00070,-0.00,-0.02,-0.01,-0.00,0.00070,0.00,-0.00392,3482,5877,-0.03134,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00035,0.00066,-0.00,-0.02,-0.01,0.00,0.00066,0.00,-0.00017,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00036,0.00066,-0.00,-0.02,-0.02,0.00,0.00066,0.00,-0.00480,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00036,0.00061,-0.01,-0.02,-0.01,0.00,0.00061,0.00,-0.00690,3482,5877,-0.03134,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00037,0.00054,-0.00,-0.02,-0.01,-0.00,0.00054,0.00,-0.00165,3483,5877,-0.03057,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00037,0.00053,-0.00,-0.02,-0.02,-0.00,0.00053,0.00,-0.00020,3485,5877,-0.02904,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00038,0.00053,0.00,-0.02,-0.02,-0.00,0.00053,0.00,0.00015,3487,5877,-0.02750,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00038,0.00053,-0.00,-0.02,-0.02,-0.00,0.00053,0.00,-0.00412,3489,5877,-0.02597,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00039,0.00049,-0.00,-0.02,-0.02,-0.00,0.00049,0.00,-0.00032,3492,5877,-0.02367,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00039,0.00048,-0.00,-0.02,-0.01,-0.00,0.00048,0.00,-0.00047,3496,5877,-0.02060,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00040,0.00048,-0.00,-0.02,-0.01,-0.00,0.00048,0.00,-0.00220,3499,5877,-0.01830,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00040,0.00046,-0.00,-0.02,-0.01,-0.00,0.00045,0.00,-0.00486,3501,5877,-0.01677,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00041,0.00041,-0.00,-0.02,-0.01,-0.00,0.00041,0.00,-0.00251,3504,5877,-0.01446,0.07531,0.00000,2.14,0.00,,16384,20682,-5.10
0,0.00,0.00041,0.00038,-0.00,-0.02,-0.01,-0.00,0.00038,0.00,-0.00134,3506,5877,-0.01293,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00042,0.00037,-0.00,-0.02,-0.01,0.00,0.00037,0.00,-0.00146,3507,5877,-0.01216,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00042,0.00035,0.01,-0.02,-0.01,0.00,0.00035,0.00,0.00548,3508,5877,-0.01140,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00043,0.00041,-0.00,-0.02,-0.02,-0.00,0.00041,0.00,-0.00196,3510,5877,-0.00986,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00043,0.00039,0.00,-0.01,-0.02,-0.00,0.00039,0.00,0.00067,3512,5877,-0.00833,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00044,0.00039,0.00,-0.02,-0.02,-0.00,0.00039,0.00,0.00293,3513,5877,-0.00756,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00044,0.00042,0.01,-0.01,-0.01,0.00,0.00042,0.00,0.00506,3514,5877,-0.00679,0.07531,0.00000,2.17,0.00,,16384,20682,-5.10
0,0.00,0.00045,0.00047,0.00,-0.02,-0.01,-0.00,0.00047,0.00,0.00047,3514,5877,-0.00679,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00045,0.00048,0.00,-0.02,-0.01,0.00,0.00048,0.00,0.00118,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00046,0.00049,0.00,-0.02,-0.01,0.00,0.00049,0.00,0.00266,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00046,0.00052,0.00,-0.02,-0.02,0.00,0.00052,0.00,0.00441,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00047,0.00056,-0.00,-0.02,-0.02,0.00,0.00056,0.00,-0.00103,3515,5877,-0.00603,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00047,0.00055,0.00,-0.02,-0.01,-0.00,0.00055,0.00,0.00160,3515,5877,-0.00603,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00048,0.00057,-0.00,-0.02,-0.01,0.00,0.00056,0.00,-0.00161,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00048,0.00055,-0.00,-0.02,-0.01,-0.00,0.00055,0.00,-0.00286,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00049,0.00052,-0.00,-0.02,-0.02,-0.00,0.00052,0.00,-0.00142,3514,5877,-0.00679,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00049,0.00051,-0.00,-0.02,-0.02,-0.00,0.00051,0.00,-0.00181,3514,5877,-0.00679,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00049,0.00049,-0.00,-0.02,-0.02,-0.00,0.00049,0.00,-0.00349,3514,5877,-0.00679,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00050,0.00045,-0.00,-0.02,-0.01,-0.00,0.00045,0.00,-0.00196,3514,5877,-0.00679,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00050,0.00043,-0.00,-0.02,-0.02,-0.00,0.00043,0.00,-0.00220,3514,5877,-0.00679,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00051,0.00041,-0.00,-0.02,-0.01,0.00,0.00041,0.00,-0.00224,3514,5877,-0.00679,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00051,0.00039,0.00,-0.02,-0.02,0.00,0.00039,0.00,0.00132,3514,5877,-0.00679,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00052,0.00040,0.00,-0.01,-0.01,-0.00,0.00040,0.00,0.00012,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00052,0.00040,-0.00,-0.02,-0.01,0.00,0.00040,0.00,-0.00015,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00053,0.00040,0.00,-0.02,-0.01,-0.00,0.00040,0.00,0.00129,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00053,0.00041,0.00,-0.02,-0.01,-0.00,0.00041,0.00,0.00395,3515,5877,-0.00603,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00054,0.00045,0.01,-0.02,-0.02,-0.00,0.00045,0.00,0.00536,3515,5877,-0.00603,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00054,0.00050,0.00,-0.02,-0.01,-0.00,0.00050,0.00,0.00486,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00055,0.00055,0.00,-0.02,-0.01,0.00,0.00055,0.00,0.00447,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00055,0.00060,0.00,-0.02,-0.00,0.00,0.00060,0.00,0.00271,3515,5877,-0.00603,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00056,0.00062,0.00,-0.02,-0.01,-0.00,0.00062,0.00,0.00078,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00056,0.00063,-0.00,-0.02,-0.01,-0.00,0.00063,0.00,-0.00271,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00057,0.00060,-0.00,-0.02,-0.01,0.00,0.00060,0.00,-0.00232,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00057,0.00058,-0.00,-0.02,-0.02,0.00,0.00058,0.00,-0.00443,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00058,0.00054,-0.00,-0.02,-0.01,-0.00,0.00054,0.00,-0.00247,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00058,0.00051,0.00,-0.02,-0.02,0.00,0.00051,0.00,0.00026,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
0,0.00,0.00059,0.00051,-0.01,-0.02,-0.02,-0.00,0.00051,0.00,-0.00514,3515,5877,-0.00603,0.07531,0.00000,2.16,0.00,,16384,20682,-5.10
0,0.00,0.00059,0.00046,-0.00,-0.02,-0.02,-0.00,0.00046,0.00,-0.00204,3515,5877,-0.00603,0.07531,0.00000,2.15,0.00,,16384,20682,-5.10
