hand_angle, fork_angle, lean_angle, fork_rate, lean_rate, hand_torque, bike_speed, command_fork, command_hand 
-39.11,-8.09,3479.54,-17.58,0.04,0.00,0.00,-1.72,-0.78
-33.09,-9.64,6994.33,-8.79,0.04,0.00,0.00,-1.26,-0.57
-25.40,-9.72,10508.95,0.00,0.04,0.00,0.00,-0.86,-0.39
-19.86,-9.50,14023.79,8.79,0.04,0.00,0.00,-0.60,-0.27
-19.25,-9.28,17538.58,0.00,0.04,0.00,0.00,-0.57,-0.26
-19.47,-9.28,21053.45,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,24568.32,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,28083.04,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,31597.88,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,35112.40,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,38626.97,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,42141.43,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,45656.00,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,49170.56,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,52685.23,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,56199.98,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,59714.40,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,63229.00,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,66743.51,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,70258.48,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,73773.24,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,77287.98,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,80802.84,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,84317.50,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,87832.18,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,91346.85,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,94861.52,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,98376.39,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,101891.09,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,105405.94,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,108920.75,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,112435.50,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,115950.12,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,119464.77,0.00,0.04,1.00,0.00,-0.58,-0.26
-19.47,-9.28,122979.56,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,126494.38,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,130009.01,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,133523.78,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,137038.59,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,140553.63,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,144068.50,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,147583.41,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,151098.41,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,154613.66,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,158128.63,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,161643.47,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,165158.50,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,168673.59,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,172188.69,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,175703.63,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,179218.75,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,182733.91,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,186248.81,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,189763.81,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,193278.72,0.00,0.04,1.00,0.00,-0.58,-0.26
-19.47,-9.28,196793.81,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,200308.72,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,203823.59,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,207338.53,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,210853.50,0.00,0.04,0.00,0.00,-0.58,-0.26
-19.47,-9.28,214368.34,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,217883.50,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,221398.47,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,224913.41,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,228428.66,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,231943.63,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,235458.50,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,238973.56,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,242488.56,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,246003.59,0.00,0.04,0.00,0.00,-0.68,-0.31
-19.47,-9.28,249518.47,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,253033.53,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,256548.44,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,260063.44,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,263578.38,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,267093.28,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,270608.22,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,274122.78,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,277637.72,0.00,0.04,2.00,0.00,-0.82,-0.37
-19.47,-9.28,281152.72,0.00,0.04,0.00,0.00,-0.82,-0.37
-19.47,-9.28,284668.06,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,288183.38,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,291698.59,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,295213.94,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,298729.38,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,302244.53,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,305759.78,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,309275.00,0.00,0.04,0.00,0.00,-1.02,-0.46
-19.47,-9.28,312790.25,0.00,0.04,0.00,0.00,-1.02,-0.46
