speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,sil_command,post_fork_pwm,post_hand_pwm
0,0.00,0.00000,0.00000,0.06377,-0.02,-0.01,0.00,0.00,0.00,0.06377,3082,5983,-0.35,-0.09,-8.19,,16384,16384
0,0.00,0.00001,0.00064,0.06138,-0.02,-0.01,0.00,0.00,0.00,0.06138,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00001,0.00125,0.06244,-0.02,-0.01,-0.00,0.00,0.00,0.06244,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00002,0.00188,0.06361,-0.02,-0.01,-0.00,0.00,0.00,0.06361,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00002,0.00251,0.06670,-0.02,-0.01,-0.00,0.00,0.00,0.06670,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00003,0.00318,0.06901,-0.02,-0.01,-0.00,0.00,0.00,0.06901,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00003,0.00387,0.06956,-0.02,-0.02,-0.00,0.00,0.00,0.06956,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00004,0.00456,0.06936,-0.02,-0.01,0.00,0.00,0.00,0.06936,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00004,0.00526,0.06792,-0.02,-0.01,-0.00,0.01,0.00,0.06792,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00005,0.00594,0.07015,-0.02,-0.01,-0.00,0.01,0.00,0.07015,3082,5983,-0.35,-0.09,0.00,,16384,16384
0,0.00,0.00005,0.00664,0.07219,-0.02,-0.01,-0.00,0.01,0.00,0.07219,3082,5983,-0.35,-0.09,0.00,,17812,16988
0,0.00,0.00006,0.00736,0.07234,-0.02,-0.01,-0.00,0.01,0.00,0.07234,3082,5983,-0.35,-0.09,0.00,,16750,16548
0,0.00,0.00006,0.00808,0.07438,-0.02,-0.01,-0.00,0.01,0.00,0.07438,3082,5983,-0.35,-0.09,0.00,,16750,16548
0,0.00,0.00007,0.00883,0.07216,-0.01,-0.01,0.00,0.01,0.00,0.07216,3082,5985,-0.35,-0.09,-0.15,,16741,16545
0,0.00,0.00007,0.00955,0.09126,-0.02,0.00,-0.00,0.01,0.00,0.09126,3082,5988,-0.35,-0.09,-0.23,,16735,16542
0,0.00,0.00008,0.01046,0.10549,-0.02,0.01,-0.00,0.01,0.00,0.10549,3082,5990,-0.35,-0.09,-0.15,,16736,16542
0,0.00,0.00008,0.01151,0.08546,-0.04,-0.03,0.00,0.01,0.00,0.08546,3083,5992,-0.35,-0.09,-0.15,,16730,16540
0,0.00,0.00009,0.01237,0.09124,-0.04,-0.06,0.00,0.01,0.00,0.09124,3083,5993,-0.35,-0.10,-0.08,,16735,16542
0,0.00,0.00009,0.01328,0.07423,-0.03,-0.05,0.00,0.01,0.00,0.07423,3084,5995,-0.35,-0.10,-0.15,,16726,16538
0,0.00,0.00010,0.01402,0.08473,-0.02,-0.01,-0.00,0.01,0.00,0.08473,3084,5995,-0.35,-0.10,0.00,,16735,16542
0,0.00,0.00010,0.01486,0.07845,-0.02,-0.01,-0.01,0.01,0.00,0.07845,3084,5995,-0.35,-0.10,0.00,,16735,16542
0,0.00,0.00011,0.01565,0.07257,-0.02,-0.03,-0.00,0.02,0.00,0.07257,3084,5996,-0.35,-0.10,-0.08,,16731,16540
0,0.00,0.00011,0.01637,0.09102,-0.02,-0.02,-0.00,0.02,0.00,0.09102,3084,5997,-0.35,-0.10,-0.08,,16730,16539
1,0.04,0.00012,0.01728,0.09759,-0.02,-0.03,-0.00,0.02,0.00,0.09759,3084,5997,-0.35,-0.10,0.00,,16733,16541
1,0.04,0.00012,0.01825,0.09195,-0.02,-0.02,0.00,0.02,0.00,0.09195,3084,5997,-0.35,-0.10,0.00,,16733,16541
1,0.04,0.00013,0.01917,0.08919,-0.02,-0.00,0.00,0.02,0.00,0.08919,3084,5997,-0.35,-0.10,0.00,,16733,16541
1,0.04,0.00013,0.02006,0.07722,-0.02,0.01,0.00,0.02,0.00,0.07722,3084,5997,-0.35,-0.10,0.00,,16733,16541
1,0.04,0.00014,0.02083,0.06707,-0.02,0.01,0.00,0.02,0.00,0.06707,3084,5997,-0.35,-0.10,0.00,,16733,16541
1,0.04,0.00014,0.02150,0.06853,-0.02,0.02,0.00,0.02,0.00,0.06853,3084,5998,-0.35,-0.10,-0.08,,16729,16539
1,0.04,0.00015,0.02218,0.07620,-0.02,0.01,0.00,0.02,0.00,0.07620,3084,5998,-0.35,-0.10,0.00,,16732,16540
1,0.03,0.00015,0.02294,0.07944,-0.02,-0.01,-0.01,0.02,0.00,0.07944,3084,5998,-0.35,-0.10,0.00,,16732,16540
1,0.03,0.00016,0.02373,0.08275,-0.02,-0.03,0.00,0.02,0.00,0.08275,3084,5998,-0.35,-0.10,0.00,,16732,16540
1,0.03,0.00016,0.02455,0.08377,-0.02,-0.03,-0.00,0.02,0.00,0.08377,3084,5998,-0.35,-0.10,0.00,,16732,16540
1,0.03,0.00017,0.02538,0.07618,-0.02,-0.01,0.02,0.03,0.00,0.07618,3084,5998,-0.35,-0.10,0.00,,16732,16540
1,0.03,0.00017,0.02615,0.07407,-0.02,-0.00,0.00,0.03,0.00,0.07407,3085,5998,-0.35,-0.10,0.00,,16728,16538
1,0.03,0.00018,0.02688,0.06549,-0.02,-0.01,-0.02,0.03,0.00,0.06549,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00018,0.02753,0.06407,-0.02,-0.03,-0.00,0.03,0.00,0.06407,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00019,0.02816,0.07186,-0.02,-0.03,-0.00,0.03,0.00,0.07186,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00019,0.02888,0.07308,-0.02,-0.02,-0.00,0.03,0.00,0.07308,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00020,0.02960,0.07223,-0.02,-0.01,-0.01,0.03,0.00,0.07223,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00020,0.03032,0.06635,-0.02,-0.01,0.02,0.03,0.00,0.06635,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00021,0.03098,0.05777,-0.02,-0.01,-0.01,0.03,0.00,0.05777,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.03,0.00021,0.03155,0.05273,-0.02,-0.00,0.00,0.03,0.00,0.05273,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00022,0.03207,0.05477,-0.02,-0.00,0.01,0.03,0.00,0.05477,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00022,0.03261,0.05264,-0.02,-0.01,-0.00,0.03,0.00,0.05264,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00023,0.03313,0.05209,-0.02,-0.01,0.02,0.03,0.00,0.05209,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00023,0.03365,0.05472,-0.02,-0.01,0.03,0.03,0.00,0.05472,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00024,0.03419,0.05006,-0.02,-0.02,-0.01,0.03,0.00,0.05006,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00024,0.03468,0.04822,-0.02,-0.01,0.01,0.03,0.00,0.04822,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00025,0.03516,0.04230,-0.02,-0.01,-0.01,0.04,0.00,0.04230,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00025,0.03557,0.04202,-0.02,-0.02,-0.00,0.04,0.00,0.04202,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00026,0.03598,0.03983,-0.02,-0.02,-0.01,0.04,0.00,0.03983,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00026,0.03637,0.04123,-0.02,-0.02,0.00,0.04,0.00,0.04123,3085,5998,-0.35,-0.10,0.00,,16731,16540
1,0.02,0.00027,0.03677,0.04168,-0.02,-0.02,-0.01,0.04,0.00,0.04167,3085,5998,-0.35,-0.10,0.00,,16731,16540
