speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,k_phi,k_delta,k_dphi,k_ddelta,k_tphi,k_tdelta,command_fork,post_fork_pwm,post_hand_pwm
0,0.00,0.00000,0.00000,0.00,-0.02,-0.02,0.00,0.00000,0.00,0.00423,3268,5737,-0.21017,0.10129,9.48564,47,,,,,,,,16384,16384
0,0.00,0.00001,0.00004,0.00,-0.02,-0.01,0.00,0.00004,0.00,0.00093,3268,5737,-0.21017,0.10129,0.00000,47,,,,,,,,16384,16384
0,0.00,0.00001,0.00005,-0.00,-0.02,-0.01,0.00,0.00005,0.00,-0.00126,3268,5737,-0.21017,0.10129,0.00000,48,,,,,,,,16384,16384
0,0.00,0.00002,0.00004,0.00,-0.02,-0.02,0.00,0.00004,0.00,0.00015,3268,5737,-0.21017,0.10129,0.00000,47,,,,,,,,16384,16384
0,0.00,0.00002,0.00004,0.00,-0.02,-0.01,-0.00,0.00004,0.00,0.00184,3268,5737,-0.21017,0.10129,0.00000,48,,,,,,,,16384,16384
0,0.00,0.00003,0.00006,0.00,-0.02,-0.02,0.00,0.00006,0.00,0.00371,3268,5737,-0.21017,0.10129,0.00000,47,,,,,,,,16384,16384
0,0.00,0.00003,0.00010,0.00,-0.02,-0.02,0.00,0.00010,0.00,0.00457,3268,5737,-0.21017,0.10129,0.00000,48,,,,,,,,16384,16384
0,0.00,0.00004,0.00014,0.00,-0.02,-0.01,0.00,0.00014,0.00,0.00312,3268,5737,-0.21017,0.10129,0.00000,48,,,,,,,,16384,16384
0,0.00,0.00004,0.00017,0.00,-0.02,-0.02,0.00,0.00017,0.00,0.00453,3268,5737,-0.21017,0.10129,0.00000,47,,,,,,,,16384,16384
0,0.00,0.00005,0.00022,0.00,-0.02,-0.02,0.00,0.00022,0.00,0.00203,3268,5737,-0.21017,0.10129,0.00000,47,,,,,,,,16384,16384
0,0.00,0.00005,0.00024,-0.00,-0.02,-0.01,0.00,0.00024,0.00,-0.00111,3268,5737,-0.21017,0.10129,0.00000,47,,,,,,,,18059,17093
0,0.00,0.00006,0.00023,0.00,-0.02,-0.01,0.00,0.00023,0.00,0.00085,3268,5737,-0.21017,0.10129,0.00000,46,,,,,,,,16813,16577
0,0.00,0.00006,0.00024,-0.00,-0.02,-0.02,0.00,0.00024,0.00,-0.00056,3268,5737,-0.21017,0.10129,0.00000,48,,,,,,,,16813,16577
0,0.00,0.00007,0.00023,-0.00,-0.02,-0.02,0.00,0.00023,0.00,-0.00064,3268,5738,-0.21017,0.10052,-0.07672,46,,,,,,,,16809,16575
0,0.00,0.00007,0.00022,0.01,-0.02,0.00,-0.00,0.00022,0.00,0.00850,3268,5739,-0.21017,0.09975,-0.07668,49,,,,,,,,16808,16575
0,0.00,0.00008,0.00031,0.02,-0.01,-0.01,0.00,0.00031,0.00,0.02422,3268,5739,-0.21017,0.09975,0.00000,44,,,,,,,,16811,16576
0,0.00,0.00008,0.00055,0.01,-0.02,-0.05,-0.00,0.00055,0.00,0.01419,3269,5740,-0.20941,0.09899,-0.07672,47,,,,,,,,16803,16572
0,0.00,0.00009,0.00069,-0.00,-0.02,-0.06,-0.00,0.00069,0.00,-0.00305,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00009,0.00066,-0.01,-0.02,-0.02,0.00,0.00066,0.00,-0.00820,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00010,0.00058,-0.01,-0.02,0.01,-0.00,0.00058,0.00,-0.00857,3269,5740,-0.20941,0.09899,0.00000,58,,,,,,,,16809,16575
0,0.00,0.00010,0.00049,-0.01,-0.02,0.00,-0.00,0.00049,0.00,-0.01257,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00011,0.00037,0.00,-0.02,-0.03,-0.00,0.00037,0.00,0.00112,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00011,0.00038,0.01,-0.02,-0.05,0.00,0.00038,0.00,0.00565,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00012,0.00044,0.01,-0.02,-0.03,-0.00,0.00044,0.00,0.01178,3269,5740,-0.20941,0.09899,0.00000,48,,,,,,,,16809,16575
0,0.00,0.00012,0.00055,0.01,-0.01,0.00,0.00,0.00055,0.00,0.00707,3269,5740,-0.20941,0.09899,0.00000,47,,,,,,,,16809,16575
0,0.00,0.00013,0.00062,-0.01,-0.02,0.01,0.00,0.00062,0.00,-0.00809,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00013,0.00054,-0.01,-0.02,-0.01,0.00,0.00054,0.00,-0.01198,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00014,0.00042,-0.01,-0.02,-0.00,-0.00,0.00042,0.00,-0.01089,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00014,0.00031,-0.00,-0.02,-0.00,-0.00,0.00031,0.00,-0.00137,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00015,0.00030,0.00,-0.02,-0.02,0.00,0.00030,0.00,0.00218,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00015,0.00032,0.00,-0.02,-0.03,0.00,0.00032,0.00,0.00491,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00016,0.00037,-0.00,-0.02,-0.03,0.00,0.00037,0.00,-0.00112,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00016,0.00036,-0.00,-0.02,-0.01,0.00,0.00036,0.00,-0.00111,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00017,0.00035,-0.00,-0.02,-0.01,-0.00,0.00035,0.00,-0.00416,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00017,0.00031,-0.01,-0.02,-0.02,0.00,0.00031,0.00,-0.00691,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00018,0.00024,-0.00,-0.02,-0.04,0.00,0.00024,0.00,-0.00433,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00018,0.00020,-0.00,-0.02,-0.04,0.00,0.00020,0.00,-0.00085,3269,5740,-0.20941,0.09899,0.00000,47,,,,,,,,16809,16575
0,0.00,0.00019,0.00019,0.00,-0.02,-0.02,0.00,0.00019,0.00,0.00124,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00019,0.00020,-0.00,-0.02,-0.01,0.00,0.00020,0.00,-0.00240,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00020,0.00018,-0.01,-0.02,-0.01,0.00,0.00017,0.00,-0.00773,3269,5740,-0.20941,0.09899,0.00000,47,,,,,,,,16809,16575
0,0.00,0.00020,0.00010,-0.01,-0.02,-0.02,0.00,0.00010,0.00,-0.00605,3269,5740,-0.20941,0.09899,0.00000,47,,,,,,,,16809,16575
0,0.00,0.00021,0.00004,-0.01,-0.02,-0.01,-0.00,0.00004,0.00,-0.00502,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00021,-0.00001,-0.00,-0.02,-0.00,0.00,-0.00001,0.00,-0.00466,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00022,-0.00006,-0.01,-0.02,-0.01,0.00,-0.00006,0.00,-0.00881,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00022,-0.00015,-0.01,-0.02,-0.01,0.00,-0.00015,0.00,-0.00650,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00023,-0.00021,-0.01,-0.02,-0.01,0.00,-0.00021,0.00,-0.00702,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00023,-0.00028,-0.01,-0.02,-0.02,0.00,-0.00028,0.00,-0.00718,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00024,-0.00035,-0.00,-0.02,-0.02,0.00,-0.00035,0.00,-0.00358,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00024,-0.00039,-0.00,-0.02,-0.02,-0.00,-0.00039,0.00,-0.00322,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00025,-0.00042,-0.01,-0.02,-0.02,0.00,-0.00042,0.00,-0.00730,3269,5740,-0.20941,0.09899,0.00000,47,,,,,,,,16809,16575
0,0.00,0.00025,-0.00050,-0.00,-0.02,-0.02,0.00,-0.00050,0.00,-0.00464,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00026,-0.00054,-0.01,-0.02,-0.02,0.00,-0.00054,0.00,-0.00519,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00026,-0.00059,-0.01,-0.02,-0.03,0.00,-0.00059,-0.00,-0.00750,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00027,-0.00067,-0.01,-0.02,-0.02,0.00,-0.00067,-0.00,-0.00820,3269,5740,-0.20941,0.09899,0.00000,47,,,,,,,,16809,16575
0,0.00,0.00027,-0.00075,-0.00,-0.02,-0.02,0.00,-0.00075,-0.00,-0.00412,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00028,-0.00079,-0.00,-0.02,-0.02,0.00,-0.00079,-0.00,-0.00468,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00028,-0.00084,-0.00,-0.02,-0.02,0.00,-0.00084,-0.00,-0.00374,3269,5740,-0.20941,0.09899,0.00000,46,,,,,,,,16809,16575
0,0.00,0.00029,-0.00087,-0.01,-0.02,-0.01,-0.00,-0.00087,-0.00,-0.00897,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00029,-0.00096,-0.01,-0.02,-0.01,-0.00,-0.00096,-0.00,-0.00714,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00030,-0.00104,-0.01,-0.02,-0.00,0.00,-0.00103,-0.00,-0.00908,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00030,-0.00113,-0.01,-0.02,-0.01,0.00,-0.00113,-0.00,-0.01023,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00031,-0.00123,-0.01,-0.02,-0.02,0.00,-0.00123,-0.00,-0.00859,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00031,-0.00131,-0.01,-0.02,-0.02,-0.00,-0.00131,-0.00,-0.00768,3269,5740,-0.20941,0.09899,0.00000,52,,,,,,,,16809,16575
0,0.00,0.00032,-0.00139,-0.01,-0.02,-0.01,-0.00,-0.00139,-0.00,-0.00886,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00032,-0.00148,-0.01,-0.02,-0.01,-0.00,-0.00148,-0.00,-0.00823,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00033,-0.00156,-0.01,-0.02,-0.02,0.00,-0.00156,-0.00,-0.00730,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00033,-0.00163,-0.01,-0.02,-0.02,0.00,-0.00163,-0.00,-0.00668,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00034,-0.00170,-0.01,-0.02,-0.03,0.00,-0.00170,-0.00,-0.01025,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00034,-0.00180,-0.01,-0.02,-0.02,0.00,-0.00180,-0.00,-0.00981,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
0,0.00,0.00035,-0.00190,-0.00,-0.02,-0.02,0.00,-0.00190,-0.00,-0.00487,3269,5740,-0.20941,0.09899,0.00000,44,,,,,,,,16809,16575
0,0.00,0.00035,-0.00195,-0.01,-0.02,-0.02,-0.00,-0.00194,-0.00,-0.00588,3269,5740,-0.20941,0.09899,0.00000,40,,,,,,,,16809,16575
0,0.00,0.00036,-0.00200,-0.01,-0.02,-0.02,-0.00,-0.00200,-0.00,-0.00948,3269,5740,-0.20941,0.09899,0.00000,43,,,,,,,,16809,16575
0,0.00,0.00036,-0.00210,-0.01,-0.02,-0.02,0.00,-0.00210,-0.00,-0.01133,3269,5740,-0.20941,0.09899,0.00000,45,,,,,,,,16809,16575
