speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_hand
0,0.00,0.00000,0.00000,0.00,-0.02,-0.02,0.00,0.00000,0.00,0.00278,3177,6065,-0.26527,-0.06889,-6.44875,1.67,0.00,,16384,16468,-0.10
0,0.00,0.00001,0.00003,0.01,-0.01,-0.02,0.00,0.00003,0.00,0.00577,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00001,0.00009,0.00,-0.01,-0.01,0.00,0.00009,0.00,0.00130,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00002,0.00010,0.00,-0.01,-0.02,-0.00,0.00010,0.00,0.00459,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00002,0.00014,0.00,-0.01,-0.02,-0.00,0.00014,0.00,0.00005,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00003,0.00014,0.00,-0.01,-0.01,-0.00,0.00014,0.00,0.00326,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00003,0.00018,0.00,-0.01,-0.02,-0.00,0.00018,0.00,0.00353,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00004,0.00021,0.00,-0.01,-0.01,0.00,0.00021,0.00,0.00424,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00004,0.00026,0.00,-0.02,-0.01,-0.00,0.00026,0.00,0.00478,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
0,0.00,0.00005,0.00030,0.00,-0.02,-0.01,0.00,0.00030,0.00,0.00427,3177,6065,-0.26527,-0.06889,0.00000,1.68,0.00,,16384,16468,-0.10
