speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork
0,0.00,0.00000,0.00000,-0.00,-0.02,-0.02,0.00,0.00000,0.00,-0.00024,3164,5877,-0.27524,0.07531,7.05009,0.00,,16973,16384,-0.70
0,0.00,0.00001,-0.00000,0.00,-0.02,-0.01,0.00,-0.00000,-0.00,0.00093,3164,5877,-0.27524,0.07531,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00001,0.00001,-0.00,-0.02,-0.01,0.00,0.00001,0.00,-0.00145,3164,5877,-0.27524,0.07531,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00002,-0.00001,-0.00,-0.02,-0.01,0.00,-0.00001,-0.00,-0.00232,3164,5877,-0.27524,0.07531,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00002,-0.00003,-0.00,-0.02,-0.01,0.00,-0.00003,-0.00,-0.00043,3164,5877,-0.27524,0.07531,0.00000,0.00,,16973,16384,-0.70
0,0.00,0.00003,-0.00004,-0.00,-0.02,-0.01,0.00,-0.00004,-0.00,-0.00016,3164,5879,-0.27524,0.07378,-0.15340,0.00,,16973,16384,-0.70
0,0.00,0.00003,-0.00004,0.00,-0.02,-0.01,0.00,-0.00004,-0.00,0.00090,3164,5882,-0.27524,0.07147,-0.23012,0.00,,16973,16384,-0.70
0,0.00,0.00004,-0.00003,0.00,-0.02,-0.01,0.00,-0.00003,-0.00,0.00062,3164,5885,-0.27524,0.06917,-0.23007,0.00,,16973,16384,-0.70
0,0.00,0.00004,-0.00002,0.00,-0.02,-0.02,0.00,-0.00002,-0.00,0.00438,3164,5887,-0.27524,0.06764,-0.15340,0.00,,16973,16384,-0.70
0,0.00,0.00005,0.00002,0.00,-0.02,-0.03,0.00,0.00002,-0.00,0.00003,3164,5890,-0.27524,0.06534,-0.23014,0.00,,16973,16384,-0.70
0,0.00,0.00005,0.00002,-0.00,-0.02,-0.03,0.00,0.00002,-0.00,-0.00009,3164,5893,-0.27524,0.06304,-0.23007,0.00,,16973,16384,-0.70
0,0.00,0.00006,0.00002,0.00,-0.02,-0.01,0.00,0.00002,0.00,0.00149,3164,5897,-0.27524,0.05997,-0.30683,0.00,,16973,16384,-0.70
0,0.00,0.00006,0.00004,0.00,-0.02,-0.01,0.00,0.00004,0.00,0.00212,3164,5901,-0.27524,0.05690,-0.30680,0.00,,16973,16384,-0.70
0,0.00,0.00007,0.00006,-0.00,-0.02,-0.02,0.00,0.00006,0.00,-0.00408,3164,5905,-0.27524,0.05383,-0.30683,0.00,,16973,16384,-0.70
0,0.00,0.00007,0.00002,-0.00,-0.02,-0.02,0.00,0.00002,0.00,-0.00111,3164,5909,-0.27524,0.05077,-0.30680,0.00,,16973,16384,-0.70
0,0.00,0.00008,0.00001,-0.00,-0.02,-0.03,0.00,0.00001,0.00,-0.00002,3164,5913,-0.27524,0.04770,-0.30680,0.00,,16973,16384,-0.70
