sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.19122,1.48355,-0.02085,-0.01906,0.02389,0.00614,0.00000,0.00000,-0.00451,-0.17532,0.64867,-0.18184,0.00000
-0.27516,1.48584,-0.02100,-0.02744,0.02389,0.00614,0.00000,0.00000,-0.00512,0.65025,0.55276,-0.26540,0.00000
-0.22069,1.48584,-0.02124,-0.02201,0.02389,0.00614,0.00000,0.00000,-0.01012,1.19617,0.04524,-0.21104,0.00000
-0.14136,1.48355,-0.02143,-0.01409,0.02389,0.00614,0.00000,0.00000,-0.01753,-0.00880,0.76227,-0.13196,0.00000
-0.19366,1.48584,-0.02151,-0.01931,0.02389,0.00614,0.00000,0.00000,-0.02163,-0.55989,1.02466,-0.18401,0.00000
-0.23480,1.48584,-0.02164,-0.02341,0.02389,0.00614,0.00000,0.00000,-0.02117,-0.59242,0.34731,-0.22496,0.00000
-0.11588,1.48355,-0.02182,-0.01155,0.02389,0.00614,0.00000,0.00000,-0.01993,-0.28530,-0.10153,-0.10643,0.00000
-0.15988,1.48584,-0.02188,-0.01594,0.02389,0.00614,0.00000,0.00000,-0.02042,0.72825,0.38657,-0.15023,0.00000
-0.20814,1.48584,-0.02200,-0.02076,0.02389,0.00614,0.00000,0.00000,-0.02411,0.56435,0.63384,-0.19827,0.00000
-0.25992,1.48584,-0.02216,-0.02592,0.02389,0.00614,0.00000,0.00000,-0.03378,0.91007,0.17115,-0.24980,0.00000
-0.26258,1.48813,-0.02237,-0.02620,0.02389,0.00537,-0.07672,0.00000,-0.04439,0.25439,0.24585,-0.25438,0.00000
-0.20121,1.48584,-0.02255,-0.02006,0.02389,0.00537,0.00000,0.00000,-0.04626,-0.76322,0.97655,-0.19136,0.00000
-0.20083,1.48584,-0.02267,-0.02003,0.02389,0.00537,0.00000,0.00000,-0.03812,-0.50792,1.17341,-0.19094,0.00000
-0.20034,1.48584,-0.02280,-0.01998,0.02389,0.00537,0.00000,0.00000,-0.02422,-0.50989,0.37536,-0.19040,0.00000
-0.13275,1.48355,-0.02296,-0.01323,0.02389,0.00537,0.00000,0.00000,-0.00562,0.24869,-0.48184,-0.12302,0.00000
-0.10575,1.48584,-0.02307,-0.01054,0.02389,0.00537,0.00000,0.00000,0.01661,0.46412,0.28595,-0.09607,0.00000
-0.22186,1.48584,-0.02315,-0.02212,0.02389,0.00537,0.00000,0.00000,0.03513,0.40871,1.02616,-0.21172,0.00000
-0.26646,1.48355,-0.02333,-0.02656,0.02389,0.00537,0.00000,0.00000,0.04130,-0.00865,0.51039,-0.25612,0.00000
-0.14875,1.48584,-0.02355,-0.01483,0.02389,0.00537,0.00000,0.00000,0.03268,-0.10232,0.50350,-0.13875,0.00000
-0.12205,1.48584,-0.02361,-0.01217,0.02389,0.00537,0.00000,0.00000,0.01314,-0.17745,1.00838,-0.11211,0.00000
-0.18579,1.48355,-0.02365,-0.01852,0.02389,0.00537,0.00000,0.00000,-0.01181,0.30304,0.62978,-0.17563,0.00000
-0.09187,1.48584,-0.02376,-0.00916,0.02389,0.00537,0.00000,0.00000,-0.03823,0.55416,0.18308,-0.08200,0.00000
