sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
0.30070,2.50464,0.02416,0.03763,0.02465,0.03835,0.00000,0.00000,0.12846,-0.05990,0.87006,0.30463,0.00000
0.18843,2.50464,0.02447,0.02358,0.02465,0.03835,0.00000,0.00000,0.11102,-0.28014,0.08562,0.19784,0.00000
0.33160,2.50464,0.02465,0.04150,0.02465,0.03912,0.07668,0.00000,0.09996,-0.32007,-0.10825,0.33746,0.00000
0.41569,2.50464,0.02505,0.05202,0.02465,0.03988,0.07672,0.00000,0.09600,0.32296,0.50125,0.41777,0.00000
0.25500,2.50464,0.02552,0.03191,0.02465,0.04065,0.07668,0.00000,0.08841,-0.63340,0.23826,0.26546,0.00000
0.29204,2.50464,0.02578,0.03655,0.02465,0.04142,0.07672,0.00000,0.07698,0.35943,-0.20837,0.30112,0.00000
0.34042,2.50464,0.02612,0.04260,0.02465,0.04219,0.07668,0.00000,0.07249,0.91493,-0.30277,0.34751,0.00000
0.13034,2.50693,0.02651,0.01632,0.02465,0.04295,0.07672,0.00000,0.06645,-0.50063,-0.41191,0.14835,0.00000
0.13630,2.50464,0.02665,0.01706,0.02465,0.04372,0.07668,0.00000,0.04927,0.49706,-0.27698,0.15446,0.00000
0.15730,2.50464,0.02681,0.01969,0.02465,0.04449,0.07673,0.00000,0.03059,-0.36715,0.27187,0.17491,0.00000
0.05388,2.50464,0.02698,0.00674,0.02465,0.04449,0.00000,0.00000,0.01881,-0.39188,0.23295,0.07348,0.00000
0.20755,2.50464,0.02702,0.02597,0.02465,0.04525,0.07668,0.00000,0.01240,0.09036,0.22567,0.22313,0.00000
0.17716,2.50464,0.02724,0.02217,0.02465,0.04525,0.00000,0.00000,0.00783,-0.08685,0.40382,0.19108,0.00000
0.10288,2.50464,0.02743,0.01287,0.02465,0.04602,0.07672,0.00000,0.00480,-0.05268,-0.21686,0.12407,0.00000
0.15630,2.50693,0.02755,0.01957,0.02465,0.04602,0.00000,0.00000,0.00513,0.53087,-0.18914,0.17174,0.00000
0.12751,2.50693,0.02772,0.01597,0.02465,0.04602,0.00000,0.00000,0.01183,0.08587,0.25120,0.14433,0.00000
0.07941,2.50464,0.02783,0.00994,0.02465,0.04602,0.00000,0.00000,0.01783,0.08932,0.49131,0.09854,0.00000
0.08446,2.50464,0.02792,0.01057,0.02465,0.04602,0.00000,0.00000,0.02077,0.84794,-0.00196,0.10331,0.00000
-0.02381,2.50693,0.02796,-0.00298,0.02465,0.04602,0.00000,0.00000,0.02788,-0.92401,-0.28028,0.00048,0.00000
-0.05785,2.50693,0.02788,-0.00724,0.02465,0.04602,0.00000,0.00000,0.03709,0.48610,-0.21077,-0.03184,0.00000
0.07218,2.50464,0.02778,0.00903,0.02465,0.04602,0.00000,0.00000,0.04478,0.25983,0.55685,0.09169,0.00000
0.04929,2.50464,0.02783,0.00617,0.02465,0.04602,0.00000,0.00000,0.05300,-1.05742,1.15100,0.06992,0.00000
0.02858,2.50464,0.02784,0.00358,0.02465,0.04679,0.07668,0.00000,0.06302,-0.13200,0.16934,0.05388,0.00000
0.04615,2.50464,0.02783,0.00578,0.02465,0.04679,0.00000,0.00000,0.07974,-0.17604,-0.75331,0.06748,0.00000
0.00877,2.50464,0.02788,0.00110,0.02465,0.04679,0.00000,0.00000,0.10791,-0.34469,-0.57313,0.03195,0.00000
-0.04070,2.50693,0.02788,-0.00510,0.02465,0.04679,0.00000,0.00000,0.13264,0.23583,0.41106,-0.01499,0.00000
-0.05063,2.50693,0.02781,-0.00634,0.02465,0.04679,0.00000,0.00000,0.14681,0.11461,0.59937,-0.02440,0.00000
-0.09937,2.50464,0.02769,-0.01244,0.02465,0.04679,0.00000,0.00000,0.13820,0.03232,-0.25612,-0.07075,0.00000
-0.10024,2.50464,0.02754,-0.01254,0.02465,0.04679,0.00000,0.00000,0.09445,0.48335,-0.91506,-0.07152,0.00000
-0.07039,2.50693,0.02740,-0.00881,0.02465,0.04679,0.00000,0.00000,0.04867,0.06236,0.04293,-0.04304,0.00000
-0.01333,2.50693,0.02727,-0.00167,0.02465,0.04679,0.00000,0.00000,0.02438,0.56681,1.06349,0.01122,0.00000
-0.12270,2.50693,0.02723,-0.01536,0.02465,0.04679,0.00000,0.00000,0.01583,-0.49656,0.44210,-0.09267,0.00000
