sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
,0.00000,0.00000,-0.00310,0.00000,0.00000,-21.70853,0.00000,0.00000,0.17576,0.35439,-0.20000,0.00000
,0.00000,-0.00003,-0.00318,0.00000,0.00000,0.00000,0.00000,0.00000,0.05814,0.34217,-0.20000,0.00000
,0.00000,-0.00006,-0.00243,0.00000,0.00000,0.00000,0.00000,0.00000,0.14413,0.28640,-0.20000,0.00000
,0.00000,-0.00009,0.00090,0.00000,0.00000,0.00000,0.00000,0.00000,0.08924,0.32859,-0.20000,0.00000
,0.00000,-0.00008,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22847,0.29792,-0.20000,0.00000
,0.00000,-0.00008,0.00215,0.00000,0.00000,0.00000,0.00000,0.00000,0.11174,0.29536,-0.20000,0.00000
,0.00000,-0.00006,0.00250,0.00000,0.00000,0.00000,0.00000,0.00000,0.07465,0.23698,0.20000,0.00000
,0.00000,-0.00003,0.00552,0.00000,0.00000,0.00000,0.00000,0.00000,0.14293,0.21442,0.20000,0.00000
,0.00000,0.00002,0.00172,0.00000,0.00000,0.00000,0.00000,0.00000,0.12364,0.16601,0.20000,0.00000
,0.00000,0.00004,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.09008,0.19885,0.20000,0.00000
,0.00000,0.00005,0.00478,0.00855,-0.23163,0.00000,0.00000,0.00000,0.09733,0.20856,1.73337,0.64874
,0.00000,0.00010,0.00387,0.00855,-0.23163,0.00000,0.00000,0.00000,0.14844,0.23368,0.59317,0.17693
,0.00000,0.00014,0.00247,0.00855,-0.23163,0.00000,0.00000,0.00000,0.12406,0.30051,0.59317,0.17693
,0.00000,0.00016,0.00501,0.00855,-0.23163,0.00000,0.00000,0.00000,0.17329,0.27767,0.59317,0.17693
,0.00000,0.00021,0.00293,0.00855,-0.23086,0.07672,0.00000,0.00000,0.07253,0.22244,0.58827,0.17486
,0.00000,0.00024,-0.00611,0.00855,-0.23010,0.07668,0.00000,0.00000,0.15129,-0.02069,0.58702,0.17429
,0.00000,0.00018,-0.00152,0.00855,-0.22933,0.07672,0.00000,0.00000,0.06642,-0.01767,0.58576,0.17373
,0.00000,0.00016,0.00243,0.00855,-0.22856,0.07668,0.00000,0.00000,0.08761,0.20367,0.58451,0.17316
,0.00000,0.00019,0.00655,0.00855,-0.22856,0.00000,0.00000,0.00000,0.13820,0.53138,0.58815,0.17467
,0.00000,0.00025,0.00587,0.00855,-0.22779,0.07672,0.00000,0.00000,0.05667,0.60636,0.58325,0.17260
,0.00000,0.00031,0.00445,0.00855,-0.22779,0.00000,0.00000,0.00000,0.08764,0.39563,0.58689,0.17410
,0.00000,0.00036,0.00744,0.00855,-0.22779,0.00000,0.00000,0.00000,0.05233,0.14993,0.58689,0.17410
,0.00000,0.00043,0.00818,0.00855,-0.22779,0.00000,0.00000,0.00000,0.12990,0.20443,0.58689,0.17410
,0.00000,0.00051,0.00874,0.00855,-0.22779,0.00000,0.00000,0.00000,0.14940,0.38263,0.58689,0.17410
,0.00000,0.00060,0.00744,0.00855,-0.22779,0.00000,0.00000,0.00000,0.13196,0.57439,0.58689,0.17410
,0.00000,0.00068,0.01076,0.00855,-0.22779,0.00000,0.00000,0.00000,0.07307,0.44355,0.58689,0.17410
,0.00000,0.00078,0.00763,0.00855,-0.22779,0.00000,0.00000,0.00000,0.10025,0.18958,0.58689,0.17410
,0.00000,0.00086,0.00990,0.00855,-0.22779,0.00000,0.00000,0.00000,0.13945,0.04142,0.58689,0.17410
,0.00000,0.00096,0.01300,0.00855,-0.22779,0.00000,0.00000,0.00000,0.08977,0.01143,0.58689,0.17410
,0.00000,0.00109,0.00807,0.00855,-0.22779,0.00000,0.00000,0.00000,0.03675,0.10158,0.58689,0.17410
,0.00000,0.00117,0.01034,0.00855,-0.22779,0.00000,0.00000,0.00000,0.04093,0.16889,0.58689,0.17410
,0.00000,0.00127,0.00920,0.00855,-0.22779,0.00000,0.00000,0.00000,0.10825,0.21846,0.58689,0.17410
,0.00000,0.00136,0.00607,0.00855,-0.22779,0.00000,0.00000,0.00000,0.08492,0.17479,0.58689,0.17410
,0.00000,0.00142,0.00529,0.00855,-0.22779,0.00000,0.00000,0.00000,0.06375,0.15998,0.58689,0.17410
,0.00000,0.00148,0.00701,0.00855,-0.22779,0.00000,0.00000,0.00000,0.16420,0.09477,0.58689,0.17410
,0.00000,0.00155,0.00670,0.00855,-0.22779,0.00000,0.00000,0.00000,0.05187,0.11167,0.58689,0.17410
,0.00000,0.00161,0.01070,0.00855,-0.22779,0.00000,0.00000,0.00000,0.16194,0.21483,0.58689,0.17410
,0.00000,0.00172,0.00870,0.00855,-0.22779,0.00000,0.00000,0.00000,0.11713,0.35310,0.58689,0.17410
,0.00000,0.00181,0.00787,0.00855,-0.22779,0.00000,0.00000,0.00000,0.09931,0.32870,0.58689,0.17410
,0.00000,0.00188,0.00932,0.00855,-0.22779,0.00000,0.00000,0.00000,0.07045,0.23678,0.58689,0.17410
,0.00000,0.00198,0.00877,0.00855,-0.22779,0.00000,0.00000,0.00000,0.13425,0.18058,0.58689,0.17410
,0.00000,0.00206,0.00634,0.00855,-0.22779,0.00000,0.00000,0.00000,0.11838,0.18032,0.58689,0.17410
,0.00000,0.00213,0.00788,0.00855,-0.22779,0.00000,0.00000,0.00000,0.06201,0.16952,0.58689,0.17410
,0.00000,0.00221,0.01010,0.00855,-0.22779,0.00000,0.00000,0.00000,0.07095,0.23693,0.58689,0.17410
,0.00000,0.00231,0.00967,0.00855,-0.22779,0.00000,0.00000,0.00000,0.07499,0.31373,0.58689,0.17410
,0.00000,0.00240,0.00380,0.00855,-0.22779,0.00000,0.00000,0.00000,0.14363,0.21927,0.58689,0.17410
,0.00000,0.00244,0.01030,0.00855,-0.22779,0.00000,0.00000,0.00000,0.19229,0.13854,0.58689,0.17410
,0.00000,0.00254,0.01042,0.00855,-0.22779,0.00000,0.00000,0.00000,0.20242,0.10040,0.58689,0.17410
,0.00000,0.00265,0.00724,0.00855,-0.22779,0.00000,0.00000,0.00000,0.12445,0.11794,0.58689,0.17410
