sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.18731,3.59441,-0.03288,-0.03223,0.03079,-0.00613,-0.07668,0.00000,-0.01927,0.16539,1.67456,-0.18731,0.00000
-0.16579,3.59212,-0.03323,-0.02851,0.03079,-0.00613,0.00000,0.00000,0.00203,-0.14343,0.63851,-0.16579,0.00000
-0.00796,3.59212,-0.03354,-0.00137,0.03079,-0.00613,0.00000,0.00000,0.01876,0.29123,-0.16937,-0.00796,0.00000
-0.05805,3.59441,-0.03359,-0.00999,0.03079,-0.00690,-0.07668,0.00000,0.00362,0.36944,0.21865,-0.05805,0.00000
-0.12680,3.59441,-0.03369,-0.02182,0.03079,-0.00690,0.00000,0.00000,-0.02650,-0.17686,-0.14448,-0.12680,0.00000
-0.14389,3.59441,-0.03390,-0.02476,0.03079,-0.00690,0.00000,0.00000,-0.05528,0.71172,0.05742,-0.14389,0.00000
-0.11140,3.59212,-0.03413,-0.01916,0.03079,-0.00690,0.00000,0.00000,-0.07878,0.03679,0.74363,-0.11140,0.00000
-0.08567,3.59441,-0.03431,-0.01474,0.03079,-0.00767,-0.07672,0.00000,-0.09486,0.32896,0.49722,-0.08567,0.00000
-0.08657,3.59212,-0.03444,-0.01488,0.03079,-0.00767,0.00000,0.00000,-0.10490,-0.21282,0.08607,-0.08657,0.00000
-0.01992,3.59212,-0.03456,-0.00342,0.03079,-0.00767,0.00000,0.00000,-0.09751,-0.66438,0.25465,-0.01992,0.00000
-0.03477,3.59441,-0.03458,-0.00598,0.03079,-0.00767,0.00000,0.00000,-0.07104,-0.16346,0.05254,-0.03477,0.00000
-0.06427,3.59441,-0.03464,-0.01106,0.03079,-0.00844,-0.07668,0.00000,-0.03661,0.03631,-0.55556,-0.06427,0.00000
0.04684,3.59441,-0.03474,0.00806,0.03079,-0.00844,0.00000,0.00000,0.00230,-0.63837,-0.00218,0.04684,0.00000
-0.02588,3.59212,-0.03467,-0.00445,0.03079,-0.00844,0.00000,0.00000,0.01970,0.75300,0.88221,-0.02588,0.00000
-0.00552,3.59441,-0.03470,-0.00095,0.03079,-0.00844,0.00000,0.00000,-0.01842,0.50275,1.13656,-0.00552,0.00000
0.09581,3.59212,-0.03472,0.01647,0.03079,-0.00844,0.00000,0.00000,-0.09117,0.52843,0.49573,0.09581,0.00000
0.01610,3.59212,-0.03457,0.00277,0.03079,-0.00844,0.00000,0.00000,-0.15479,0.21906,-0.37276,0.01610,0.00000
-0.05728,3.59441,-0.03450,-0.00986,0.03079,-0.00844,0.00000,0.00000,-0.19043,-0.85991,-0.71408,-0.05728,0.00000
0.08999,3.59212,-0.03453,0.01547,0.03079,-0.00844,0.00000,0.00000,-0.19466,-0.42042,0.20215,0.08999,0.00000
0.04100,3.59441,-0.03438,0.00706,0.03079,-0.00844,0.00000,0.00000,-0.17203,-0.21203,1.86298,0.04100,0.00000
0.05984,3.59441,-0.03435,0.01030,0.03079,-0.00844,0.00000,0.00000,-0.13825,0.25378,1.20106,0.05984,0.00000
0.19995,3.59441,-0.03428,0.03441,0.03079,-0.00844,0.00000,0.00000,-0.10640,0.53059,-0.28851,0.19995,0.00000
0.12533,3.59212,-0.03394,0.02155,0.03079,-0.00844,0.00000,0.00000,-0.07410,0.11400,-0.56073,0.12533,0.00000
0.12260,3.59212,-0.03371,0.02108,0.03079,-0.00844,0.00000,0.00000,-0.04198,0.16610,-0.29862,0.12260,0.00000
0.13189,3.59441,-0.03350,0.02270,0.03079,-0.00844,0.00000,0.00000,-0.01045,1.03409,0.32165,0.13189,0.00000
0.14637,3.59441,-0.03328,0.02519,0.03079,-0.00844,0.00000,0.00000,0.02030,0.40877,1.30179,0.14637,0.00000
0.25042,3.59441,-0.03305,0.04309,0.03079,-0.00844,0.00000,0.00000,0.04807,0.22140,1.28256,0.25042,0.00000
0.23962,3.59441,-0.03266,0.04123,0.03079,-0.00844,0.00000,0.00000,0.07805,-0.08552,0.51886,0.23962,0.00000
0.27367,3.59441,-0.03229,0.04709,0.03079,-0.00844,0.00000,0.00000,0.10492,0.36951,-0.15133,0.27367,0.00000
0.25556,3.59441,-0.03184,0.04398,0.03079,-0.00844,0.00000,0.00000,0.10852,0.84266,-0.46661,0.25556,0.00000
0.25611,3.59212,-0.03140,0.04404,0.03079,-0.00844,0.00000,0.00000,0.08417,0.51629,0.06436,0.25611,0.00000
0.32684,3.59441,-0.03093,0.05624,0.03079,-0.00844,0.00000,0.00000,0.03961,-0.21299,0.89539,0.32684,0.00000
0.26000,3.59441,-0.03037,0.04474,0.03079,-0.00844,0.00000,0.00000,-0.01643,-0.03160,0.53542,0.26000,0.00000
0.31300,3.59441,-0.02993,0.05386,0.03079,-0.00844,0.00000,0.00000,-0.05834,-0.22816,-0.14318,0.31300,0.00000
0.44809,3.59441,-0.02941,0.07711,0.03079,-0.00844,0.00000,0.00000,-0.06659,0.34607,0.00076,0.44809,0.00000
0.38049,3.59441,-0.02866,0.06548,0.03079,-0.00844,0.00000,0.00000,-0.05046,0.23456,0.16392,0.38049,0.00000
0.35302,3.59441,-0.02802,0.06075,0.03079,-0.00844,0.00000,0.00000,-0.03276,0.12271,-0.22995,0.35302,0.00000
0.44471,3.59441,-0.02739,0.07653,0.03079,-0.00844,0.00000,0.00000,-0.02395,0.51429,0.18436,0.44471,0.00000
0.36856,3.59441,-0.02662,0.06342,0.03079,-0.00844,0.00000,0.00000,-0.01943,0.15290,0.95318,0.36856,0.00000
0.42433,3.59441,-0.02600,0.07302,0.03079,-0.00844,0.00000,0.00000,-0.01590,0.00127,0.53680,0.42433,0.00000
0.51888,3.59441,-0.02529,0.08929,0.03079,-0.00844,0.00000,0.00000,-0.01117,0.20818,0.49610,0.51888,0.00000
0.47860,3.59441,-0.02441,0.08236,0.03079,-0.00767,0.07667,0.00000,-0.00179,-0.57538,0.70680,0.47860,0.00000
0.47728,3.59441,-0.02362,0.08213,0.03079,-0.00690,0.07673,0.00000,0.00768,-0.25996,-0.02271,0.47728,0.00000
0.49752,3.59441,-0.02281,0.08561,0.03079,-0.00613,0.07668,0.00000,0.01008,0.10015,-0.11267,0.49752,0.00000
0.54311,3.59441,-0.02197,0.09346,0.03079,-0.00537,0.07668,0.00000,0.00775,0.15771,0.88936,0.54311,0.00000
0.52766,3.59441,-0.02106,0.09080,0.03079,-0.00383,0.15340,0.00000,0.00683,0.39704,0.66867,0.52766,0.00000
0.54128,3.59441,-0.02018,0.09315,0.03079,-0.00307,0.07672,0.00000,-0.00798,-0.07502,-0.42783,0.54128,0.00000
0.55727,3.59441,-0.01926,0.09590,0.03079,-0.00153,0.15340,0.00000,-0.04111,-0.23019,-0.65848,0.55727,0.00000
0.52290,3.59441,-0.01830,0.08998,0.03079,-0.00077,0.07668,0.00000,-0.05360,0.29301,-0.73874,0.52290,0.00000
0.49791,3.59441,-0.01740,0.08568,0.03079,0.00000,0.07672,0.00000,-0.03274,0.39362,-0.20593,0.49791,0.00000
0.62682,3.59441,-0.01653,0.10786,0.03079,0.00077,0.07668,0.00000,-0.00280,0.03982,0.82688,0.62682,0.00000
0.49048,3.59670,-0.01547,0.08447,0.03079,0.00154,0.07673,0.00000,0.02207,0.70178,0.73700,0.49048,0.00000
0.62498,3.59441,-0.01462,0.10755,0.03079,0.00230,0.07668,0.00000,0.03742,0.23299,-0.06279,0.62498,0.00000
0.66554,3.59441,-0.01355,0.11453,0.03079,0.00384,0.15340,0.00000,0.04545,1.05854,0.01113,0.66554,0.00000
0.57439,3.59441,-0.01240,0.09884,0.03079,0.00460,0.07672,0.00000,0.04600,-0.02746,0.21431,0.57439,0.00000
0.52849,3.59441,-0.01141,0.09094,0.03079,0.00614,0.15340,0.00000,0.02474,-0.24114,0.13040,0.52849,0.00000
