sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
0.12064,4.72540,0.06007,0.03399,0.03002,0.04909,0.00000,0.00000,0.05104,0.34283,-2.00816,0.12064,0.00000
0.13432,4.72540,0.06053,0.03784,0.03002,0.04909,0.00000,0.00000,0.04283,0.05748,-1.53028,0.13432,0.00000
0.15180,4.72540,0.06104,0.04277,0.03002,0.04909,0.00000,0.00000,0.04712,0.14451,1.14593,0.15180,0.00000
0.17590,4.72540,0.06154,0.04956,0.03002,0.04909,0.00000,0.00000,0.05270,-0.09323,2.26675,0.17590,0.00000
0.08181,4.72311,0.06202,0.02302,0.03002,0.04909,0.00000,0.00000,0.06078,0.04675,0.03388,0.08181,0.00000
0.06619,4.72311,0.06231,0.01863,0.03002,0.04909,0.00000,0.00000,0.05920,0.86154,-2.90707,0.06619,0.00000
0.09908,4.72311,0.06264,0.02788,0.03002,0.04909,0.00000,0.00000,0.04093,0.94135,-1.25487,0.09908,0.00000
0.03484,4.72540,0.06300,0.00982,0.03002,0.04909,0.00000,0.00000,0.01981,0.02868,1.37305,0.03484,0.00000
0.07818,4.72540,0.06311,0.02203,0.03002,0.04909,0.00000,0.00000,-0.01206,0.57934,1.66415,0.07818,0.00000
-0.00239,4.72540,0.06323,-0.00067,0.03002,0.04909,0.00000,0.00000,-0.05249,0.19702,-0.34376,-0.00239,0.00000
-0.03396,4.72311,0.06322,-0.00956,0.03002,0.04909,0.00000,0.00000,-0.08455,0.36007,-2.53079,-0.03396,0.00000
-0.00271,4.72311,0.06322,-0.00076,0.03002,0.04909,0.00000,0.00000,-0.10440,0.08564,-0.77985,-0.00271,0.00000
-0.07540,4.72311,0.06327,-0.02122,0.03002,0.04909,0.00000,0.00000,-0.13606,-0.56495,1.22793,-0.07540,0.00000
-0.02423,4.72540,0.06310,-0.00683,0.03002,0.04909,0.00000,0.00000,-0.19819,0.00093,1.53776,-0.02423,0.00000
-0.13940,4.72540,0.06308,-0.03928,0.03002,0.04909,0.00000,0.00000,-0.24090,0.04074,-0.68356,-0.13940,0.00000
-0.16467,4.72540,0.06276,-0.04640,0.03002,0.04909,0.00000,0.00000,-0.23584,1.06541,-3.06001,-0.16467,0.00000
-0.17345,4.72540,0.06243,-0.04887,0.03002,0.04909,0.00000,0.00000,-0.20907,0.34310,-1.04871,-0.17345,0.00000
-0.08956,4.72540,0.06204,-0.02523,0.03002,0.04909,0.00000,0.00000,-0.17477,0.27601,2.17529,-0.08956,0.00000
-0.11046,4.72540,0.06169,-0.03112,0.03002,0.04909,0.00000,0.00000,-0.14476,0.64224,2.33432,-0.11046,0.00000
-0.25056,4.72540,0.06119,-0.07060,0.03002,0.04909,0.00000,0.00000,-0.13052,0.12264,-2.05457,-0.25056,0.00000
-0.18963,4.72540,0.06052,-0.05343,0.03002,0.04909,0.00000,0.00000,-0.12117,0.27646,-4.42612,-0.18963,0.00000
-0.26336,4.72311,0.06015,-0.07411,0.03002,0.04909,0.00000,0.00000,-0.10084,-1.07108,-1.01077,-0.26336,0.00000
-0.33089,4.72311,0.05958,-0.09311,0.03002,0.04832,-0.07672,0.00000,-0.08358,-0.85752,2.40962,-0.33089,0.00000
-0.33070,4.72540,0.05874,-0.09317,0.03002,0.04755,-0.07668,0.00000,-0.07818,-0.45721,2.04789,-0.33070,0.00000
-0.40352,4.72540,0.05790,-0.11369,0.03002,0.04602,-0.15340,0.00000,-0.06807,0.37302,-0.97355,-0.40352,0.00000
-0.31526,4.72540,0.05690,-0.08882,0.03002,0.04602,0.00000,0.00000,-0.04514,1.28549,-2.41673,-0.31526,0.00000
-0.38352,4.72540,0.05616,-0.10806,0.03002,0.04525,-0.07672,0.00000,-0.02008,1.17995,-0.71736,-0.38352,0.00000
-0.35447,4.72540,0.05514,-0.09987,0.03002,0.04525,0.00000,0.00000,-0.01690,0.13740,1.76228,-0.35447,0.00000
-0.37023,4.72540,0.05408,-0.10431,0.03002,0.04525,0.00000,0.00000,-0.03649,-0.08386,1.86884,-0.37023,0.00000
-0.55218,4.72540,0.05283,-0.15558,0.03002,0.04449,-0.07667,0.00000,-0.05212,0.31749,-1.45035,-0.55218,0.00000
-0.43116,4.72540,0.05129,-0.12148,0.03002,0.04372,-0.07672,0.00000,-0.07031,-0.54242,-3.25499,-0.43116,0.00000
-0.53833,4.72540,0.05022,-0.15168,0.03002,0.04219,-0.15340,0.00000,-0.09504,-0.65479,-0.69482,-0.53833,0.00000
-0.50989,4.72540,0.04884,-0.14366,0.03002,0.04219,0.00000,0.00000,-0.10287,-0.88892,2.43900,-0.50989,0.00000
-0.50422,4.72540,0.04747,-0.14206,0.03002,0.04065,-0.15340,0.00000,-0.09922,0.26840,2.68412,-0.50422,0.00000
-0.64373,4.72540,0.04610,-0.18137,0.03002,0.03835,-0.23007,0.00000,-0.09276,1.35976,-1.66373,-0.64373,0.00000
-0.46032,4.72540,0.04432,-0.12970,0.03002,0.03758,-0.07673,0.00000,-0.08076,0.72885,-2.99993,-0.46032,0.00000
-0.51676,4.72540,0.04312,-0.14560,0.03002,0.03682,-0.07667,0.00000,-0.06405,0.44771,0.16520,-0.51676,0.00000
-0.55457,4.72540,0.04169,-0.15625,0.03002,0.03605,-0.07673,0.00000,-0.05203,0.37732,2.66819,-0.55457,0.00000
-0.55932,4.72540,0.04005,-0.15759,0.03002,0.03452,-0.15341,0.00000,-0.05248,-0.65961,1.28335,-0.55932,0.00000
-0.66242,4.72540,0.03837,-0.18664,0.03002,0.03298,-0.15340,0.00000,-0.05451,-0.08084,-2.02383,-0.66242,0.00000
-0.56690,4.72540,0.03652,-0.15973,0.03002,0.03145,-0.15341,0.00000,-0.05101,-0.31853,-1.82132,-0.56690,0.00000
-0.58457,4.72540,0.03500,-0.16470,0.03002,0.03068,-0.07668,0.00000,-0.04851,0.07466,1.09017,-0.58457,0.00000
-0.59513,4.72768,0.03339,-0.16790,0.03002,0.02915,-0.15340,0.00000,-0.05532,0.23198,2.41189,-0.59513,0.00000
-0.59102,4.72768,0.03149,-0.16674,0.03002,0.02761,-0.15338,0.00000,-0.06544,0.18074,0.43730,-0.59102,0.00000
-0.63989,4.72540,0.02982,-0.18029,0.03002,0.02608,-0.15341,0.00000,-0.07048,0.23061,-2.05874,-0.63989,0.00000
-0.59312,4.72540,0.02804,-0.16711,0.03002,0.02455,-0.15341,0.00000,-0.06762,0.52394,-1.19533,-0.59312,0.00000
-0.57669,4.72540,0.02639,-0.16248,0.03002,0.02301,-0.15340,0.00000,-0.05143,-0.98778,1.16737,-0.57669,0.00000
-0.58262,4.72540,0.02476,-0.16415,0.03002,0.02224,-0.07672,0.00000,-0.02375,-0.21315,2.19373,-0.58262,0.00000
-0.62942,4.72540,0.02294,-0.17734,0.03002,0.01994,-0.23005,0.00000,0.00482,0.80509,0.07892,-0.62942,0.00000
-0.54301,4.72540,0.02115,-0.15300,0.03002,0.01764,-0.23014,0.00000,0.02105,0.85326,-1.81119,-0.54301,0.00000
-0.55671,4.72540,0.01959,-0.15686,0.03002,0.01611,-0.15340,0.00000,0.03230,0.35827,-0.28827,-0.55671,0.00000
-0.57025,4.72540,0.01795,-0.16067,0.03002,0.01534,-0.07668,0.00000,0.03734,0.11858,1.48512,-0.57025,0.00000
-0.50098,4.72768,0.01624,-0.14133,0.03002,0.01381,-0.15338,0.00000,0.01888,0.01859,1.79629,-0.50098,0.00000
-0.60822,4.72768,0.01463,-0.17159,0.03002,0.01074,-0.30683,0.00000,0.00170,0.21212,-0.74789,-0.60822,0.00000
-0.52195,4.72768,0.01282,-0.14725,0.03002,0.00921,-0.15338,0.00000,-0.00690,0.38263,-2.13986,-0.52195,0.00000
-0.50855,4.72540,0.01132,-0.14329,0.03002,0.00690,-0.23014,0.00000,-0.03055,-0.15526,0.56533,-0.50855,0.00000
-0.49922,4.72540,0.00980,-0.14066,0.03002,0.00690,0.00000,0.00000,-0.05768,-0.08981,2.46118,-0.49922,0.00000
-0.46765,4.72768,0.00820,-0.13193,0.03002,0.00537,-0.15340,0.00000,-0.07425,0.28156,1.39802,-0.46765,0.00000
-0.53103,4.72768,0.00665,-0.14981,0.03002,0.00307,-0.23007,0.00000,-0.08483,0.51124,-1.51830,-0.53103,0.00000
-0.44914,4.72768,0.00506,-0.12671,0.03002,0.00230,-0.07672,0.00000,-0.09071,1.46941,-2.20883,-0.44914,0.00000
-0.41289,4.72768,0.00375,-0.11648,0.03002,0.00077,-0.15340,0.00000,-0.08250,-1.38839,0.86817,-0.41289,0.00000
-0.44317,4.72540,0.00244,-0.12486,0.03002,0.00077,0.00000,0.00000,-0.06166,-0.53686,2.68459,-0.44317,0.00000
-0.41337,4.72540,0.00095,-0.11647,0.03002,-0.00077,-0.15340,0.00000,-0.04289,0.27086,1.06334,-0.41337,0.00000
-0.45949,4.72540,-0.00045,-0.12946,0.03002,-0.00153,-0.07667,0.00000,-0.05032,0.13612,-2.47308,-0.45949,0.00000
-0.40636,4.72540,-0.00185,-0.11449,0.03002,-0.00230,-0.07673,0.00000,-0.09728,1.47688,-2.50048,-0.40636,0.00000
-0.32675,4.72540,-0.00304,-0.09206,0.03002,-0.00230,0.00000,0.00000,-0.17428,0.86222,0.77224,-0.32675,0.00000
-0.42534,4.72540,-0.00411,-0.11984,0.03002,-0.00230,0.00000,0.00000,-0.26858,-0.32302,1.98036,-0.42534,0.00000
-0.41101,4.72540,-0.00552,-0.11580,0.03002,-0.00307,-0.07668,0.00000,-0.33452,-0.78335,-0.61183,-0.41101,0.00000
-0.42609,4.72768,-0.00684,-0.12021,0.03002,-0.00460,-0.15340,0.00000,-0.33450,0.43243,-2.61632,-0.42609,0.00000
-0.35874,4.72768,-0.00809,-0.10121,0.03002,-0.00537,-0.07672,0.00000,-0.28582,0.17418,-0.97478,-0.35874,0.00000
-0.32052,4.72768,-0.00917,-0.09042,0.03002,-0.00613,-0.07668,0.00000,-0.21622,-0.15344,1.98168,-0.32052,0.00000
-0.34015,4.72540,-0.01024,-0.09584,0.03002,-0.00613,0.00000,0.00000,-0.15154,-0.88201,2.33622,-0.34015,0.00000
-0.38895,4.72540,-0.01143,-0.10959,0.03002,-0.00690,-0.07668,0.00000,-0.09522,-0.74726,-0.62179,-0.38895,0.00000
-0.41351,4.72540,-0.01268,-0.11651,0.03002,-0.00767,-0.07672,0.00000,-0.03392,2.07024,-3.28355,-0.41351,0.00000
-0.36575,4.72768,-0.01387,-0.10318,0.03002,-0.00844,-0.07668,0.00000,0.00865,1.28045,-1.28983,-0.36575,0.00000
-0.32912,4.72768,-0.01494,-0.09285,0.03002,-0.00844,0.00000,0.00000,0.02305,1.14005,2.57541,-0.32912,0.00000
-0.31987,4.72540,-0.01606,-0.09013,0.03002,-0.00844,0.00000,0.00000,0.02885,0.96453,3.00771,-0.31987,0.00000
-0.36724,4.72540,-0.01723,-0.10347,0.03002,-0.00844,0.00000,0.00000,0.03504,-1.51373,-1.10851,-0.36724,0.00000
-0.39077,4.72540,-0.01842,-0.11010,0.03002,-0.00844,0.00000,0.00000,0.05796,-0.92110,-4.34110,-0.39077,0.00000
-0.30759,4.72540,-0.01952,-0.08666,0.03002,-0.00844,0.00000,0.00000,0.09824,-0.10646,-1.12536,-0.30759,0.00000
-0.32447,4.72540,-0.02044,-0.09142,0.03002,-0.00844,0.00000,0.00000,0.12943,0.05247,3.15818,-0.32447,0.00000
-0.33870,4.72540,-0.02155,-0.09543,0.03002,-0.00844,0.00000,0.00000,0.12467,1.55483,2.02766,-0.33870,0.00000
-0.32433,4.72540,-0.02274,-0.09138,0.03002,-0.00844,0.00000,0.00000,0.05904,0.27253,-1.75811,-0.32433,0.00000
-0.31907,4.72540,-0.02375,-0.08990,0.03002,-0.00844,0.00000,0.00000,-0.04882,0.89917,-3.43286,-0.31907,0.00000
-0.28563,4.72768,-0.02461,-0.08058,0.03002,-0.00844,0.00000,0.00000,-0.13898,0.47042,-0.64293,-0.28563,0.00000
-0.29215,4.72540,-0.02543,-0.08232,0.03002,-0.00844,0.00000,0.00000,-0.19990,-0.37364,2.94162,-0.29215,0.00000
-0.30079,4.72540,-0.02642,-0.08475,0.03002,-0.00844,0.00000,0.00000,-0.23717,-0.53431,2.06396,-0.30079,0.00000
-0.32297,4.72540,-0.02747,-0.09100,0.03002,-0.00844,0.00000,0.00000,-0.22868,-0.25251,-1.63671,-0.32297,0.00000
-0.24958,4.72540,-0.02846,-0.07032,0.03002,-0.00844,0.00000,0.00000,-0.18091,-0.10297,-2.94931,-0.24958,0.00000
-0.33898,4.72540,-0.02919,-0.09551,0.03002,-0.00844,0.00000,0.00000,-0.12666,-0.55758,0.14383,-0.33898,0.00000
-0.26284,4.72540,-0.03021,-0.07406,0.03002,-0.00844,0.00000,0.00000,-0.08536,0.16673,2.47864,-0.26284,0.00000
-0.24567,4.72540,-0.03110,-0.06922,0.03002,-0.00844,0.00000,0.00000,-0.06416,0.00427,1.82298,-0.24567,0.00000
-0.32975,4.72540,-0.03201,-0.09291,0.03002,-0.00844,0.00000,0.00000,-0.05544,1.68578,-1.43494,-0.32975,0.00000
-0.18016,4.72540,-0.03299,-0.05076,0.03002,-0.00920,-0.07672,0.00000,-0.04692,0.64115,-2.91476,-0.18016,0.00000
-0.21896,4.72540,-0.03348,-0.06169,0.03002,-0.00920,0.00000,0.00000,-0.03072,-0.65208,0.42289,-0.21896,0.00000
-0.22898,4.72540,-0.03416,-0.06452,0.03002,-0.00920,0.00000,0.00000,-0.01302,-0.09632,2.98332,-0.22898,0.00000
-0.16933,4.72540,-0.03496,-0.04771,0.03002,-0.00920,0.00000,0.00000,-0.00640,-0.53610,1.90404,-0.16933,0.00000
-0.27168,4.72540,-0.03564,-0.07655,0.03002,-0.00920,0.00000,0.00000,-0.00105,0.82029,-1.90368,-0.27168,0.00000
-0.11476,4.72540,-0.03647,-0.03233,0.03002,-0.00920,0.00000,0.00000,0.00943,0.61872,-2.83146,-0.11476,0.00000
-0.10720,4.72540,-0.03680,-0.03020,0.03002,-0.00920,0.00000,0.00000,0.02235,0.40770,1.05723,-0.10720,0.00000
-0.18400,4.72540,-0.03717,-0.05184,0.03002,-0.00920,0.00000,0.00000,0.02731,-0.09380,3.03200,-0.18400,0.00000
-0.13319,4.72540,-0.03786,-0.03753,0.03002,-0.00997,-0.07668,0.00000,0.00977,0.67309,0.65995,-0.13319,0.00000
-0.18099,4.72540,-0.03836,-0.05099,0.03002,-0.00997,0.00000,0.00000,-0.02077,0.69533,-2.26706,-0.18099,0.00000
-0.07879,4.72768,-0.03887,-0.02223,0.03002,-0.00997,0.00000,0.00000,-0.04020,0.75945,-1.62327,-0.07879,0.00000
-0.01663,4.72540,-0.03903,-0.00469,0.03002,-0.00997,0.00000,0.00000,-0.03821,0.16794,1.79221,-0.01663,0.00000
-0.08400,4.72540,-0.03916,-0.02367,0.03002,-0.00997,0.00000,0.00000,-0.02689,-0.76392,2.68708,-0.08400,0.00000
-0.09327,4.72540,-0.03956,-0.02628,0.03002,-0.00997,0.00000,0.00000,-0.01475,-0.51821,0.03622,-0.09327,0.00000
-0.06308,4.72540,-0.03994,-0.01777,0.03002,-0.00997,0.00000,0.00000,0.00119,0.02366,-1.87600,-0.06308,0.00000
-0.01588,4.72540,-0.04014,-0.00447,0.03002,-0.00997,0.00000,0.00000,0.02040,0.45301,-0.72929,-0.01588,0.00000
0.00494,4.72540,-0.04021,0.00139,0.03002,-0.00997,0.00000,0.00000,0.02530,0.54574,1.38680,0.00494,0.00000
0.05125,4.72540,-0.04028,0.01444,0.03002,-0.00997,0.00000,0.00000,0.00577,0.74369,2.00134,0.05125,0.00000
-0.01703,4.72540,-0.04028,-0.00480,0.03002,-0.00997,0.00000,0.00000,-0.01723,0.04562,-0.08427,-0.01703,0.00000
0.01733,4.72768,-0.04039,0.00489,0.03002,-0.00997,0.00000,0.00000,-0.02786,0.44176,-2.07143,0.01733,0.00000
0.04426,4.72540,-0.04026,0.01247,0.03002,-0.00997,0.00000,0.00000,-0.01910,-0.27266,-0.89745,0.04426,0.00000
0.13176,4.72540,-0.04009,0.03712,0.03002,-0.00997,0.00000,0.00000,0.00989,-1.15075,2.04280,0.13176,0.00000
