sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,x_acceleration,y_acceleration,command_fork,command_hand
-0.08647,2.01928,-0.02160,-0.00965,0.03002,-0.03221,0.00000,0.00000,-0.00059,0.11957,-0.14299,-0.08647,0.00000
0.09060,2.02157,-0.02168,0.01012,0.03002,-0.03221,0.00000,0.00000,-0.01522,0.17835,0.11900,0.09060,0.00000
-0.07004,2.02157,-0.02157,-0.00782,0.03002,-0.03221,0.00000,0.00000,-0.03129,-0.31048,0.43884,-0.07004,0.00000
-0.01591,2.02157,-0.02165,-0.00178,0.03002,-0.03221,0.00000,0.00000,-0.03850,0.03934,0.18112,-0.01591,0.00000
-0.10167,2.02386,-0.02167,-0.01136,0.03002,-0.03221,0.00000,0.00000,-0.04156,0.01660,-0.02361,-0.10167,0.00000
-0.01755,2.02157,-0.02179,-0.00196,0.03002,-0.03221,0.00000,0.00000,-0.04172,0.45900,0.41812,-0.01755,0.00000
0.10834,2.02157,-0.02180,0.01210,0.03002,-0.03221,0.00000,0.00000,-0.02939,-0.16901,0.80307,0.10834,0.00000
-0.07142,2.02157,-0.02169,-0.00797,0.03002,-0.03221,0.00000,0.00000,-0.01004,1.11247,0.28902,-0.07142,0.00000
0.12249,2.01928,-0.02176,0.01367,0.03002,-0.03221,0.00000,0.00000,0.00163,-0.02303,-0.01324,0.12249,0.00000
0.01892,2.01928,-0.02162,0.00211,0.03002,-0.03221,0.00000,0.00000,0.00956,0.85675,0.38207,0.01892,0.00000
-0.00183,2.02157,-0.02160,-0.00020,0.03002,-0.03221,0.00000,0.00000,0.02083,0.30688,0.28409,-0.00183,0.00000
0.11664,2.02157,-0.02159,0.01302,0.03002,-0.03221,0.00000,0.00000,0.02271,1.05811,0.29324,0.11664,0.00000
0.02033,2.02386,-0.02145,0.00227,0.03002,-0.03221,0.00000,0.00000,0.00781,0.48447,0.40590,0.02033,0.00000
0.23657,2.02157,-0.02140,0.02641,0.03002,-0.03221,0.00000,0.00000,-0.00603,-0.62639,0.20210,0.23657,0.00000
-0.09977,2.02157,-0.02114,-0.01114,0.03002,-0.03221,0.00000,0.00000,-0.00322,0.53453,0.30692,-0.09977,0.00000
0.14466,2.02157,-0.02125,0.01615,0.03002,-0.03221,0.00000,0.00000,0.01216,-1.42948,-0.08140,0.14466,0.00000
-0.02328,2.01928,-0.02109,-0.00260,0.03002,-0.03221,0.00000,0.00000,0.03435,0.50962,0.24531,-0.02328,0.00000
0.15035,2.01928,-0.02112,0.01678,0.03002,-0.03221,0.00000,0.00000,0.05913,-0.10618,0.64478,0.15035,0.00000
0.14792,2.02157,-0.02096,0.01651,0.03002,-0.03221,0.00000,0.00000,0.07295,1.34232,0.44449,0.14792,0.00000
0.14718,2.02157,-0.02080,0.01643,0.03002,-0.03221,0.00000,0.00000,0.07014,0.41586,-0.06489,0.14718,0.00000
0.20215,2.02157,-0.02063,0.02257,0.03002,-0.03221,0.00000,0.00000,0.06114,0.20919,-0.16709,0.20215,0.00000
0.05519,2.02386,-0.02039,0.00617,0.03002,-0.03221,0.00000,0.00000,0.05101,0.15878,-0.09126,0.05519,0.00000
0.17588,2.02157,-0.02031,0.01964,0.03002,-0.03221,0.00000,0.00000,0.03674,-0.48616,0.24427,0.17588,0.00000
0.14648,2.02157,-0.02010,0.01635,0.03002,-0.03221,0.00000,0.00000,0.02306,-0.20894,0.65832,0.14648,0.00000
0.09360,2.01928,-0.01995,0.01044,0.03002,-0.03221,0.00000,0.00000,0.01725,-0.28243,0.62570,0.09360,0.00000
0.20383,2.01928,-0.01985,0.02275,0.03002,-0.03221,0.00000,0.00000,0.01907,-0.42155,0.07632,0.20383,0.00000
0.08191,2.02157,-0.01963,0.00914,0.03002,-0.03221,0.00000,0.00000,0.02350,0.13293,-0.05400,0.08191,0.00000
0.16163,2.02157,-0.01954,0.01805,0.03002,-0.03221,0.00000,0.00000,0.02501,-0.38396,-0.11535,0.16163,0.00000
0.09744,2.02157,-0.01936,0.01088,0.03002,-0.03221,0.00000,0.00000,0.02451,1.17478,0.81987,0.09744,0.00000
0.21715,2.02386,-0.01926,0.02426,0.03002,-0.03221,0.00000,0.00000,0.02278,-0.43236,0.31613,0.21715,0.00000
0.21368,2.02157,-0.01901,0.02386,0.03002,-0.03221,0.00000,0.00000,0.01827,0.57224,-0.07507,0.21368,0.00000
0.18079,2.02157,-0.01877,0.02018,0.03002,-0.03221,0.00000,0.00000,0.02083,-0.34090,0.06197,0.18079,0.00000
0.25294,2.02157,-0.01856,0.02824,0.03002,-0.03221,0.00000,0.00000,0.03408,-0.26551,0.39593,0.25294,0.00000
0.13415,2.01928,-0.01829,0.01497,0.03002,-0.03221,0.00000,0.00000,0.04462,-0.34465,0.32349,0.13415,0.00000
0.28709,2.02157,-0.01815,0.03205,0.03002,-0.03221,0.00000,0.00000,0.05046,-0.55784,0.31465,0.28709,0.00000
0.20521,2.02157,-0.01785,0.02291,0.03002,-0.03221,0.00000,0.00000,0.05493,0.25035,0.21485,0.20521,0.00000
0.24009,2.02157,-0.01763,0.02681,0.03002,-0.03145,0.07672,0.00000,0.05392,0.76788,-0.18667,0.24009,0.00000
0.25594,2.02386,-0.01737,0.02859,0.03002,-0.03145,0.00000,0.00000,0.04735,0.82530,0.01628,0.25594,0.00000
0.10804,2.02386,-0.01709,0.01207,0.03002,-0.03145,0.00000,0.00000,0.03986,1.12917,0.31931,0.10804,0.00000
0.37783,2.02157,-0.01695,0.04218,0.03002,-0.03145,0.00000,0.00000,0.02814,-0.48859,0.46779,0.37783,0.00000
0.21742,2.02157,-0.01654,0.02427,0.03002,-0.03068,0.07668,0.00000,0.00616,0.21817,0.52437,0.21742,0.00000
0.20856,2.01928,-0.01631,0.02327,0.03002,-0.03068,0.00000,0.00000,-0.02063,-0.97959,-0.04092,0.20856,0.00000
0.38928,2.02157,-0.01608,0.04346,0.03002,-0.03068,0.00000,0.00000,-0.04197,0.55353,0.42355,0.38928,0.00000
0.20451,2.02157,-0.01566,0.02283,0.03002,-0.03068,0.00000,0.00000,-0.04324,-0.06439,0.72138,0.20451,0.00000
0.39732,2.02157,-0.01546,0.04436,0.03002,-0.02991,0.07672,0.00000,-0.02730,0.79136,0.27854,0.39732,0.00000
0.24762,2.02386,-0.01504,0.02766,0.03002,-0.02991,0.00000,0.00000,-0.01009,0.95275,0.19825,0.24762,0.00000
0.54514,2.02386,-0.01477,0.06089,0.03002,-0.02914,0.07668,0.00000,0.00441,-0.08523,-0.03070,0.54514,0.00000
0.27507,2.02157,-0.01417,0.03071,0.03002,-0.02914,0.00000,0.00000,0.01177,1.43311,0.44338,0.27507,0.00000
0.40006,2.02157,-0.01388,0.04467,0.03002,-0.02838,0.07672,0.00000,0.01183,0.03382,0.28034,0.40006,0.00000
0.22549,2.02157,-0.01346,0.02518,0.03002,-0.02761,0.07668,0.00000,0.01358,0.61832,-0.35157,0.22549,0.00000
0.35292,2.01928,-0.01321,0.03938,0.03002,-0.02761,0.00000,0.00000,0.02689,-0.73952,-0.35736,0.35292,0.00000
0.41123,2.02157,-0.01282,0.04591,0.03002,-0.02684,0.07672,0.00000,0.05502,-0.54698,0.47213,0.41123,0.00000
0.30019,2.02157,-0.01238,0.03352,0.03002,-0.02684,0.00000,0.00000,0.08401,-0.38338,0.51654,0.30019,0.00000
0.52412,2.02157,-0.01206,0.05852,0.03002,-0.02608,0.07668,0.00000,0.09849,-0.19916,0.28211,0.52412,0.00000
0.46819,2.02386,-0.01150,0.05230,0.03002,-0.02608,0.00000,0.00000,0.10036,0.58555,0.28780,0.46819,0.00000
0.35771,2.02157,-0.01100,0.03994,0.03002,-0.02531,0.07672,0.00000,0.08976,1.20771,-0.08368,0.35771,0.00000
0.61643,2.02157,-0.01060,0.06882,0.03002,-0.02531,0.00000,0.00000,0.06564,0.33049,-0.15019,0.61643,0.00000
0.40254,2.02157,-0.00993,0.04494,0.03002,-0.02531,0.00000,0.00000,0.03904,0.77696,0.57486,0.40254,0.00000
0.59064,2.01928,-0.00949,0.06591,0.03002,-0.02454,0.07668,0.00000,0.01723,-1.06509,0.66842,0.59064,0.00000
0.42811,2.02157,-0.00886,0.04780,0.03002,-0.02454,0.00000,0.00000,0.00238,-0.21708,0.84889,0.42811,0.00000
0.45241,2.02157,-0.00842,0.05051,0.03002,-0.02454,0.00000,0.00000,-0.00045,-1.83912,-0.45440,0.45241,0.00000
0.48827,2.02157,-0.00794,0.05451,0.03002,-0.02378,0.07672,0.00000,0.01738,0.35867,-0.16504,0.48827,0.00000
0.53156,2.02386,-0.00742,0.05938,0.03002,-0.02301,0.07668,0.00000,0.05128,-0.25266,0.55069,0.53156,0.00000
0.63592,2.02386,-0.00685,0.07103,0.03002,-0.02301,0.00000,0.00000,0.07575,0.80085,0.41390,0.63592,0.00000
0.45072,2.02157,-0.00618,0.05032,0.03002,-0.02224,0.07672,0.00000,0.07522,0.56167,-0.16574,0.45072,0.00000
0.67255,2.02157,-0.00570,0.07509,0.03002,-0.02147,0.07668,0.00000,0.05871,0.14086,0.09135,0.67255,0.00000
0.51872,2.02157,-0.00499,0.05791,0.03002,-0.02071,0.07672,0.00000,0.03753,0.41758,0.44052,0.51872,0.00000
0.66653,2.01928,-0.00443,0.07438,0.03002,-0.01994,0.07668,0.00000,0.01718,-0.39102,0.51306,0.66653,0.00000
0.66009,2.02157,-0.00373,0.07370,0.03002,-0.01841,0.15340,0.00000,0.00750,0.31763,0.44445,0.66009,0.00000
0.60491,2.02157,-0.00303,0.06754,0.03002,-0.01687,0.15340,0.00000,0.01179,0.50344,0.11505,0.60491,0.00000
0.80351,2.02157,-0.00239,0.08971,0.03002,-0.01611,0.07673,0.00000,0.02470,-0.58889,-0.33312,0.80351,0.00000
0.46621,2.02386,-0.00153,0.05208,0.03002,-0.01534,0.07668,0.00000,0.04209,0.66929,-0.42750,0.46621,0.00000
0.67307,2.02157,-0.00104,0.07515,0.03002,-0.01457,0.07672,0.00000,0.06308,-0.86001,-0.40103,0.67307,0.00000
0.67401,2.02157,-0.00030,0.07525,0.03002,-0.01304,0.15340,0.00000,0.08467,1.42131,0.53648,0.67401,0.00000
0.68540,2.02157,0.00042,0.07652,0.03002,-0.01227,0.07668,0.00000,0.09642,-0.27849,0.79447,0.68540,0.00000
0.71621,2.01928,0.00114,0.07992,0.03002,-0.01150,0.07672,0.00000,0.09667,0.90151,0.30984,0.71621,0.00000
0.71148,2.02157,0.00190,0.07943,0.03002,-0.00920,0.23010,0.00000,0.09800,-0.16970,0.18160,0.71148,0.00000
0.82163,2.02157,0.00266,0.09173,0.03002,-0.00767,0.15338,0.00000,0.10418,0.04917,0.18221,0.82163,0.00000
0.60605,2.02157,0.00354,0.06766,0.03002,-0.00537,0.23007,0.00000,0.10233,0.06025,0.21942,0.60605,0.00000
0.78646,2.02386,0.00418,0.08785,0.03002,-0.00383,0.15340,0.00000,0.08912,-0.00105,0.14452,0.78646,0.00000
0.73476,2.02157,0.00502,0.08203,0.03002,-0.00153,0.23012,0.00000,0.07605,0.96325,0.38752,0.73476,0.00000
0.80766,2.02157,0.00580,0.09017,0.03002,0.00077,0.23007,0.00000,0.06412,0.75040,0.45874,0.80766,0.00000
0.72954,2.02157,0.00665,0.08145,0.03002,0.00384,0.30683,0.00000,0.04751,0.98260,-0.08484,0.72954,0.00000
0.68386,2.01928,0.00742,0.07631,0.03002,0.00537,0.15340,0.00000,0.02924,0.40127,-1.08462,0.68386,0.00000
0.84566,2.01928,0.00817,0.09437,0.03002,0.00844,0.30683,0.00000,0.01137,-0.10793,-0.81431,0.84566,0.00000
0.66417,2.02157,0.00909,0.07415,0.03002,0.00997,0.15340,0.00000,-0.00269,-0.19413,0.22961,0.66417,0.00000
0.64726,2.02157,0.00980,0.07226,0.03002,0.01304,0.30677,0.00000,-0.00679,-0.54392,0.14991,0.64726,0.00000
0.87968,2.02157,0.01050,0.09821,0.03002,0.01534,0.23014,0.00000,-0.00206,-0.24629,0.11628,0.87968,0.00000
0.61051,2.02157,0.01146,0.06816,0.03002,0.01764,0.23005,0.00000,0.01006,0.40629,0.05906,0.61051,0.00000
0.84480,2.02157,0.01213,0.09432,0.03002,0.01994,0.23017,0.00000,0.02171,0.06199,-0.25027,0.84480,0.00000
