speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm
0,0.00,0.00000,0.00000,-0.00,-0.02,-0.02,0.00,0.00000,0.00,-0.00443,3330,6151,-0.14792,-0.13485,-12.62843,0.00,,16384,16384
0,0.00,0.00001,-0.00004,-0.01,-0.02,-0.02,0.00,-0.00004,-0.00,-0.00510,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00001,-0.00010,-0.01,-0.02,-0.01,0.00,-0.00010,-0.00,-0.00561,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00002,-0.00015,-0.01,-0.02,-0.02,0.00,-0.00015,-0.00,-0.00836,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00002,-0.00024,-0.00,-0.02,-0.02,0.00,-0.00024,-0.00,-0.00401,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00003,-0.00028,-0.01,-0.02,-0.02,-0.00,-0.00028,-0.00,-0.00733,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00003,-0.00035,-0.01,-0.02,-0.02,-0.00,-0.00035,-0.00,-0.00510,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00004,-0.00040,-0.00,-0.02,-0.02,-0.00,-0.00040,-0.00,-0.00439,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00004,-0.00044,-0.01,-0.02,-0.02,0.00,-0.00044,-0.00,-0.00628,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00005,-0.00051,-0.00,-0.02,-0.02,0.00,-0.00051,-0.00,-0.00432,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16384,16384
0,0.00,0.00005,-0.00055,-0.00,-0.02,-0.02,0.00,-0.00055,-0.00,-0.00072,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16454,16413
0,0.00,0.00006,-0.00056,-0.01,-0.02,-0.01,0.00,-0.00056,-0.00,-0.00659,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00006,-0.00062,-0.00,-0.02,-0.01,0.00,-0.00062,-0.00,-0.00447,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00007,-0.00067,-0.01,-0.02,-0.01,0.00,-0.00067,-0.00,-0.00584,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00007,-0.00073,-0.01,-0.02,-0.02,0.00,-0.00073,-0.00,-0.00612,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00008,-0.00079,-0.00,-0.02,-0.02,0.00,-0.00079,-0.00,-0.00303,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00008,-0.00082,-0.00,-0.02,-0.02,0.00,-0.00082,-0.00,-0.00443,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00009,-0.00086,-0.00,-0.02,-0.02,0.00,-0.00086,-0.00,-0.00436,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
0,0.00,0.00009,-0.00090,-0.00,-0.02,-0.01,0.00,-0.00090,-0.00,-0.00232,3330,6151,-0.14792,-0.13485,0.00000,0.00,,16402,16392
