raw_hand_torque,transducer_byte,sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,command_fork,command_hand
,818,,0.00000,0.00000,0.00980,0.00000,0.00000,-59.50554,0.00000,0.00000,0.00000,0.00000
,819,,0.00000,0.00010,0.00545,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,830,,0.00000,0.00015,0.00796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,819,,0.00000,0.00023,0.00811,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,818,,0.00000,0.00031,0.00788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,819,,0.00000,0.00039,0.00890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,819,,0.00000,0.00048,0.00792,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,820,,0.00000,0.00056,0.00803,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,822,,0.00000,0.00064,0.00996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,820,,0.00000,0.00074,0.01027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,818,,0.00000,0.00084,0.00694,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.40589,-0.08711
,819,,0.00000,0.00091,0.00886,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,818,,0.00000,0.00100,0.00859,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,817,,0.00000,0.00109,0.01187,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,818,,0.00000,0.00120,0.01078,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,819,,0.00000,0.00131,0.00917,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,843,,0.00000,0.00140,0.00913,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,819,,0.00000,0.00150,0.00984,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,819,,0.00000,0.00159,0.00788,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,819,,0.00000,0.00167,0.00937,-0.66717,-0.63492,0.00000,0.00000,0.00000,-0.25279,-0.02376
,819,,0.00000,0.00177,0.01003,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25769,-0.02583
,818,,0.00000,0.00187,0.00803,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00195,0.00729,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00202,0.00890,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00211,0.00694,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00218,0.00956,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00227,0.00917,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00236,0.00827,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,834,,0.00000,0.00245,0.01257,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00257,0.00800,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.00265,0.00815,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00273,0.00886,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00282,0.01187,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00294,0.00893,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00303,0.00761,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00310,0.00980,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00320,0.00893,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00329,0.00772,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.00336,0.00987,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00346,0.00965,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00356,0.00897,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00365,0.00761,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,820,,0.00000,0.00372,0.00893,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.00381,0.00784,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
