speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_hand_torque,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork,command_hand
0,0.00,0.00000,0.00000,-0.00,-0.02,-0.01,0.00,0.00000,0.00,-0.00180,3379,6851,-0.11034,-0.67174,-62.88520,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00001,-0.00002,0.00,-0.01,-0.01,0.00,-0.00002,-0.00,0.00001,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00001,-0.00002,0.00,-0.02,-0.02,0.00,-0.00002,-0.00,0.00219,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00002,0.00000,0.00,-0.01,-0.01,0.00,0.00000,-0.00,0.00040,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00002,0.00001,0.00,-0.01,-0.01,0.00,0.00001,0.00,0.00145,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00003,0.00002,-0.00,-0.01,-0.01,0.00,0.00002,0.00,-0.00234,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,815,,16384,16384,0.00,0.00
0,0.00,0.00003,-0.00000,-0.00,-0.01,-0.01,0.00,-0.00000,0.00,-0.00007,3379,6851,-0.11034,-0.67174,0.00000,1.67419,0.05530,814,,16384,16384,0.00,0.00
0,0.00,0.00004,-0.00000,-0.00,-0.02,-0.01,0.00,-0.00000,0.00,-0.00211,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,814,,16384,16384,0.00,0.00
0,0.00,0.00004,-0.00002,0.00,-0.02,-0.01,0.00,-0.00002,-0.00,0.00058,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00005,-0.00002,0.00,-0.02,-0.02,0.00,-0.00002,-0.00,0.00195,3379,6851,-0.11034,-0.67174,0.00000,1.69032,0.30708,814,,16384,16384,0.00,0.00
0,0.00,0.00005,0.00000,0.00,-0.02,-0.01,0.00,0.00000,-0.00,0.00078,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,815,,16384,16384,0.00,0.00
0,0.00,0.00006,0.00001,0.00,-0.02,-0.02,0.00,0.00001,-0.00,0.00188,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,812,,16384,16384,0.00,0.00
0,0.00,0.00006,0.00003,-0.00,-0.02,-0.01,0.00,0.00003,0.00,-0.00141,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00007,0.00001,0.00,-0.02,-0.01,0.00,0.00001,0.00,0.00035,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00007,0.00002,-0.00,-0.01,-0.01,0.00,0.00002,0.00,-0.00172,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00008,0.00000,0.00,-0.02,-0.01,0.00,0.00000,0.00,0.00251,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00008,0.00003,-0.00,-0.01,-0.02,0.00,0.00003,0.00,-0.00160,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00009,0.00001,-0.00,-0.02,-0.01,0.00,0.00001,0.00,-0.00043,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00009,0.00001,-0.00,-0.02,-0.02,0.00,0.00001,0.00,-0.00009,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,813,,16384,16384,0.00,0.00
0,0.00,0.00010,0.00001,-0.00,-0.02,-0.01,0.00,0.00001,0.00,-0.00055,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00010,-0.00000,-0.00,-0.01,-0.01,0.00,-0.00000,0.00,-0.00007,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
