COUNTERCLOCKWISE, arm = 312.5mm
command,kg1_CCW_push,kg2_CW_pull
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.03,0.045
0.4,0.065,0.060
0.5,0.140,0.100
0.6,0.255,0.200
0.7,0.365,0.240
0.8,0.365,0.395
0.9,0.365,0.315
1.0,0.300,0.315
1.1,0.300,0.545
1.2,0.435,0.400
1.3,0.480,0.530
1.4,0.500,0.465
1.5,0.470,0.500
1.6,0.565,0.830
1.7,0.590,0.760
1.8,0.410,0.670
1.9,0.525,0.875
2.0,0.675,0.815
2.1,0.690,0.915
2.2,0.690,0.900
2.3,0.790,1.090
2.4,0.830,0.155
2.5,0.860,0.205
2.6,0.795,0.330
2.7,0.950,0.420
2.8,0.895,0.390
2.9,0.935,0.460
3.0,1.000,0.440
3.1,1.085,0.525
3.2,1.085,0.865
3.3,1.205,0.865
3.4,1.130,0.850
3.5,1.140,0.640
3.6,1.260,0.905
3.7,1.325,0.940
3.8,1.365,0.970
3.9,1.365,2.105
4.0,1.430,0.410
4.1,1.405,0.480
4.2,1.500,0.120
4.3,1.595,0.470
4.4,1.500,0.355
4.5,1.540,0.415
4.6,1.540,0.400
4.7,1.580,0.530
4.8,1.665,0.890
4.9,1.825,0.635
5.0,1.750,3.000
5.1,1.855,2.950
5.2,1.750,0.920
5.3,1.960,0.915
5.4,1.945,0.850
5.5,1.790,0.980
5.6,1.950,0.980
5.7,2.130,0.890
5.8,1.880,3.345
5.9,2.130,0.535
6.0,2.035,0.395
